date,AS_MSCI_ESG_2022_Q2,meta
2022-04-14 00:00:00,-118.90878768304114,
2022-04-14 01:00:00,-122.52183814676502,
2022-04-14 02:30:00,-119.4891799819761,
2022-04-14 03:00:00,-120.1472462307893,
2022-04-14 18:30:00,-120.1472462307893,
2022-04-14 20:00:00,-120.1472462307893,
2022-04-14 23:00:00,-120.05900816237673,
2022-04-14 23:59:59,-117.20251758829633,c
2022-04-15 00:00:00,-121.58167382204473,
2022-04-15 01:00:00,-124.9589667319228,
2022-04-15 02:30:00,-124.9589667319228,
2022-04-15 03:00:00,-124.9589667319228,
2022-04-15 18:30:00,-124.9589667319228,
2022-04-15 20:00:00,-124.9589667319228,
2022-04-15 23:00:00,-124.9589667319228,
2022-04-15 23:59:59,-118.2627461588402,w
2022-04-18 00:00:00,-142.84600895504863,
2022-04-18 01:00:00,-142.34611866755532,
2022-04-18 02:30:00,-137.94869534298934,
2022-04-18 03:00:00,-138.3503073487889,
2022-04-18 18:30:00,-135.88739678633837,
2022-04-18 20:00:00,-136.38683232599826,
2022-04-18 23:00:00,-147.09710267084225,
2022-04-18 23:59:59,-140.63432346993582,c
2022-04-19 00:00:00,-137.54795634208656,
2022-04-19 01:00:00,-141.01609016758223,
2022-04-19 02:30:00,-141.19743410965438,
2022-04-19 03:00:00,-139.4016495442414,
2022-04-19 18:30:00,-141.6203216865404,
2022-04-19 20:00:00,-141.03355396077134,
2022-04-19 23:00:00,-133.00561127574562,
2022-04-19 23:59:59,-129.11724263585845,c
2022-04-20 00:00:00,-126.9035896321985,
2022-04-20 01:00:00,-132.83479841882613,
2022-04-20 02:30:00,-137.46998046311322,
2022-04-20 03:00:00,-137.18229613399646,
2022-04-20 18:30:00,-138.74920784764245,
2022-04-20 20:00:00,-138.0353818808002,
2022-04-20 23:00:00,-129.8667666064591,
2022-04-20 23:59:59,-133.88633877316315,c
2022-04-21 00:00:00,-127.60685647302049,
2022-04-21 01:00:00,-130.69334661648568,
2022-04-21 02:30:00,-131.2380359492229,
2022-04-21 03:00:00,-129.17427461789126,
2022-04-21 18:30:00,-129.92260957345533,
2022-04-21 20:00:00,-129.85995863350453,
2022-04-21 23:00:00,-134.82023464825986,
2022-04-21 23:59:59,-141.0855379310315,c
2022-04-22 00:00:00,-150.92986230192471,
2022-04-22 01:00:00,-146.69869280425715,
2022-04-22 02:30:00,-147.17580628932356,
2022-04-22 03:00:00,-149.58858925899725,
2022-04-22 18:30:00,-149.58858925899725,
2022-04-22 20:00:00,-149.58858925899725,
2022-04-22 23:00:00,-149.58858925899725,
2022-04-22 23:59:59,-153.7613978760351,w
2022-04-25 00:00:00,-152.35344632711096,
2022-04-25 01:00:00,-146.20122785642016,
2022-04-25 02:30:00,-150.78607684035362,
2022-04-25 03:00:00,-151.88332163413807,
2022-04-25 18:30:00,-157.2163758766653,
2022-04-25 20:00:00,-157.50512541550123,
2022-04-25 23:00:00,-132.8347446277144,
2022-04-25 23:59:59,-134.89417447743577,c
2022-04-26 00:00:00,-135.63967479134445,
2022-04-26 01:00:00,-141.71175364219144,
2022-04-26 02:30:00,-142.44435346424817,
2022-04-26 03:00:00,-143.13606587553394,
2022-04-26 18:30:00,-141.90663047010813,
2022-04-26 20:00:00,-141.70491577927166,
2022-04-26 23:00:00,-167.4503982148582,
2022-04-26 23:59:59,-148.21329252736595,c
2022-04-27 00:00:00,-159.06802746076548,
2022-04-27 01:00:00,-143.9629007532179,
2022-04-27 02:30:00,-132.0137869217676,
2022-04-27 03:00:00,-132.3453909299515,
2022-04-27 18:30:00,-137.3930520082972,
2022-04-27 20:00:00,-137.6986157432393,
2022-04-27 23:00:00,-144.16257256225984,
2022-04-27 23:59:59,-135.6913319926479,c
2022-04-28 00:00:00,-127.1114830701961,
2022-04-28 01:00:00,-128.74078114747667,
2022-04-28 02:30:00,-124.19355218031112,
2022-04-28 03:00:00,-122.80330851074163,
2022-04-28 18:30:00,-122.88530363481888,
2022-04-28 20:00:00,-122.99251594176192,
2022-04-28 23:00:00,-139.49794008722202,
2022-04-28 23:59:59,-140.78246945172205,c
2022-04-29 00:00:00,-143.58022503010417,
2022-04-29 01:00:00,-143.37953150254262,
2022-04-29 02:30:00,-151.39769861208285,
2022-04-29 03:00:00,-152.51885349686674,
2022-04-29 18:30:00,-152.51885349686674,
2022-04-29 20:00:00,-152.51885349686674,
2022-04-29 23:00:00,-152.51885349686674,
2022-04-29 23:59:59,-149.95361490106163,w
2022-05-02 00:00:00,-179.55733454039208,
2022-05-02 01:00:00,-181.08940802030563,
2022-05-02 02:30:00,-181.08940802030563,
2022-05-02 03:00:00,-181.08940802030563,
2022-05-02 18:30:00,-178.25767849766416,
2022-05-02 20:00:00,-178.1504763109984,
2022-05-02 23:00:00,-182.74246822883575,
2022-05-02 23:59:59,-180.76858062852935,c
2022-05-03 00:00:00,-181.36131305154888,
2022-05-03 01:00:00,-180.91041899422262,
2022-05-03 02:30:00,-178.0994106907502,
2022-05-03 03:00:00,-177.9665081865285,
2022-05-03 18:30:00,-178.77012240960082,
2022-05-03 20:00:00,-178.35093018241545,
2022-05-03 23:00:00,-168.31971357786384,
2022-05-03 23:59:59,-168.8742493093513,c
2022-05-04 00:00:00,-175.36501361889796,
2022-05-04 01:00:00,-177.07097328261526,
2022-05-04 02:30:00,-177.7582146964634,
2022-05-04 03:00:00,-178.35907609058526,
2022-05-04 18:30:00,-179.6603787014611,
2022-05-04 20:00:00,-179.6181495849428,
2022-05-04 23:00:00,-170.04888549229113,
2022-05-04 23:59:59,-168.53765337537797,c
2022-05-05 00:00:00,-171.1407856720896,
2022-05-05 01:00:00,-170.73358144174009,
2022-05-05 02:30:00,-173.61934061575337,
2022-05-05 03:00:00,-174.3669784601686,
2022-05-05 18:30:00,-175.22492476086316,
2022-05-05 20:00:00,-175.51917167288158,
2022-05-05 23:00:00,-180.84102715046785,
2022-05-05 23:59:59,-189.92858304435393,c
2022-05-06 00:00:00,-207.16512548116813,
2022-05-06 01:00:00,-208.59696691840733,
2022-05-06 02:30:00,-204.52481602905905,
2022-05-06 03:00:00,-203.9323803614361,
2022-05-06 18:30:00,-203.9323803614361,
2022-05-06 20:00:00,-203.9323803614361,
2022-05-06 23:00:00,-203.9323803614361,
2022-05-06 23:59:59,-203.90337587059068,w
2022-05-09 00:00:00,-201.04116435148327,
2022-05-09 01:00:00,-208.37126885726732,
2022-05-09 02:30:00,-212.94153348442498,
2022-05-09 03:00:00,-213.43601259522208,
2022-05-09 18:30:00,-212.3095408831094,
2022-05-09 20:00:00,-211.96347966273092,
2022-05-09 23:00:00,-235.48795476904436,
2022-05-09 23:59:59,-242.38913129294056,c
2022-05-10 00:00:00,-241.85903102617286,
2022-05-10 01:00:00,-242.15683592652525,
2022-05-10 02:30:00,-235.8410751419286,
2022-05-10 03:00:00,-234.52338307971772,
2022-05-10 18:30:00,-234.26088984727417,
