date,FTSE_NA_REIT_2022_Q4,meta
2022-11-30 13:30:00,-25.05861167701505,
2022-11-30 15:00:00,-7.374558971142733,
2022-11-30 15:30:30,-7.374558971142733,
2022-11-30 23:59:59,0.0,a
2022-12-01 00:00:00,12.495656708761317,
2022-12-01 10:00:00,30.269036066553326,
2022-12-01 10:30:00,34.34035927233481,
2022-12-01 12:00:00,39.26395744980391,
2022-12-01 13:30:00,31.370768477149113,
2022-12-01 15:00:00,44.120524229124385,
2022-12-01 15:30:30,44.120524229124385,
2022-12-01 23:59:59,46.21653219853965,c
2022-12-02 00:00:00,43.43171909452599,
2022-12-02 10:00:00,38.68433638157194,
2022-12-02 10:30:00,42.89454994028688,
2022-12-02 12:00:00,49.93514903678397,
2022-12-02 13:30:00,74.4584310996363,
2022-12-02 15:00:00,88.77270656182122,
2022-12-02 15:30:30,88.77270656182122,
2022-12-02 23:59:59,83.05296390155945,w
2022-12-05 00:00:00,54.58041200239836,
2022-12-05 10:00:00,86.79109883204205,
2022-12-05 10:30:00,82.5226180592606,
2022-12-05 12:00:00,83.65881354251769,
2022-12-05 13:30:00,64.31022754741298,
2022-12-05 15:00:00,67.4563403328118,
2022-12-05 15:30:30,67.4563403328118,
2022-12-05 23:59:59,66.81823814695576,c
2022-12-06 00:00:00,72.1348381401508,
2022-12-06 10:00:00,83.9431021461362,
2022-12-06 10:30:00,69.636473402903,
2022-12-06 12:00:00,81.4277717132893,
2022-12-06 13:30:00,82.55239920272288,
2022-12-06 15:00:00,78.79816763524173,
2022-12-06 15:30:30,78.79816763524173,
2022-12-06 23:59:59,86.60273205591875,c
2022-12-07 00:00:00,49.24191270244546,
2022-12-07 10:00:00,72.48698378193626,
2022-12-07 10:30:00,77.61615165161811,
2022-12-07 12:00:00,66.46262023751137,
2022-12-07 13:30:00,65.15926103577635,
2022-12-07 15:00:00,65.53050046936482,
2022-12-07 15:30:30,65.53050046936482,
2022-12-07 23:59:59,64.8891702377764,c
2022-12-08 00:00:00,62.85584484531296,
2022-12-08 10:00:00,75.856443709215,
2022-12-08 10:30:00,82.51796317158278,
2022-12-08 12:00:00,78.14382585684893,
2022-12-08 13:30:00,69.03347252604249,
2022-12-08 15:00:00,56.918322832124886,
2022-12-08 15:30:30,56.918322832124886,
2022-12-08 23:59:59,57.515981063862455,c
2022-12-09 00:00:00,61.3174508896343,
2022-12-09 10:00:00,57.23970428440771,
2022-12-09 10:30:00,63.86882842332466,
2022-12-09 12:00:00,65.66132358668278,
2022-12-09 13:30:00,61.530660672814065,
2022-12-09 15:00:00,64.70587823082269,
2022-12-09 15:30:30,64.70587823082269,
2022-12-09 23:59:59,55.190003798656335,w
2022-12-12 00:00:00,64.36581643555724,
2022-12-12 10:00:00,59.09770052228578,
2022-12-12 10:30:00,52.70279431537756,
2022-12-12 12:00:00,57.595895739563275,
2022-12-12 13:30:00,49.707766059977075,
2022-12-12 15:00:00,43.3110632420387,
2022-12-12 15:30:30,43.3110632420387,
2022-12-12 23:59:59,46.10548234154908,c
2022-12-13 00:00:00,71.88604061364754,
2022-12-13 10:00:00,62.108443724018116,
2022-12-13 10:30:00,53.93112836672276,
2022-12-13 12:00:00,48.34724552760167,
2022-12-13 13:30:00,49.04720074296756,
2022-12-13 15:00:00,60.19675817999541,
2022-12-13 15:30:30,60.19675817999541,
2022-12-13 23:59:59,70.28209258839411,c
2022-12-14 00:00:00,78.17059462288626,
2022-12-14 10:00:00,84.61010745805311,
2022-12-14 10:30:00,87.16417023193162,
2022-12-14 12:00:00,88.07623453647852,
