date,AS_MSCI_AS_EM_REST_MIG_2022_Q1,meta
2022-01-05 00:00:00,-30.5301207979237,
2022-01-05 01:00:00,-55.25458278742826,
2022-01-05 02:30:00,-55.25458278742826,
2022-01-05 03:00:00,-55.25458278742826,
2022-01-05 18:30:00,-55.25458278742826,
2022-01-05 20:00:00,-138.08894394863546,
2022-01-05 23:00:00,-42.49348997483821,
2022-01-05 23:59:59,-14.873123270414908,c
2022-01-06 00:00:00,12.716734448856641,
2022-01-06 01:00:00,-42.47241049782133,
2022-01-06 02:30:00,-42.47241049782133,
2022-01-06 03:00:00,-42.47241049782133,
2022-01-06 18:30:00,-42.47241049782133,
2022-01-06 20:00:00,-18.40523409009984,
2022-01-06 23:00:00,18.536788521789276,
2022-01-06 23:59:59,28.492309441095585,c
2022-01-07 00:00:00,29.379926196589167,
2022-01-07 01:00:00,69.82117462179667,
2022-01-07 02:30:00,69.82117462179667,
2022-01-07 03:00:00,69.82117462179667,
2022-01-07 18:30:00,69.82117462179667,
2022-01-07 20:00:00,69.82117462179667,
2022-01-07 23:00:00,69.82117462179667,
2022-01-07 23:59:59,69.7672753580182,w
2022-01-10 00:00:00,131.77639011397878,
2022-01-10 01:00:00,78.86601194904642,
2022-01-10 02:30:00,78.86601194904642,
2022-01-10 03:00:00,78.86601194904642,
2022-01-10 18:30:00,78.86601194904642,
2022-01-10 20:00:00,138.52570301523747,
2022-01-10 23:00:00,185.41675568414666,
2022-01-10 23:59:59,268.90009204696753,c
2022-01-11 00:00:00,266.91612219041235,
2022-01-11 01:00:00,283.09744359088563,
2022-01-11 02:30:00,283.09744359088563,
2022-01-11 03:00:00,283.09744359088563,
2022-01-11 18:30:00,283.09744359088563,
2022-01-11 20:00:00,275.99352933853515,
2022-01-11 23:00:00,392.14289885107837,
2022-01-11 23:59:59,360.3714475799384,c
2022-01-12 00:00:00,360.8951685171428,
2022-01-12 01:00:00,332.472363787409,
2022-01-12 02:30:00,332.472363787409,
2022-01-12 03:00:00,332.472363787409,
2022-01-12 18:30:00,332.472363787409,
2022-01-12 20:00:00,510.3877344290968,
2022-01-12 23:00:00,470.8616313685343,
2022-01-12 23:59:59,478.40646116885546,c
2022-01-13 00:00:00,480.21950902254684,
2022-01-13 01:00:00,461.7985002257942,
2022-01-13 02:30:00,461.7985002257942,
2022-01-13 03:00:00,461.7985002257942,
2022-01-13 18:30:00,461.7985002257942,
2022-01-13 20:00:00,257.07397278409053,
2022-01-13 23:00:00,433.87138580665396,
2022-01-13 23:59:59,440.3886644339141,c
2022-01-14 00:00:00,470.2026626310603,
2022-01-14 01:00:00,472.3149034596445,
2022-01-14 02:30:00,472.3149034596445,
2022-01-14 03:00:00,472.3149034596445,
2022-01-14 18:30:00,472.3149034596445,
2022-01-14 20:00:00,472.3149034596445,
2022-01-14 23:00:00,472.3149034596445,
2022-01-14 23:59:59,477.48563542159764,w
2022-01-17 00:00:00,734.9890998565311,
2022-01-17 01:00:00,740.0615584016859,
2022-01-17 02:30:00,740.0615584016859,
2022-01-17 03:00:00,740.0615584016859,
