date,RDVY_2022_Q2,meta
2022-05-20 00:00:00,123.38283289743077,
2022-05-20 10:00:00,55.91614613608766,
2022-05-20 10:30:00,63.917839351903524,
2022-05-20 12:00:00,40.653809618068635,
2022-05-20 13:30:00,7.227684533304512,
2022-05-20 15:00:00,25.810284000742683,
2022-05-20 15:30:30,25.810284000742683,
2022-05-20 23:59:59,49.7923958730496,w
2022-05-23 00:00:00,42.797105069490215,
2022-05-23 10:00:00,19.592466033554956,
2022-05-23 10:30:00,16.355006484848673,
2022-05-23 12:00:00,33.244963041147855,
2022-05-23 13:30:00,34.93443755105335,
2022-05-23 15:00:00,32.95739212082975,
2022-05-23 15:30:30,32.95739212082975,
2022-05-23 23:59:59,32.31897813464144,c
2022-05-24 00:00:00,-8.139558103556169,
2022-05-24 10:00:00,-50.749070990472774,
2022-05-24 10:30:00,-49.13052182224055,
2022-05-24 12:00:00,-49.27639644476318,
2022-05-24 13:30:00,-58.503935322193854,
2022-05-24 15:00:00,-63.45003672478276,
2022-05-24 15:30:30,-63.45003672478276,
2022-05-24 23:59:59,-58.534048039621666,c
2022-05-25 00:00:00,-98.47435029647727,
2022-05-25 10:00:00,-40.21613676654914,
2022-05-25 10:30:00,12.584268205225271,
2022-05-25 12:00:00,17.568053230006797,
2022-05-25 13:30:00,6.515404437628547,
2022-05-25 15:00:00,32.76588717548054,
2022-05-25 15:30:30,32.76588717548054,
2022-05-25 23:59:59,26.395056338977582,c
2022-05-26 00:00:00,23.044539860876853,
2022-05-26 10:00:00,119.09407395674131,
2022-05-26 10:30:00,124.68360628948241,
2022-05-26 12:00:00,119.71431274626886,
2022-05-26 13:30:00,149.28306425871241,
2022-05-26 15:00:00,141.7139412909966,
2022-05-26 15:30:30,141.7139412909966,
2022-05-26 23:59:59,139.27807701125076,c
2022-05-27 00:00:00,161.26898469474747,
2022-05-27 10:00:00,174.13426074742915,
2022-05-27 10:30:00,173.2031528375408,
2022-05-27 12:00:00,173.85678282839666,
2022-05-27 13:30:00,172.94553461988517,
2022-05-27 15:00:00,171.12165336272284,
2022-05-27 15:30:30,171.12165336272284,
2022-05-27 23:59:59,169.58752577270235,w
2022-05-30 00:00:00,169.58752577270235,
2022-05-30 10:00:00,169.58752577270235,
2022-05-30 10:30:00,169.58752577270235,
2022-05-30 12:00:00,169.58752577270235,
2022-05-30 13:30:00,169.58752577270235,
2022-05-30 15:00:00,169.58752577270235,
2022-05-30 15:30:30,169.58752577270235,
2022-05-30 23:59:59,169.58752577270235,c
2022-05-31 00:00:00,143.92872031132606,
2022-05-31 10:00:00,114.33256319081607,
2022-05-31 10:30:00,103.65763147919247,
2022-05-31 12:00:00,117.42310503568993,
2022-05-31 13:30:00,108.06537755925675,
2022-05-31 15:00:00,136.03052775059868,
2022-05-31 15:30:30,136.03052775059868,m
2022-05-31 23:59:59,147.42005480792656,c
2022-06-01 00:00:00,138.97055355482007,
2022-06-01 10:00:00,172.66974260277033,
2022-06-01 10:30:00,138.44505166422573,
2022-06-01 12:00:00,137.11130018745442,
2022-06-01 13:30:00,122.3273930129237,
2022-06-01 15:00:00,135.06082512625576,
2022-06-01 15:30:30,135.06082512625576,
2022-06-01 23:59:59,130.81951667929482,c
2022-06-02 00:00:00,157.99842104629414,
2022-06-02 10:00:00,189.2164977369261,
2022-06-02 10:30:00,188.4691438889409,
2022-06-02 12:00:00,187.34655984031446,
2022-06-02 13:30:00,215.8797276605767,
2022-06-02 15:00:00,229.63839924907344,
2022-06-02 15:30:30,229.63839924907344,
2022-06-02 23:59:59,232.86770122608112,c
2022-06-03 00:00:00,192.47324963794478,
2022-06-03 10:00:00,195.62912072670696,
2022-06-03 10:30:00,171.78582497034972,
2022-06-03 12:00:00,163.20353209737578,
2022-06-03 13:30:00,164.58075363029744,
2022-06-03 15:00:00,150.98781743132727,
2022-06-03 15:30:30,150.98781743132727,
2022-06-03 23:59:59,144.75396847936992,w
2022-06-06 00:00:00,152.82104976019843,
2022-06-06 10:00:00,177.59715680355538,
2022-06-06 10:30:00,197.13179119051244,
2022-06-06 12:00:00,168.67540356411374,
2022-06-06 13:30:00,171.9507139733173,
2022-06-06 15:00:00,170.8392350683876,
2022-06-06 15:30:30,170.8392350683876,
2022-06-06 23:59:59,171.0882340645565,c
2022-06-07 00:00:00,106.30987925845639,
2022-06-07 10:00:00,110.20284584943153,
2022-06-07 10:30:00,125.72555256232332,
2022-06-07 12:00:00,135.34943970457184,
2022-06-07 13:30:00,134.9346905298364,
2022-06-07 15:00:00,109.45514981610134,
2022-06-07 15:30:30,109.45514981610134,u
2022-06-07 23:59:59,109.56682196737856,c
2022-06-08 00:00:00,98.68226383256402,
2022-06-08 10:00:00,124.82421886049178,
2022-06-08 10:30:00,98.0101483819775,
2022-06-08 12:00:00,92.29282091920686,
2022-06-08 13:30:00,88.29645874477191,
2022-06-08 15:00:00,94.68530830862699,
2022-06-08 15:30:30,94.68530830862699,
2022-06-08 23:59:59,76.31424129147112,c
2022-06-09 00:00:00,82.500567001848,
2022-06-09 10:00:00,86.46677933307004,
2022-06-09 10:30:00,101.01124724353409,
2022-06-09 12:00:00,89.9503073332298,
2022-06-09 13:30:00,77.78128213592007,
2022-06-09 15:00:00,53.18970833620128,
2022-06-09 15:30:30,53.18970833620128,
2022-06-09 23:59:59,60.54313613642833,c
2022-06-10 00:00:00,24.964464358592664,
2022-06-10 10:00:00,-4.422241837388867,
2022-06-10 10:30:00,5.549248011119857,
2022-06-10 12:00:00,-1.1454913005714502,
2022-06-10 13:30:00,11.666413098161343,
