date,AS_IDXALL_2023_Q1,meta
2023-02-01 02:30:00,289.5234636678192,
2023-02-01 03:00:00,286.02615780058386,
2023-02-01 18:30:00,286.02615780058386,
2023-02-01 20:00:00,286.02615780058386,
2023-02-01 23:00:00,259.2469883294957,
2023-02-01 23:59:59,273.1263511882071,c
2023-02-02 00:00:00,252.88528161198838,
2023-02-02 01:00:00,252.88528161198838,
2023-02-02 02:30:00,171.60914852024462,
2023-02-02 03:00:00,182.98668635917466,
2023-02-02 18:30:00,182.98668635917466,
2023-02-02 20:00:00,182.98668635917466,
2023-02-02 23:00:00,98.42859939965365,
2023-02-02 23:59:59,69.41848865106249,c
2023-02-03 00:00:00,111.19634236140428,
2023-02-03 01:00:00,111.19634236140428,
2023-02-03 02:30:00,64.30399460202216,
2023-02-03 03:00:00,84.49161406787971,
2023-02-03 18:30:00,84.49161406787971,
2023-02-03 20:00:00,84.49161406787971,
2023-02-03 23:00:00,84.49161406787971,
2023-02-03 23:59:59,87.72870758620047,w
2023-02-06 00:00:00,-32.447342527239016,
2023-02-06 01:00:00,-32.447342527239016,
2023-02-06 02:30:00,-114.32755367962045,
2023-02-06 03:00:00,-108.50590983077109,
2023-02-06 18:30:00,-108.50590983077109,
2023-02-06 20:00:00,-108.50590983077109,
2023-02-06 23:00:00,-115.68199390250038,
2023-02-06 23:59:59,-108.05019651203474,c
2023-02-07 00:00:00,-74.52869954745347,
2023-02-07 01:00:00,-74.52869954745347,
2023-02-07 02:30:00,-68.14739599287986,
2023-02-07 03:00:00,-50.17299613594287,
2023-02-07 18:30:00,-50.17299613594287,
2023-02-07 20:00:00,-50.17299613594287,
2023-02-07 23:00:00,-15.4306955167649,
2023-02-07 23:59:59,-6.75715506928691,c
2023-02-08 00:00:00,37.80457839592418,
2023-02-08 01:00:00,37.80457839592418,
2023-02-08 02:30:00,8.391755801641466,
2023-02-08 03:00:00,-9.986464787774821,
2023-02-08 18:30:00,-9.986464787774821,
2023-02-08 20:00:00,-9.986464787774821,
2023-02-08 23:00:00,-46.47146515063969,
2023-02-08 23:59:59,-24.21253607222252,c
2023-02-09 00:00:00,11.362073616164253,
2023-02-09 01:00:00,11.362073616164253,
2023-02-09 02:30:00,-34.80053298766143,
2023-02-09 03:00:00,-21.376933208107857,
2023-02-09 18:30:00,-21.376933208107857,
2023-02-09 20:00:00,-21.376933208107857,
2023-02-09 23:00:00,-26.546519820944468,
2023-02-09 23:59:59,-8.77444693555799,c
2023-02-10 00:00:00,-8.890369327095868,
2023-02-10 01:00:00,-8.890369327095868,
2023-02-10 02:30:00,-30.17553240731877,
2023-02-10 03:00:00,-22.746355546795257,
2023-02-10 18:30:00,-22.746355546795257,
2023-02-10 20:00:00,-22.746355546795257,
2023-02-10 23:00:00,-22.746355546795257,
2023-02-10 23:59:59,-13.68854560579075,w
2023-02-13 00:00:00,66.14360901204236,
2023-02-13 01:00:00,66.14360901204236,
2023-02-13 02:30:00,55.044846594027604,
2023-02-13 03:00:00,16.378746462769413,
2023-02-13 18:30:00,16.378746462769413,
2023-02-13 20:00:00,16.378746462769413,
2023-02-13 23:00:00,69.6581346368489,
2023-02-13 23:59:59,98.931638463318,c
2023-02-14 00:00:00,116.35882466961493,
2023-02-14 01:00:00,116.35882466961493,
2023-02-14 02:30:00,114.91455482487436,
2023-02-14 03:00:00,156.0498324001528,
2023-02-14 18:30:00,156.0498324001528,
2023-02-14 20:00:00,156.0498324001528,
2023-02-14 23:00:00,156.0498324001528,
2023-02-14 23:59:59,146.88087605129886,c
