date,AS_GDX_2022_Q4,meta
2022-11-18 00:00:00,96.06120650145567,
2022-11-18 01:00:00,96.06120650145567,
2022-11-18 02:30:00,96.06120650145567,
2022-11-18 03:00:00,96.06120650145567,
2022-11-18 18:30:00,96.06120650145567,
2022-11-18 20:00:00,96.06120650145567,
2022-11-18 23:00:00,96.06120650145567,
2022-11-18 23:59:59,103.14621186504337,w
2022-11-21 00:00:00,109.94981193381045,
2022-11-21 01:00:00,109.94981193381045,
2022-11-21 02:30:00,109.94981193381045,
2022-11-21 03:00:00,109.94981193381045,
2022-11-21 18:30:00,130.0609217523952,
2022-11-21 20:00:00,66.34503425099456,
2022-11-21 23:00:00,69.7342023536703,
2022-11-21 23:59:59,50.71408248875878,c
2022-11-22 00:00:00,59.21930883468485,
2022-11-22 01:00:00,59.21930883468485,
2022-11-22 02:30:00,59.21930883468485,
2022-11-22 03:00:00,59.21930883468485,
2022-11-22 18:30:00,-3.916048370126191,
2022-11-22 20:00:00,25.161937386312275,
2022-11-22 23:00:00,82.54861163708165,
2022-11-22 23:59:59,96.65013463692367,c
2022-11-23 00:00:00,63.41943824789132,
2022-11-23 01:00:00,63.41943824789132,
2022-11-23 02:30:00,63.41943824789132,
2022-11-23 03:00:00,63.41943824789132,
2022-11-23 18:30:00,32.50175858068633,
2022-11-23 20:00:00,-73.801814088431,
2022-11-23 23:00:00,-83.6522172277937,
2022-11-23 23:59:59,-91.7311946109362,c
2022-11-24 00:00:00,-132.75440470930198,
2022-11-24 01:00:00,-132.75440470930198,
2022-11-24 02:30:00,-132.75440470930198,
2022-11-24 03:00:00,-132.75440470930198,
2022-11-24 18:30:00,-162.26775317773036,
2022-11-24 20:00:00,-216.51666603556032,
2022-11-24 23:00:00,-123.28643736022923,
2022-11-24 23:59:59,-108.29526196789948,c
2022-11-25 00:00:00,-94.55366672333912,
2022-11-25 01:00:00,-94.55366672333912,
2022-11-25 02:30:00,-94.55366672333912,
2022-11-25 03:00:00,-94.55366672333912,
2022-11-25 18:30:00,-94.55366672333912,
2022-11-25 20:00:00,-94.55366672333912,
2022-11-25 23:00:00,-94.55366672333912,
2022-11-25 23:59:59,-89.74991482877385,w
2022-11-28 00:00:00,-103.15773757685793,
2022-11-28 01:00:00,-103.15773757685793,
2022-11-28 02:30:00,-103.15773757685793,
2022-11-28 03:00:00,-103.15773757685793,
2022-11-28 18:30:00,-80.46836320326065,
2022-11-28 20:00:00,-111.7060398889057,
2022-11-28 23:00:00,-190.39041016836973,
2022-11-28 23:59:59,-193.96828341966648,c
2022-11-29 00:00:00,-158.91168871551963,
2022-11-29 01:00:00,-158.91168871551963,
2022-11-29 02:30:00,-158.91168871551963,
2022-11-29 03:00:00,-158.91168871551963,
2022-11-29 18:30:00,-87.4824080816129,
2022-11-29 20:00:00,-74.75265711807833,
2022-11-29 23:00:00,-53.037981266028055,
2022-11-29 23:59:59,-15.783461962117144,c
2022-11-30 00:00:00,10.77965947759094,
2022-11-30 01:00:00,10.77965947759094,
2022-11-30 02:30:00,10.77965947759094,
2022-11-30 03:00:00,10.77965947759094,
2022-11-30 18:30:00,19.22542256048746,
2022-11-30 20:00:00,17.890157497639848,
2022-11-30 23:00:00,95.7055090579056,
2022-11-30 23:59:59,93.84356391453503,c
2022-12-01 00:00:00,24.123485248327597,
2022-12-01 01:00:00,24.123485248327597,
2022-12-01 02:30:00,24.123485248327597,
2022-12-01 03:00:00,24.123485248327597,
2022-12-01 18:30:00,-18.941716808241836,
2022-12-01 20:00:00,-76.68508176679688,
2022-12-01 23:00:00,-138.52406536232502,
2022-12-01 23:59:59,-111.90148391698676,c
2022-12-02 00:00:00,-181.8800712825182,
2022-12-02 01:00:00,-181.8800712825182,
2022-12-02 02:30:00,-181.8800712825182,
2022-12-02 03:00:00,-181.8800712825182,
2022-12-02 18:30:00,-181.8800712825182,
2022-12-02 20:00:00,-181.8800712825182,
2022-12-02 23:00:00,-181.8800712825182,
2022-12-02 23:59:59,-179.73981107930513,w
2022-12-05 00:00:00,-160.9711964200701,
2022-12-05 01:00:00,-160.9711964200701,
2022-12-05 02:30:00,-160.9711964200701,
2022-12-05 03:00:00,-160.9711964200701,
2022-12-05 18:30:00,-79.38543143702918,
2022-12-05 20:00:00,-173.8399088066176,
2022-12-05 23:00:00,-140.5338671667605,
2022-12-05 23:59:59,-111.59514300397723,c
2022-12-06 00:00:00,-9.023068566460552,
2022-12-06 01:00:00,-9.023068566460552,
2022-12-06 02:30:00,-9.023068566460552,
2022-12-06 03:00:00,-9.023068566460552,
2022-12-06 18:30:00,-87.60996235005814,
2022-12-06 20:00:00,-72.91005241015228,
2022-12-06 23:00:00,-8.555352239436615,
2022-12-06 23:59:59,50.12220377972835,c
2022-12-07 00:00:00,55.65614868538569,
2022-12-07 01:00:00,55.65614868538569,
2022-12-07 02:30:00,55.65614868538569,
2022-12-07 03:00:00,55.65614868538569,
2022-12-07 18:30:00,-27.45081749113251,
2022-12-07 20:00:00,29.76412093069348,
2022-12-07 23:00:00,76.60928277017047,
2022-12-07 23:59:59,68.44519307821383,c
2022-12-08 00:00:00,22.51475817117216,
2022-12-08 01:00:00,22.51475817117216,
2022-12-08 02:30:00,22.51475817117216,
2022-12-08 03:00:00,22.51475817117216,
2022-12-08 18:30:00,29.526331600952744,
2022-12-08 20:00:00,99.29955207756075,
2022-12-08 23:00:00,36.10123533974502,
2022-12-08 23:59:59,15.22440538589808,c
2022-12-09 00:00:00,-8.076911775577628,
2022-12-09 01:00:00,-8.076911775577628,
2022-12-09 02:30:00,-8.076911775577628,
2022-12-09 03:00:00,-8.076911775577628,
2022-12-09 18:30:00,-8.076911775577628,
2022-12-09 20:00:00,-8.076911775577628,
2022-12-09 23:00:00,-8.076911775577628,
2022-12-09 23:59:59,0.0,a
2022-12-12 00:00:00,0.12889851908403216,
2022-12-12 01:00:00,0.12889851908403216,
2022-12-12 02:30:00,0.12889851908403216,
2022-12-12 03:00:00,0.12889851908403216,
2022-12-12 18:30:00,32.079815615197276,
2022-12-12 20:00:00,23.285440027924324,
2022-12-12 23:00:00,24.371994475445717,
2022-12-12 23:59:59,23.362277732032453,c
2022-12-13 00:00:00,6.068781056626449,
2022-12-13 01:00:00,6.068781056626449,
2022-12-13 02:30:00,6.068781056626449,
2022-12-13 03:00:00,6.068781056626449,
2022-12-13 18:30:00,-122.16746820244771,
