date,QDF_2021_Q4,meta
2021-11-08 00:00:00,-28.63670826699881,
2021-11-08 10:00:00,-16.687733381330794,
2021-11-08 10:30:00,-9.112976454461865,
2021-11-08 12:00:00,-0.41231159048614785,
2021-11-08 13:30:00,3.9166188684477063,
2021-11-08 15:00:00,1.1568950981714465,
2021-11-08 15:30:30,1.1568950981714465,
2021-11-08 23:59:59,-1.0155334260517535,c
2021-11-09 00:00:00,36.914519869579635,
2021-11-09 10:00:00,-6.9304013012203285,
2021-11-09 10:30:00,-2.3420296553332207,
2021-11-09 12:00:00,3.0414508410496808,
2021-11-09 13:30:00,-4.073572906272489,
2021-11-09 15:00:00,5.586220006880396,
2021-11-09 15:30:30,5.586220006880396,
2021-11-09 23:59:59,3.8449598256326993,c
2021-11-10 00:00:00,-10.294617674316868,
2021-11-10 10:00:00,10.80385381577792,
2021-11-10 10:30:00,13.753497769522937,
2021-11-10 12:00:00,10.08116879389734,
2021-11-10 13:30:00,12.156932268121167,
2021-11-10 15:00:00,6.396702240063753,
2021-11-10 15:30:30,6.396702240063753,
2021-11-10 23:59:59,11.958329186850762,c
2021-11-11 00:00:00,37.75567375852583,
2021-11-11 10:00:00,30.454172315489146,
2021-11-11 10:30:00,24.011116747808884,
2021-11-11 12:00:00,29.07227068668155,
2021-11-11 13:30:00,37.25714967823819,
2021-11-11 15:00:00,32.3589098135094,
2021-11-11 15:30:30,32.3589098135094,
2021-11-11 23:59:59,22.265614408437145,c
2021-11-12 00:00:00,12.934129325037844,
2021-11-12 10:00:00,-7.377016481946356,
2021-11-12 10:30:00,-4.413964776424088,
2021-11-12 12:00:00,2.2508339768507994,
2021-11-12 13:30:00,-7.869263668727548,
2021-11-12 15:00:00,-13.359657345230204,
2021-11-12 15:30:30,-13.359657345230204,
2021-11-12 23:59:59,-9.485342636623656,w
2021-11-15 00:00:00,-12.421057110406998,
2021-11-15 10:00:00,-30.25506567756434,
2021-11-15 10:30:00,-32.54026031507998,
2021-11-15 12:00:00,-23.145304883020213,
2021-11-15 13:30:00,-14.993156730806298,
2021-11-15 15:00:00,-6.718664927385433,
2021-11-15 15:30:30,-6.718664927385433,
