date,XBI_2021_Q2,meta
2021-05-14 00:00:00,111.72056200768282,
2021-05-14 10:00:00,134.19241268199323,
2021-05-14 10:30:00,142.24764460202152,
2021-05-14 12:00:00,105.16871224112833,
2021-05-14 13:30:00,106.45609639493398,
2021-05-14 15:00:00,102.25582806753243,
2021-05-14 15:30:30,102.25582806753243,
2021-05-14 23:59:59,89.45521802109738,w
2021-05-17 00:00:00,68.17095157525534,
2021-05-17 10:00:00,98.10818430482652,
2021-05-17 10:30:00,135.6056420959867,
2021-05-17 12:00:00,156.6039745891128,
2021-05-17 13:30:00,126.21450380140811,
2021-05-17 15:00:00,120.60737465046418,
2021-05-17 15:30:30,120.60737465046418,
2021-05-17 23:59:59,137.07162703182655,c
2021-05-18 00:00:00,138.7747882761521,
2021-05-18 10:00:00,179.18644049924762,
2021-05-18 10:30:00,175.9428279900393,
2021-05-18 12:00:00,196.19141556510647,
2021-05-18 13:30:00,214.1715332903292,
2021-05-18 15:00:00,195.448739707664,
2021-05-18 15:30:30,195.448739707664,
2021-05-18 23:59:59,187.07947099611067,c
2021-05-19 00:00:00,97.729125308942,
2021-05-19 10:00:00,154.94188253849325,
2021-05-19 10:30:00,168.59420859596878,
2021-05-19 12:00:00,103.29737941430062,
2021-05-19 13:30:00,89.17477503056273,
2021-05-19 15:00:00,97.43778935399155,
2021-05-19 15:30:30,97.43778935399155,
2021-05-19 23:59:59,123.3565071446759,c
2021-05-20 00:00:00,185.70935693692525,
2021-05-20 10:00:00,196.89467721844187,
2021-05-20 10:30:00,203.51767556162838,
2021-05-20 12:00:00,171.78570490115396,
2021-05-20 13:30:00,168.61591095623828,
2021-05-20 15:00:00,178.81965876192442,
2021-05-20 15:30:30,178.81965876192442,
2021-05-20 23:59:59,176.3736468926678,c
2021-05-21 00:00:00,181.80597628517637,
2021-05-21 10:00:00,173.99301758119043,
2021-05-21 10:30:00,175.26233784225053,
2021-05-21 12:00:00,155.34277269339077,
2021-05-21 13:30:00,152.6342287115233,
2021-05-21 15:00:00,158.80944804960802,
2021-05-21 15:30:30,158.80944804960802,
2021-05-21 23:59:59,170.25983646893508,w
2021-05-24 00:00:00,168.18347602696792,
2021-05-24 10:00:00,223.60909684621436,
2021-05-24 10:30:00,190.22932928053785,
2021-05-24 12:00:00,189.04019106863882,
2021-05-24 13:30:00,185.752842623133,
2021-05-24 15:00:00,190.5339807256829,
2021-05-24 15:30:30,190.5339807256829,
2021-05-24 23:59:59,167.12834160619752,c
2021-05-25 00:00:00,168.60705967319302,
2021-05-25 10:00:00,173.0786124473683,
2021-05-25 10:30:00,160.5560043094855,
2021-05-25 12:00:00,165.32720726548484,
2021-05-25 13:30:00,161.98413872072695,
2021-05-25 15:00:00,177.20796294988565,
2021-05-25 15:30:30,177.20796294988565,
2021-05-25 23:59:59,167.20567428889342,c
2021-05-26 00:00:00,148.83516517110309,
2021-05-26 10:00:00,146.04534482937402,
2021-05-26 10:30:00,159.97661851381088,
2021-05-26 12:00:00,166.04779748718522,
2021-05-26 13:30:00,174.8184407156367,
2021-05-26 15:00:00,192.71563147595077,
2021-05-26 15:30:30,192.71563147595077,
2021-05-26 23:59:59,183.60663608245716,c
2021-05-27 00:00:00,250.94320131644702,
2021-05-27 10:00:00,250.63982820108174,
2021-05-27 10:30:00,261.95805362288536,
2021-05-27 12:00:00,209.427171816512,
2021-05-27 13:30:00,251.9099972432531,
2021-05-27 15:00:00,241.80685540083175,
2021-05-27 15:30:30,241.80685540083175,m
2021-05-27 23:59:59,243.6272614040289,c
2021-05-28 00:00:00,257.97298281468204,
2021-05-28 10:00:00,294.26767312835557,
2021-05-28 10:30:00,268.12965079641333,
2021-05-28 12:00:00,264.6651954952423,
2021-05-28 13:30:00,251.4220818748082,
2021-05-28 15:00:00,275.8808958538458,
2021-05-28 15:30:30,275.8808958538458,
2021-05-28 23:59:59,282.5246281747362,w
2021-05-31 00:00:00,282.5246281747362,
2021-05-31 10:00:00,282.5246281747362,
2021-05-31 10:30:00,282.5246281747362,
2021-05-31 12:00:00,282.5246281747362,
2021-05-31 13:30:00,282.5246281747362,
2021-05-31 15:00:00,282.5246281747362,
2021-05-31 15:30:30,282.5246281747362,s
2021-05-31 23:59:59,282.5246281747362,c
2021-06-01 00:00:00,246.0557338611717,
2021-06-01 10:00:00,283.5653018667366,
2021-06-01 10:30:00,262.9422721636719,
2021-06-01 12:00:00,260.38411204483975,
2021-06-01 13:30:00,299.6700488725854,
2021-06-01 15:00:00,278.38605580777755,
2021-06-01 15:30:30,278.38605580777755,
2021-06-01 23:59:59,303.90863892285563,c
2021-06-02 00:00:00,235.67894792605364,
2021-06-02 10:00:00,211.13026996478914,
2021-06-02 10:30:00,219.28902422399403,
2021-06-02 12:00:00,213.83543011289305,
2021-06-02 13:30:00,200.22452491792717,
2021-06-02 15:00:00,193.48947194022196,
2021-06-02 15:30:30,193.48947194022196,
2021-06-02 23:59:59,198.01193709714278,c
2021-06-03 00:00:00,181.93071971123516,
2021-06-03 10:00:00,163.02625777010655,
2021-06-03 10:30:00,191.92385811807742,
2021-06-03 12:00:00,214.24597023053855,
2021-06-03 13:30:00,222.93563581549813,
2021-06-03 15:00:00,212.04158073827773,
2021-06-03 15:30:30,212.04158073827773,
2021-06-03 23:59:59,196.71355657436072,c
2021-06-04 00:00:00,210.4149080689773,
2021-06-04 10:00:00,165.10833985473016,
2021-06-04 10:30:00,166.0785932988939,
2021-06-04 12:00:00,158.40362223985233,
2021-06-04 13:30:00,150.47442159512354,
2021-06-04 15:00:00,141.430780447836,
