date,FCTR_2023_F,meta
2023-01-18 00:00:00,-309.219000674806,
2023-01-18 10:00:00,-319.1426729367355,
2023-01-18 10:30:00,-309.26629689301103,
2023-01-18 12:00:00,-347.7156832524365,
2023-01-18 13:30:00,-357.32352841581485,
2023-01-18 15:00:00,-349.76816012820575,
2023-01-18 15:30:30,-349.76816012820575,
2023-01-18 23:59:59,-352.8658635446717,c
2023-01-19 00:00:00,-377.6030484575838,
2023-01-19 10:00:00,-376.2305472244042,
2023-01-19 10:30:00,-393.6165707647489,
2023-01-19 12:00:00,-416.94198721297425,
2023-01-19 13:30:00,-406.4825500580914,
2023-01-19 15:00:00,-393.3589380111039,
2023-01-19 15:30:30,-393.3589380111039,
2023-01-19 23:59:59,-390.1727575413655,c
2023-01-20 00:00:00,-374.41242778116055,
2023-01-20 10:00:00,-344.87571456317005,
2023-01-20 10:30:00,-347.48721744432373,
2023-01-20 12:00:00,-338.19595877147265,
2023-01-20 13:30:00,-327.5916729766225,
2023-01-20 15:00:00,-316.84846343877746,
2023-01-20 15:30:30,-316.84846343877746,
2023-01-20 23:59:59,-314.2574377881589,w
2023-01-23 00:00:00,-309.6756639946128,
2023-01-23 10:00:00,-285.6214529292896,
2023-01-23 10:30:00,-277.36893311673543,
2023-01-23 12:00:00,-270.45780514606054,
2023-01-23 13:30:00,-260.6911072512021,
2023-01-23 15:00:00,-244.40430889311247,
2023-01-23 15:30:30,-244.40430889311247,
2023-01-23 23:59:59,-235.17444479509518,c
2023-01-24 00:00:00,-256.54220858360304,
2023-01-24 10:00:00,-215.02141065131,
2023-01-24 10:30:00,-243.21803075148793,
2023-01-24 12:00:00,-247.61088352407805,
2023-01-24 13:30:00,-258.0330301124877,
2023-01-24 15:00:00,-274.0064641610596,
2023-01-24 15:30:30,-274.0064641610596,
2023-01-24 23:59:59,-278.9707067259817,c
2023-01-25 00:00:00,-333.36205823338685,
2023-01-25 10:00:00,-361.0513383030634,
2023-01-25 10:30:00,-351.2816574824145,
2023-01-25 12:00:00,-314.35904602035805,
2023-01-25 13:30:00,-299.6232638503708,
2023-01-25 15:00:00,-270.26619986639366,
2023-01-25 15:30:30,-270.26619986639366,
2023-01-25 23:59:59,-276.0051025099302,c
2023-01-26 00:00:00,-226.64110391203084,
2023-01-26 10:00:00,-230.13444885937443,
2023-01-26 10:30:00,-222.0672221107059,
2023-01-26 12:00:00,-251.47970863651463,
2023-01-26 13:30:00,-245.21232899939972,
2023-01-26 15:00:00,-226.49111145035775,
2023-01-26 15:30:30,-226.49111145035775,
2023-01-26 23:59:59,-210.86734221326444,c
2023-01-27 00:00:00,-234.2035827964912,
2023-01-27 10:00:00,-177.72107393635494,
2023-01-27 10:30:00,-162.88905516056676,
2023-01-27 12:00:00,-141.0632556750405,
2023-01-27 13:30:00,-111.80276087154232,
2023-01-27 15:00:00,-101.27316798813624,
2023-01-27 15:30:30,-101.27316798813624,
2023-01-27 23:59:59,-96.40421332371147,w
2023-01-30 00:00:00,-123.5569150858006,
2023-01-30 10:00:00,-122.21625946570472,
2023-01-30 10:30:00,-166.26373470677757,
2023-01-30 12:00:00,-139.8870181588441,
2023-01-30 13:30:00,-143.00704942152885,
2023-01-30 15:00:00,-151.08161512229748,
2023-01-30 15:30:30,-151.08161512229748,
2023-01-30 23:59:59,-161.81525648216441,c
2023-01-31 00:00:00,-172.7098033614923,
2023-01-31 10:00:00,-152.35114152436813,
2023-01-31 10:30:00,-149.6531958501491,
2023-01-31 12:00:00,-124.96125017510045,
2023-01-31 13:30:00,-128.53848771091754,
2023-01-31 15:00:00,-117.06430100441099,
2023-01-31 15:30:30,-117.06430100441099,s
2023-01-31 23:59:59,-122.86700675665958,c
2023-02-01 00:00:00,-119.7060829579876,
2023-02-01 10:00:00,-118.59973314056347,
2023-02-01 10:30:00,-111.06876217512777,
2023-02-01 12:00:00,-111.2755557149656,
2023-02-01 13:30:00,-93.7501476595751,
2023-02-01 15:00:00,-45.817916345636206,
2023-02-01 15:30:30,-45.817916345636206,
2023-02-01 23:59:59,0.0,a
2023-02-02 00:00:00,118.59049069604814,
2023-02-02 10:00:00,151.28881185505637,
2023-02-02 10:30:00,191.41523847271205,
2023-02-02 12:00:00,237.9375209466778,
2023-02-02 13:30:00,263.2350524516029,
2023-02-02 15:00:00,220.2584696955572,
2023-02-02 15:30:30,220.2584696955572,
2023-02-02 23:59:59,247.18935855729777,c
0,247.18935855729777,
0,247.18935855729777,
0,247.18935855729777,
0,247.18935855729777,
0,247.18935855729777,
0,247.18935855729777,
0,247.18935855729777,
0,247.18935855729777,
2023-02-03 00:00:00,105.5953675933302,
2023-02-03 10:00:00,147.23736609956654,
2023-02-03 10:30:00,130.7662086500961,
2023-02-03 12:00:00,130.84091164334228,
2023-02-03 13:30:00,109.39369544975915,
2023-02-03 15:00:00,74.81231212535965,
2023-02-03 15:30:30,74.81231212535965,
2023-02-03 23:59:59,69.95189043831692,e
2023-02-06 00:00:00,49.173201568757754,
2023-02-06 10:00:00,70.06493139047436,
2023-02-06 10:30:00,61.37944640232269,
2023-02-06 12:00:00,79.93770865179178,
2023-02-06 13:30:00,53.25985876596871,
2023-02-06 15:00:00,47.979071629803,
2023-02-06 15:30:30,47.979071629803,
2023-02-06 23:59:59,44.06088154785103,c
2023-02-07 00:00:00,64.67893637456713,
2023-02-07 10:00:00,44.50644642899109,
2023-02-07 10:30:00,15.641172014146207,
2023-02-07 12:00:00,21.010323185617295,
2023-02-07 13:30:00,16.39587826014349,
2023-02-07 15:00:00,34.1996222488507,
