date,SPYD_2021_Q1,meta
2021-01-22 12:00:00,38.81148202362513,
2021-01-22 13:30:00,35.4112878216971,
2021-01-22 15:00:00,11.477083220005397,
2021-01-22 15:30:30,11.477083220005397,
2021-01-22 23:59:59,0.0,a
2021-01-25 00:00:00,6.702362639182837,
2021-01-25 10:00:00,-44.22785012578129,
2021-01-25 10:30:00,-12.978762268772726,
2021-01-25 12:00:00,29.0272210147362,
2021-01-25 13:30:00,38.22430784900496,
2021-01-25 15:00:00,34.32461684657278,
2021-01-25 15:30:30,34.32461684657278,
2021-01-25 23:59:59,33.588527516604955,c
2021-01-26 00:00:00,5.698629171872568,
2021-01-26 10:00:00,17.771645732437037,
2021-01-26 10:30:00,-1.5285359472089795,
2021-01-26 12:00:00,21.027602469544377,
2021-01-26 13:30:00,8.45307129147372,
2021-01-26 15:00:00,26.439278118574606,
2021-01-26 15:30:30,26.439278118574606,
2021-01-26 23:59:59,12.379576327495897,c
2021-01-27 00:00:00,23.71202841511945,
2021-01-27 10:00:00,-25.467327171384113,
2021-01-27 10:30:00,-52.96699884599013,
2021-01-27 12:00:00,-4.3902791440767714,
2021-01-27 13:30:00,-20.731047484340763,
2021-01-27 15:00:00,-13.09247198431106,
2021-01-27 15:30:30,-13.09247198431106,
2021-01-27 23:59:59,-43.172650050099264,c
2021-01-28 00:00:00,-66.88353792432912,
2021-01-28 10:00:00,7.880195716063071,
2021-01-28 10:30:00,0.28890564566458465,
2021-01-28 12:00:00,58.134350910402105,
2021-01-28 13:30:00,54.854642981030906,
2021-01-28 15:00:00,12.988163480923248,
2021-01-28 15:30:30,12.988163480923248,
2021-01-28 23:59:59,-5.817927778500689,c
2021-01-29 00:00:00,-29.1366305348227,
2021-01-29 10:00:00,-39.96879683575571,
2021-01-29 10:30:00,-3.538020730624055,
2021-01-29 12:00:00,18.65896747231764,
2021-01-29 13:30:00,74.19877400013155,
2021-01-29 15:00:00,85.06950590286291,
2021-01-29 15:30:30,85.06950590286291,
2021-01-29 23:59:59,71.1649044782223,e
2021-02-01 00:00:00,57.40496252345028,
2021-02-01 10:00:00,2.3333980366872993,
2021-02-01 10:30:00,0.09444917122013408,
2021-02-01 12:00:00,-13.280982420777775,
2021-02-01 13:30:00,-17.299277999218702,
2021-02-01 15:00:00,-52.8252600195741,
2021-02-01 15:30:30,-52.8252600195741,
2021-02-01 23:59:59,-61.47384823578557,c
2021-02-02 00:00:00,-61.167427915046744,
2021-02-02 10:00:00,-66.708164038446,
2021-02-02 10:30:00,-53.80157292016548,
2021-02-02 12:00:00,-59.17767229973617,
2021-02-02 13:30:00,-72.04557646690643,
2021-02-02 15:00:00,-79.73617208118515,
2021-02-02 15:30:30,-79.73617208118515,
2021-02-02 23:59:59,-77.95579311955669,c
2021-02-03 00:00:00,-80.39008531698636,
2021-02-03 10:00:00,-99.9573406055527,
2021-02-03 10:30:00,-84.99844344384434,
2021-02-03 12:00:00,-111.53872557507117,
2021-02-03 13:30:00,-122.4693029352141,
2021-02-03 15:00:00,-119.21153436723199,
2021-02-03 15:30:30,-119.21153436723199,
2021-02-03 23:59:59,-126.25654281414478,c
2021-02-04 00:00:00,-87.19476537147705,
2021-02-04 10:00:00,-88.43087638405893,
2021-02-04 10:30:00,-102.74719979565458,
2021-02-04 12:00:00,-102.26626712265949,
2021-02-04 13:30:00,-109.11074624043289,
2021-02-04 15:00:00,-108.975904051452,
2021-02-04 15:30:30,-108.975904051452,
2021-02-04 23:59:59,-121.57636453511356,c
2021-02-05 00:00:00,-107.4286624924016,
2021-02-05 10:00:00,-112.37463291797621,
2021-02-05 10:30:00,-144.29889025745172,
