date,XSLV_2021_Q3,meta
2021-07-16 00:00:00,285.3031017228657,
2021-07-16 10:00:00,292.5072830575486,
2021-07-16 10:30:00,289.8674197481082,
2021-07-16 12:00:00,296.3146046468197,
2021-07-16 13:30:00,299.41819297031736,
2021-07-16 15:00:00,292.9260330828169,
2021-07-16 15:30:30,292.9260330828169,
2021-07-16 23:59:59,292.38256265613694,w
2021-07-19 00:00:00,269.7357777641038,
2021-07-19 10:00:00,272.5883371201529,
2021-07-19 10:30:00,271.1912526707937,
2021-07-19 12:00:00,267.5432454807301,
2021-07-19 13:30:00,265.84443528461657,
2021-07-19 15:00:00,259.77069104364443,
2021-07-19 15:30:30,259.77069104364443,
2021-07-19 23:59:59,257.3441256341818,c
2021-07-20 00:00:00,261.9815689964973,
2021-07-20 10:00:00,282.60178549839475,
2021-07-20 10:30:00,290.2468054820466,
2021-07-20 12:00:00,290.2387933204312,
2021-07-20 13:30:00,290.4765113011691,
2021-07-20 15:00:00,291.09247562672965,
2021-07-20 15:30:30,291.09247562672965,
2021-07-20 23:59:59,281.8731628717135,c
2021-07-21 00:00:00,295.31423514759956,
2021-07-21 10:00:00,303.2258148066029,
2021-07-21 10:30:00,304.4977636747529,
2021-07-21 12:00:00,296.96941885874253,
2021-07-21 13:30:00,303.4913672736327,
2021-07-21 15:00:00,300.93163624264525,
2021-07-21 15:30:30,300.93163624264525,
2021-07-21 23:59:59,300.9271438585208,c
2021-07-22 00:00:00,290.35136529558247,
2021-07-22 10:00:00,284.7410058770363,
2021-07-22 10:30:00,280.2804920551922,
2021-07-22 12:00:00,269.83071114806785,
2021-07-22 13:30:00,295.2508179014663,
2021-07-22 15:00:00,287.94965430973315,
2021-07-22 15:30:30,287.94965430973315,
2021-07-22 23:59:59,285.9668454458897,c
2021-07-23 00:00:00,288.75609200087945,
2021-07-23 10:00:00,297.6743368751436,
2021-07-23 10:30:00,292.79546964,
2021-07-23 12:00:00,272.72548417518516,
2021-07-23 13:30:00,262.55762892494334,
2021-07-23 15:00:00,258.55041689195036,
2021-07-23 15:30:30,258.55041689195036,
2021-07-23 23:59:59,250.88520879705678,w
2021-07-26 00:00:00,260.6616066514878,
2021-07-26 10:00:00,273.36362812950193,
2021-07-26 10:30:00,265.68697279407826,
2021-07-26 12:00:00,265.2188952094946,
2021-07-26 13:30:00,253.03149097479263,
2021-07-26 15:00:00,254.09636570169874,
2021-07-26 15:30:30,254.09636570169874,
2021-07-26 23:59:59,258.93499671599886,c
2021-07-27 00:00:00,246.65886911827175,
2021-07-27 10:00:00,257.5986443314406,
2021-07-27 10:30:00,265.70915976663,
2021-07-27 12:00:00,280.27749926282706,
2021-07-27 13:30:00,285.46859480529974,
2021-07-27 15:00:00,281.81052839281676,
2021-07-27 15:30:30,281.81052839281676,
2021-07-27 23:59:59,283.1767269438637,c
2021-07-28 00:00:00,276.4211282010997,
2021-07-28 10:00:00,260.1242407264872,
2021-07-28 10:30:00,260.02579022475396,
2021-07-28 12:00:00,259.93831810939486,
2021-07-28 13:30:00,263.9118794496197,
2021-07-28 15:00:00,267.44350785793415,
2021-07-28 15:30:30,267.44350785793415,
2021-07-28 23:59:59,264.65799543893945,c
2021-07-29 00:00:00,275.53524658439466,
2021-07-29 10:00:00,247.1525993904016,
2021-07-29 10:30:00,240.14921446939326,
2021-07-29 12:00:00,245.4614273170791,
2021-07-29 13:30:00,233.37958810873633,
2021-07-29 15:00:00,230.41874075212874,
2021-07-29 15:30:30,230.41874075212874,
2021-07-29 23:59:59,230.12550309836328,c
2021-07-30 00:00:00,216.60386233521868,
2021-07-30 10:00:00,245.174043810513,
2021-07-30 10:30:00,238.23525538806004,
2021-07-30 12:00:00,237.71834741159333,
2021-07-30 13:30:00,221.59209575849593,
2021-07-30 15:00:00,226.4749246971666,
2021-07-30 15:30:30,226.4749246971666,s
2021-07-30 23:59:59,221.1152644256728,w
2021-08-02 00:00:00,229.03065964233159,
2021-08-02 10:00:00,216.20796615026148,
2021-08-02 10:30:00,206.11740431692073,
2021-08-02 12:00:00,186.24836919332904,
2021-08-02 13:30:00,191.83613964025315,
2021-08-02 15:00:00,188.26042038511903,
2021-08-02 15:30:30,188.26042038511903,
2021-08-02 23:59:59,183.1044417345956,c
2021-08-03 00:00:00,182.31671165095622,
2021-08-03 10:00:00,139.74484577774456,
2021-08-03 10:30:00,141.63015048848035,
2021-08-03 12:00:00,130.40250205030833,
2021-08-03 13:30:00,129.25260905905589,
2021-08-03 15:00:00,127.4625358644725,
2021-08-03 15:30:30,127.4625358644725,
2021-08-03 23:59:59,126.08162343125042,c
2021-08-04 00:00:00,112.64033092749833,
2021-08-04 10:00:00,91.6181112422459,
2021-08-04 10:30:00,113.23421771381743,
2021-08-04 12:00:00,123.96584561849897,
2021-08-04 13:30:00,117.60672908788757,
2021-08-04 15:00:00,103.71416971662097,
2021-08-04 15:30:30,103.71416971662097,
2021-08-04 23:59:59,102.73532879061486,c
2021-08-05 00:00:00,70.49349343151329,
2021-08-05 10:00:00,88.83296488744412,
2021-08-05 10:30:00,98.77078896065814,
2021-08-05 12:00:00,99.93802498122864,
2021-08-05 13:30:00,94.18221433611927,
2021-08-05 15:00:00,86.85731459514551,
2021-08-05 15:30:30,86.85731459514551,
2021-08-05 23:59:59,80.3166193964708,c
2021-08-06 00:00:00,118.16506034342086,
2021-08-06 10:00:00,98.70890643025666,
2021-08-06 10:30:00,118.72905056977407,
2021-08-06 12:00:00,102.47672168778121,
2021-08-06 13:30:00,105.11470077025444,
