date,MSCI_US_SC_STAY_HEDGED_2021_Q1,meta
2021-01-25 15:00:00,361.783549385048,
2021-01-25 15:30:30,361.783549385048,
2021-01-25 23:59:59,304.2439893995461,c
2021-01-26 00:00:00,298.22884666512846,
2021-01-26 10:00:00,372.3732669485921,
2021-01-26 10:30:00,390.9055517355455,
2021-01-26 12:00:00,362.78086169994185,
2021-01-26 13:30:00,395.50591410357356,
2021-01-26 15:00:00,374.69750076596665,
2021-01-26 15:30:30,374.69750076596665,
2021-01-26 23:59:59,400.31168437329825,c
2021-01-27 00:00:00,398.6548885805669,
2021-01-27 10:00:00,525.5392289088459,
2021-01-27 10:30:00,619.4555530632356,
2021-01-27 12:00:00,675.6705938251371,
2021-01-27 13:30:00,601.0185667381047,
2021-01-27 15:00:00,552.7181056202803,
2021-01-27 15:30:30,552.7181056202803,
2021-01-27 23:59:59,537.2191137716231,c
2021-01-28 00:00:00,556.2134731743358,
2021-01-28 10:00:00,539.182136310691,
2021-01-28 10:30:00,517.8389287774885,
2021-01-28 12:00:00,513.5798023888901,
2021-01-28 13:30:00,539.5272007595913,
2021-01-28 15:00:00,524.6805535763096,
2021-01-28 15:30:30,524.6805535763096,
2021-01-28 23:59:59,535.9281384644323,c
2021-01-29 00:00:00,502.9587075767031,
2021-01-29 10:00:00,465.73622380712914,
2021-01-29 10:30:00,479.6561382082864,
2021-01-29 12:00:00,508.27832422973097,
2021-01-29 13:30:00,498.39276813153174,
2021-01-29 15:00:00,502.32950454200136,
2021-01-29 15:30:30,502.32950454200136,
2021-01-29 23:59:59,499.62266287093735,w
2021-02-01 00:00:00,437.30979061870494,
2021-02-01 10:00:00,435.0526714956204,
2021-02-01 10:30:00,430.2444991760035,
2021-02-01 12:00:00,415.68553014992904,
2021-02-01 13:30:00,418.5125939584773,
2021-02-01 15:00:00,384.03375466227135,
2021-02-01 15:30:30,384.03375466227135,
2021-02-01 23:59:59,376.1416566297512,c
2021-02-02 00:00:00,357.44763616999035,
2021-02-02 10:00:00,399.06039352575044,
2021-02-02 10:30:00,361.7650477174334,
2021-02-02 12:00:00,324.259550890034,
2021-02-02 13:30:00,331.1063415168055,
2021-02-02 15:00:00,327.9784978373941,
2021-02-02 15:30:30,327.9784978373941,
2021-02-02 23:59:59,302.10698799068814,c
2021-02-03 00:00:00,375.86291820373845,
2021-02-03 10:00:00,410.1174213381455,
2021-02-03 10:30:00,415.9734290700653,
2021-02-03 12:00:00,436.1475651736605,
2021-02-03 13:30:00,448.2993893539651,
2021-02-03 15:00:00,434.3820385228428,
2021-02-03 15:30:30,434.3820385228428,
2021-02-03 23:59:59,444.4648978638288,c
2021-02-04 00:00:00,416.27049741575047,
2021-02-04 10:00:00,385.2074798139529,
2021-02-04 10:30:00,351.6841729093967,
2021-02-04 12:00:00,289.72726015873377,
2021-02-04 13:30:00,322.16977205968305,
2021-02-04 15:00:00,319.04787630932606,
2021-02-04 15:30:30,319.04787630932606,
2021-02-04 23:59:59,317.75999666022744,c
2021-02-05 00:00:00,281.87285232295744,
2021-02-05 10:00:00,230.01135022762082,
2021-02-05 10:30:00,223.01210265773034,
2021-02-05 12:00:00,221.9962396930223,
2021-02-05 13:30:00,195.8854245219668,
2021-02-05 15:00:00,141.91494807456957,
2021-02-05 15:30:30,141.91494807456957,
2021-02-05 23:59:59,145.47122189373704,w
2021-02-08 00:00:00,117.79834690537155,
2021-02-08 10:00:00,121.82431937003912,
2021-02-08 10:30:00,71.8429648657243,
2021-02-08 12:00:00,76.42351647916303,
2021-02-08 13:30:00,66.14544457188731,
2021-02-08 15:00:00,21.262651285643187,
2021-02-08 15:30:30,21.262651285643187,
2021-02-08 23:59:59,0.0,a
2021-02-09 00:00:00,106.39921686953176,
2021-02-09 10:00:00,215.48532328014926,
2021-02-09 10:30:00,270.1222815245296,
2021-02-09 12:00:00,345.8885489976992,
2021-02-09 13:30:00,396.53871396597833,
2021-02-09 15:00:00,396.1739887876706,
2021-02-09 15:30:30,396.1739887876706,
2021-02-09 23:59:59,430.3476470588239,c
2021-02-10 00:00:00,881.0423253432764,
2021-02-10 10:00:00,744.2996837743235,
2021-02-10 10:30:00,709.0877975349472,
2021-02-10 12:00:00,681.2338547966901,
2021-02-10 13:30:00,741.0028907912647,
2021-02-10 15:00:00,785.354058000526,
2021-02-10 15:30:30,785.354058000526,
2021-02-10 23:59:59,880.4074774441192,c
2021-02-11 00:00:00,670.4527284039241,
