date,MSCI_MXN_2023_Q1,meta
2023-01-26 00:00:00,-793.3624017326983,
2023-01-26 10:00:00,-776.1904243796707,
2023-01-26 10:30:00,-829.8723766581425,
2023-01-26 12:00:00,-787.0375118640222,
2023-01-26 13:30:00,-807.2024082289754,
2023-01-26 15:00:00,-816.6851170611662,
2023-01-26 15:30:30,-816.6851170611662,
2023-01-26 23:59:59,-798.5501958234508,c
2023-01-27 00:00:00,-784.8958791592668,
2023-01-27 10:00:00,-779.5937283898947,
2023-01-27 10:30:00,-797.3218862152517,
2023-01-27 12:00:00,-749.8870653797057,
2023-01-27 13:30:00,-754.6598106633901,
2023-01-27 15:00:00,-725.8880546953133,
2023-01-27 15:30:30,-725.8880546953133,
2023-01-27 23:59:59,-714.3176530000055,w
2023-01-30 00:00:00,-719.0750116123127,
2023-01-30 10:00:00,-709.2987751515793,
2023-01-30 10:30:00,-764.7489861328013,
2023-01-30 12:00:00,-695.6534999115611,
2023-01-30 13:30:00,-735.7029480059009,
2023-01-30 15:00:00,-717.2983973825885,
2023-01-30 15:30:30,-717.2983973825885,
2023-01-30 23:59:59,-730.0985324229132,c
2023-01-31 00:00:00,-719.7749218784102,
2023-01-31 10:00:00,-679.7557524238109,
2023-01-31 10:30:00,-673.0557575792864,
2023-01-31 12:00:00,-615.9963171721756,
2023-01-31 13:30:00,-645.819758444859,
2023-01-31 15:00:00,-643.3140771504386,
2023-01-31 15:30:30,-643.3140771504386,
2023-01-31 23:59:59,-689.6868791339912,c
2023-02-01 00:00:00,-674.7022363738124,
2023-02-01 10:00:00,-716.5420461546273,
2023-02-01 10:30:00,-624.1856200910806,
2023-02-01 12:00:00,-606.8218475601661,
2023-02-01 13:30:00,-567.7472684401619,
2023-02-01 15:00:00,-636.9825639197516,
2023-02-01 15:30:30,-636.9825639197516,
2023-02-01 23:59:59,-669.101904728097,c
2023-02-02 00:00:00,-677.9254551537288,
2023-02-02 10:00:00,-614.8137167647728,
2023-02-02 10:30:00,-608.1173473775161,
2023-02-02 12:00:00,-547.4990687936861,
2023-02-02 13:30:00,-453.65419875266707,
2023-02-02 15:00:00,-347.6933214734636,
2023-02-02 15:30:30,-347.6933214734636,
2023-02-02 23:59:59,-406.53547962754055,c
2023-02-03 00:00:00,-403.4398867422351,
2023-02-03 10:00:00,-418.9179780798768,
2023-02-03 10:30:00,-363.97414363732605,
2023-02-03 12:00:00,-407.2559075920799,
2023-02-03 13:30:00,-396.30037818279925,
2023-02-03 15:00:00,-347.6297007331086,
2023-02-03 15:30:30,-347.6297007331086,
2023-02-03 23:59:59,-399.633251697227,w
2023-02-06 00:00:00,-399.633251697227,
2023-02-06 10:00:00,-399.633251697227,
2023-02-06 10:30:00,-399.633251697227,
2023-02-06 12:00:00,-399.633251697227,
2023-02-06 13:30:00,-399.633251697227,
2023-02-06 15:00:00,-399.633251697227,
2023-02-06 15:30:30,-399.633251697227,
2023-02-06 23:59:59,-399.633251697227,c
2023-02-07 00:00:00,-389.5923487599921,
2023-02-07 10:00:00,-297.6987631820539,
2023-02-07 10:30:00,-266.4508209885935,
2023-02-07 12:00:00,-230.24090220697508,
2023-02-07 13:30:00,-265.8305632110678,
2023-02-07 15:00:00,-227.2434008681139,
2023-02-07 15:30:30,-227.2434008681139,
2023-02-07 23:59:59,-85.99147112474384,c
2023-02-08 00:00:00,-86.60084855190871,
2023-02-08 10:00:00,-117.0395301317476,
2023-02-08 10:30:00,-122.56346585134088,
2023-02-08 12:00:00,-102.5194668908025,
2023-02-08 13:30:00,-86.0396062298314,
2023-02-08 15:00:00,-69.44330910520694,
2023-02-08 15:30:30,-69.44330910520694,
2023-02-08 23:59:59,-103.7090477022175,c
2023-02-09 00:00:00,-108.13541987950157,
2023-02-09 10:00:00,-77.99748531387013,
2023-02-09 10:30:00,-94.20182973456212,
2023-02-09 12:00:00,-13.640438766862644,
2023-02-09 13:30:00,-37.82134023458457,
2023-02-09 15:00:00,-48.86461372993472,
2023-02-09 15:30:30,-48.86461372993472,
2023-02-09 23:59:59,0.0,a
2023-02-10 00:00:00,-9.354597641271539,
2023-02-10 10:00:00,28.06431674988744,
2023-02-10 10:30:00,-11.439053594163852,
2023-02-10 12:00:00,7.53125790321792,
2023-02-10 13:30:00,6.441989210848988,
2023-02-10 15:00:00,-6.104375664624968,
2023-02-10 15:30:30,-6.104375664624968,
2023-02-10 23:59:59,-1.4374869791336096,w
2023-02-13 00:00:00,-28.788208075320654,
2023-02-13 10:00:00,-110.22007123363801,
2023-02-13 10:30:00,-155.49733109049885,
2023-02-13 12:00:00,-198.72770207876056,
2023-02-13 13:30:00,-164.85343044431647,
2023-02-13 15:00:00,-148.6965634354001,
2023-02-13 15:30:30,-148.6965634354001,
2023-02-13 23:59:59,-139.2085495971951,c
2023-02-14 00:00:00,-143.50482362692492,
2023-02-14 10:00:00,-228.15015049238718,
2023-02-14 10:30:00,-191.89506631397126,
2023-02-14 12:00:00,-102.85839292039418,
2023-02-14 13:30:00,-102.40512590788785,
2023-02-14 15:00:00,-110.37030124421835,
2023-02-14 15:30:30,-110.37030124421835,
2023-02-14 23:59:59,-47.18200623764642,c
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
0,-47.18200623764642,
2023-02-15 00:00:00,-39.544687250365314,
2023-02-15 10:00:00,19.554633258891045,
2023-02-15 10:30:00,-9.011681515359669,
2023-02-15 12:00:00,45.63587726883998,
2023-02-15 13:30:00,-17.40028767248623,
2023-02-15 15:00:00,-19.686418830793627,
2023-02-15 15:30:30,-19.686418830793627,
2023-02-15 23:59:59,-72.38563661855915,c
2023-02-16 00:00:00,-85.47283062745919,
2023-02-16 10:00:00,-26.596106226981647,
2023-02-16 10:30:00,-124.0325534193762,
2023-02-16 12:00:00,-287.260465400901,
2023-02-16 13:30:00,-271.1508745362571,
2023-02-16 15:00:00,-263.74698098070076,
2023-02-16 15:30:30,-263.74698098070076,
2023-02-16 23:59:59,-234.30859172867167,c
2023-02-17 00:00:00,-215.14072064729407,
2023-02-17 10:00:00,-256.50990533170625,
2023-02-17 10:30:00,-340.7224610567155,
2023-02-17 12:00:00,-321.08733051498893,
2023-02-17 13:30:00,-359.2401897730597,
2023-02-17 15:00:00,-327.1350712485455,
2023-02-17 15:30:30,-327.1350712485455,
2023-02-17 23:59:59,-235.75369219616732,w
2023-02-20 00:00:00,-258.4834014598782,
2023-02-20 10:00:00,-273.9356514457977,
2023-02-20 10:30:00,-272.1837653792427,
2023-02-20 12:00:00,-368.6431413723385,
2023-02-20 13:30:00,-385.49782768637124,
2023-02-20 15:00:00,-393.0384456489701,
2023-02-20 15:30:30,-393.0384456489701,
2023-02-20 23:59:59,-375.1812879319732,c
2023-02-21 00:00:00,-352.58582418348124,
2023-02-21 10:00:00,-260.4400312100206,
2023-02-21 10:30:00,-252.15283869633458,
2023-02-21 12:00:00,-177.71229610374394,
2023-02-21 13:30:00,-129.50502973903713,
2023-02-21 15:00:00,-109.20667724363739,
2023-02-21 15:30:30,-109.20667724363739,
2023-02-21 23:59:59,-204.88044751446614,c
2023-02-22 00:00:00,-224.40814691912055,
2023-02-22 10:00:00,-252.22873279037776,
2023-02-22 10:30:00,-196.549824678008,
2023-02-22 12:00:00,-250.07565018350397,
2023-02-22 13:30:00,-264.5830635858074,
2023-02-22 15:00:00,-257.778360975979,
2023-02-22 15:30:30,-257.778360975979,
2023-02-22 23:59:59,-270.2385518590436,c
2023-02-23 00:00:00,-262.30614018010783,
2023-02-23 10:00:00,-178.64481871283897,
