date,AS_FTSE_AS_EM_SC_ADDSDELS_2021_Q4,meta
2021-10-08 00:00:00,-340.7997513370865,
2021-10-08 01:00:00,-348.0795608108292,
2021-10-08 02:30:00,-344.85654531637556,
2021-10-08 03:00:00,-336.6354099580385,
2021-10-08 18:30:00,-336.6354099580385,
2021-10-08 20:00:00,-336.6354099580385,
2021-10-08 23:00:00,-336.6354099580385,
2021-10-08 23:59:59,-306.8124489385373,w
2021-10-11 00:00:00,-310.11045416365596,
2021-10-11 01:00:00,-310.11045416365596,
2021-10-11 02:30:00,-269.5518163021752,
2021-10-11 03:00:00,-299.9176343979507,
2021-10-11 18:30:00,-299.9176343979507,
2021-10-11 20:00:00,-299.9176343979507,
2021-10-11 23:00:00,-298.94299165456505,
2021-10-11 23:59:59,-397.6599959134601,c
2021-10-12 00:00:00,-290.08576685286243,
2021-10-12 01:00:00,-298.6077320782788,
2021-10-12 02:30:00,-331.2062517950035,
2021-10-12 03:00:00,-323.81201075498575,
2021-10-12 18:30:00,-323.81201075498575,
2021-10-12 20:00:00,-323.81201075498575,
2021-10-12 23:00:00,-300.2373011792515,
2021-10-12 23:59:59,-285.34467115426014,c
2021-10-13 00:00:00,-245.36851670061878,
2021-10-13 01:00:00,-258.3602418099654,
2021-10-13 02:30:00,-258.3602418099654,
2021-10-13 03:00:00,-258.3602418099654,
2021-10-13 18:30:00,-258.3602418099654,
2021-10-13 20:00:00,-258.3602418099654,
2021-10-13 23:00:00,-271.2322567878782,
2021-10-13 23:59:59,-276.23115027652057,c
2021-10-14 00:00:00,-249.25621802938258,
2021-10-14 01:00:00,-273.5398330375574,
2021-10-14 02:30:00,-273.5398330375574,
2021-10-14 03:00:00,-273.5398330375574,
2021-10-14 18:30:00,-273.5398330375574,
2021-10-14 20:00:00,-273.5398330375574,
2021-10-14 23:00:00,-266.6180171410542,
2021-10-14 23:59:59,-270.4889346777072,c
2021-10-15 00:00:00,-201.4277148210167,
2021-10-15 01:00:00,-187.61377614096455,
2021-10-15 02:30:00,-204.3965760988376,
2021-10-15 03:00:00,-198.50976683176305,
2021-10-15 18:30:00,-198.50976683176305,
2021-10-15 20:00:00,-198.50976683176305,
2021-10-15 23:00:00,-198.50976683176305,
2021-10-15 23:59:59,-186.3485091950588,w
2021-10-18 00:00:00,-256.6537032210563,
2021-10-18 01:00:00,-244.93114865511598,
2021-10-18 02:30:00,-295.51417870918704,
2021-10-18 03:00:00,-269.96375628745045,
2021-10-18 18:30:00,-269.96375628745045,
2021-10-18 20:00:00,-269.96375628745045,
2021-10-18 23:00:00,-87.77726755819276,
2021-10-18 23:59:59,-26.200281821656972,c
2021-10-19 00:00:00,28.59833472711216,
2021-10-19 01:00:00,24.602514967118623,
2021-10-19 02:30:00,52.1299341071026,
2021-10-19 03:00:00,42.25862765060447,
2021-10-19 18:30:00,42.25862765060447,
2021-10-19 20:00:00,42.25862765060447,
2021-10-19 23:00:00,-155.78080193314236,
2021-10-19 23:59:59,-143.55409454491564,c
2021-10-20 00:00:00,-109.7312642468678,
2021-10-20 01:00:00,-132.04427982025118,
2021-10-20 02:30:00,-30.88629570563353,
2021-10-20 03:00:00,-31.278689457454675,
2021-10-20 18:30:00,-31.278689457454675,
2021-10-20 20:00:00,-31.278689457454675,
2021-10-20 23:00:00,-116.2159068830515,
2021-10-20 23:59:59,-102.82649761145512,c
2021-10-21 00:00:00,-92.45984973381928,
2021-10-21 01:00:00,-114.14191750283499,
2021-10-21 02:30:00,-170.74428578486368,
2021-10-21 03:00:00,-181.63896725235827,
2021-10-21 18:30:00,-181.63896725235827,
2021-10-21 20:00:00,-181.63896725235827,
2021-10-21 23:00:00,-141.55026462665228,
2021-10-21 23:59:59,-124.22432352756732,c
2021-10-22 00:00:00,-93.68521285245515,
2021-10-22 01:00:00,-81.75743391137621,
2021-10-22 02:30:00,-88.94558447622876,
2021-10-22 03:00:00,-102.1882011573689,
2021-10-22 18:30:00,-102.1882011573689,
2021-10-22 20:00:00,-102.1882011573689,
2021-10-22 23:00:00,-102.1882011573689,
2021-10-22 23:59:59,-86.48812054651899,w
2021-10-25 00:00:00,-210.24159021687228,
2021-10-25 01:00:00,-215.67921653089252,
2021-10-25 02:30:00,-212.10016219264799,
2021-10-25 03:00:00,-227.65184610108736,
2021-10-25 18:30:00,-227.65184610108736,
2021-10-25 20:00:00,-227.65184610108736,
2021-10-25 23:00:00,-306.11812715885753,
2021-10-25 23:59:59,-321.79850322397215,c
2021-10-26 00:00:00,-277.74779978673905,
2021-10-26 01:00:00,-284.04415532293024,
2021-10-26 02:30:00,-332.8490923313875,
2021-10-26 03:00:00,-332.3046917868287,
2021-10-26 18:30:00,-332.3046917868287,
2021-10-26 20:00:00,-332.3046917868287,
2021-10-26 23:00:00,-328.3814243583747,
2021-10-26 23:59:59,-340.36410524786515,c
2021-10-27 00:00:00,-320.36536324860754,
2021-10-27 01:00:00,-336.63467914977446,
2021-10-27 02:30:00,-258.3243736174154,
2021-10-27 03:00:00,-223.32393804406274,
2021-10-27 18:30:00,-223.32393804406274,
2021-10-27 20:00:00,-223.32393804406274,
2021-10-27 23:00:00,-281.7539919390638,
2021-10-27 23:59:59,-316.32077613522597,c
2021-10-28 00:00:00,-289.9374072192022,
2021-10-28 01:00:00,-288.1973049664557,
2021-10-28 02:30:00,-180.65255234182587,
2021-10-28 03:00:00,-228.7578705889482,
2021-10-28 18:30:00,-228.7578705889482,
2021-10-28 20:00:00,-228.7578705889482,
2021-10-28 23:00:00,-276.2333684247151,
2021-10-28 23:59:59,-319.19926568130904,c
2021-10-29 00:00:00,-306.6013929297951,
2021-10-29 01:00:00,-301.7961059415702,
2021-10-29 02:30:00,-357.920483814014,
2021-10-29 03:00:00,-354.35674512524383,
2021-10-29 18:30:00,-354.35674512524383,
