date,HUI_2022_Q1,meta
2022-02-18 00:00:00,511.63193492078744,
2022-02-18 10:00:00,439.03393578111786,
2022-02-18 10:30:00,390.07217128703155,
2022-02-18 12:00:00,388.93320062459156,
2022-02-18 13:30:00,365.6875534664373,
2022-02-18 15:00:00,403.1084794864603,
2022-02-18 15:30:30,403.1084794864603,
2022-02-18 23:59:59,368.32195900223405,w
2022-02-21 00:00:00,368.32195900223405,
2022-02-21 10:00:00,368.32195900223405,
2022-02-21 10:30:00,368.32195900223405,
2022-02-21 12:00:00,368.32195900223405,
2022-02-21 13:30:00,368.32195900223405,
2022-02-21 15:00:00,368.32195900223405,
2022-02-21 15:30:30,368.32195900223405,
2022-02-21 23:59:59,368.32195900223405,c
2022-02-22 00:00:00,364.0492250826553,
2022-02-22 10:00:00,333.9558051292486,
2022-02-22 10:30:00,332.16407294987494,
2022-02-22 12:00:00,315.65868081703206,
2022-02-22 13:30:00,318.92002699598584,
2022-02-22 15:00:00,338.6974033350434,
2022-02-22 15:30:30,338.6974033350434,
2022-02-22 23:59:59,322.013591766899,c
2022-02-23 00:00:00,353.12849027375523,
2022-02-23 10:00:00,342.28490956637575,
2022-02-23 10:30:00,329.83011744074315,
2022-02-23 12:00:00,340.1357341426369,
2022-02-23 13:30:00,338.3813119273525,
2022-02-23 15:00:00,358.5293809867446,
2022-02-23 15:30:30,358.5293809867446,
2022-02-23 23:59:59,342.12504112519673,c
2022-02-24 00:00:00,328.95566670015614,
2022-02-24 10:00:00,198.84764755585047,
2022-02-24 10:30:00,216.6005571178937,
2022-02-24 12:00:00,304.2519265233882,
2022-02-24 13:30:00,297.85186564197284,
2022-02-24 15:00:00,359.2081791181597,
2022-02-24 15:30:30,359.2081791181597,
2022-02-24 23:59:59,344.56345771931024,c
2022-02-25 00:00:00,379.73876630531527,
2022-02-25 10:00:00,308.72677888950534,
2022-02-25 10:30:00,280.3886609034837,
2022-02-25 12:00:00,318.80662638151034,
2022-02-25 13:30:00,314.91650455686613,
2022-02-25 15:00:00,345.83202074576116,
2022-02-25 15:30:30,345.83202074576116,
2022-02-25 23:59:59,357.9335896896496,w
2022-02-28 00:00:00,317.75871685461175,
2022-02-28 10:00:00,338.3560907499327,
2022-02-28 10:30:00,320.3934126687361,
2022-02-28 12:00:00,334.8067766742133,
2022-02-28 13:30:00,337.818905307887,
2022-02-28 15:00:00,335.25454771268414,
2022-02-28 15:30:30,335.25454771268414,m
2022-02-28 23:59:59,321.79693976063277,c
2022-03-01 00:00:00,305.51824964257685,
2022-03-01 10:00:00,301.36223323158015,
2022-03-01 10:30:00,322.73833965990343,
2022-03-01 12:00:00,335.1259284487585,
2022-03-01 13:30:00,331.53640543889264,
2022-03-01 15:00:00,332.55424360615666,
2022-03-01 15:30:30,332.55424360615666,
2022-03-01 23:59:59,307.4397927298985,c
2022-03-02 00:00:00,399.4793730787826,
2022-03-02 10:00:00,339.97212722717313,
2022-03-02 10:30:00,320.7552726772012,
2022-03-02 12:00:00,274.2055988367306,
2022-03-02 13:30:00,279.5325268403926,
2022-03-02 15:00:00,287.15543904963306,
2022-03-02 15:30:30,287.15543904963306,
2022-03-02 23:59:59,280.68379731976984,c
2022-03-03 00:00:00,223.5259305750867,
2022-03-03 10:00:00,230.14104056380893,
2022-03-03 10:30:00,235.0027974917075,
2022-03-03 12:00:00,213.77517342401188,
2022-03-03 13:30:00,209.12688565917574,
2022-03-03 15:00:00,238.40460295091702,
2022-03-03 15:30:30,238.40460295091702,
2022-03-03 23:59:59,260.4198338790095,c
2022-03-04 00:00:00,217.7598760608821,
2022-03-04 10:00:00,187.46493323107188,
2022-03-04 10:30:00,185.62085289761262,
2022-03-04 12:00:00,156.16361880793693,
2022-03-04 13:30:00,121.54364902206862,
2022-03-04 15:00:00,84.2429921172004,
2022-03-04 15:30:30,84.2429921172004,
2022-03-04 23:59:59,103.60457726491722,w
2022-03-07 00:00:00,94.66046431976883,
2022-03-07 10:00:00,59.36914630013416,
2022-03-07 10:30:00,33.876526168148985,
2022-03-07 12:00:00,1.1383651229596126,
2022-03-07 13:30:00,-23.28938382817114,
2022-03-07 15:00:00,-58.37543691093629,
2022-03-07 15:30:30,-58.37543691093629,
2022-03-07 23:59:59,-79.24858244063353,c
2022-03-08 00:00:00,-49.67132629730372,
2022-03-08 10:00:00,32.405809916246426,
2022-03-08 10:30:00,-25.490588799777925,
2022-03-08 12:00:00,6.595054495098566,
2022-03-08 13:30:00,74.99073331040563,
2022-03-08 15:00:00,28.246951460014543,
2022-03-08 15:30:30,28.246951460014543,
2022-03-08 23:59:59,-6.963018798129724,c
2022-03-09 00:00:00,100.49687601279743,
2022-03-09 10:00:00,128.01850262341236,
2022-03-09 10:30:00,170.8588978608857,
2022-03-09 12:00:00,92.59235495578855,
2022-03-09 13:30:00,117.35463506326732,
2022-03-09 15:00:00,118.12954652929443,
2022-03-09 15:30:30,118.12954652929443,
2022-03-09 23:59:59,104.90459851469882,c
2022-03-10 00:00:00,52.03517800131954,
2022-03-10 10:00:00,27.762506161187275,
2022-03-10 10:30:00,25.65310530330953,
2022-03-10 12:00:00,59.157653559496794,
2022-03-10 13:30:00,71.13346771907209,
2022-03-10 15:00:00,78.95918399658831,
2022-03-10 15:30:30,78.95918399658831,s
2022-03-10 23:59:59,67.494013420182,c
2022-03-11 00:00:00,129.96045332785684,
2022-03-11 10:00:00,20.12891706069422,
2022-03-11 10:30:00,14.667946748363192,
2022-03-11 12:00:00,37.0702775404975,
2022-03-11 13:30:00,10.540706606870572,
