date,IGF_2021_Q3,meta
2021-09-30 10:30:00,59.91285366583452,
2021-09-30 12:00:00,61.12658348739751,
2021-09-30 13:30:00,71.39083279034821,
2021-09-30 15:00:00,51.47949844110826,
2021-09-30 15:30:30,51.47949844110826,
2021-09-30 23:59:59,88.415913091535,e
2021-10-01 00:00:00,64.63909982245332,
2021-10-01 10:00:00,83.49967116611879,
2021-10-01 10:30:00,72.38093175227004,
2021-10-01 12:00:00,37.503226243558856,
2021-10-01 13:30:00,20.76360616717011,
2021-10-01 15:00:00,-2.6151638924857252,
2021-10-01 15:30:30,-2.6151638924857252,
2021-10-01 23:59:59,10.672170682343676,w
2021-10-04 00:00:00,3.6667183954104985,
2021-10-04 10:00:00,-35.01900183111593,
2021-10-04 10:30:00,2.0587788620168794,
2021-10-04 12:00:00,-31.153945111243956,
2021-10-04 13:30:00,16.148315534543144,
2021-10-04 15:00:00,8.832403093364519,
2021-10-04 15:30:30,8.832403093364519,
2021-10-04 23:59:59,4.006707125788125,c
2021-10-05 00:00:00,-28.058098220134525,
2021-10-05 10:00:00,-10.77953562454968,
2021-10-05 10:30:00,-34.30766744363973,
2021-10-05 12:00:00,-24.454138200799207,
2021-10-05 13:30:00,-5.0753067786672545,
2021-10-05 15:00:00,-12.329235797037654,
2021-10-05 15:30:30,-12.329235797037654,
2021-10-05 23:59:59,8.083291820636077,c
2021-10-06 00:00:00,43.325936095232464,
2021-10-06 10:00:00,74.2867648954225,
2021-10-06 10:30:00,70.7157511733576,
2021-10-06 12:00:00,64.5193205812684,
2021-10-06 13:30:00,51.76009229737065,
2021-10-06 15:00:00,7.0853104772322695,
2021-10-06 15:30:30,7.0853104772322695,
2021-10-06 23:59:59,-5.566559449883243,c
2021-10-07 00:00:00,-25.2991966135005,
2021-10-07 10:00:00,-61.337396426696614,
2021-10-07 10:30:00,-53.64403295989632,
2021-10-07 12:00:00,-31.99435900935532,
2021-10-07 13:30:00,-35.22326444206374,
2021-10-07 15:00:00,-27.569472737830438,
2021-10-07 15:30:30,-27.569472737830438,
2021-10-07 23:59:59,-24.697430234107742,c
2021-10-08 00:00:00,-36.828329336862225,
2021-10-08 10:00:00,-46.20734114560946,
2021-10-08 10:30:00,-57.46746361134683,
2021-10-08 12:00:00,-74.34066611079106,
2021-10-08 13:30:00,-68.85799994471745,
2021-10-08 15:00:00,-85.00697930930983,
2021-10-08 15:30:30,-85.00697930930983,
2021-10-08 23:59:59,-74.47189235330734,w
2021-10-11 00:00:00,3.4266325343569406,
2021-10-11 10:00:00,-15.662675119529013,
2021-10-11 10:30:00,-24.659481465623685,
2021-10-11 12:00:00,-7.353359836373784,
2021-10-11 13:30:00,30.09393594869198,
2021-10-11 15:00:00,13.410050334116931,
2021-10-11 15:30:30,13.410050334116931,
2021-10-11 23:59:59,7.81743035483305,c
2021-10-12 00:00:00,2.2448375590438445,
2021-10-12 10:00:00,-16.313989029074946,
2021-10-12 10:30:00,1.0781565359811793,
2021-10-12 12:00:00,-0.11510389053728431,
2021-10-12 13:30:00,-1.833316893222218,
2021-10-12 15:00:00,-17.759158373026366,
2021-10-12 15:30:30,-17.759158373026366,
2021-10-12 23:59:59,-10.84462067865661,c
2021-10-13 00:00:00,-8.460770325145859,
2021-10-13 10:00:00,13.23416299982182,
2021-10-13 10:30:00,23.311516505161308,
2021-10-13 12:00:00,-12.06431571781286,
2021-10-13 13:30:00,-40.612745824731064,
2021-10-13 15:00:00,-52.13491273305772,
2021-10-13 15:30:30,-52.13491273305772,
2021-10-13 23:59:59,-67.61360424998657,c
2021-10-14 00:00:00,-107.77612027844134,
2021-10-14 10:00:00,-112.14474883767434,
2021-10-14 10:30:00,-121.14703087479029,
2021-10-14 12:00:00,-138.68356819566998,
2021-10-14 13:30:00,-159.73086598790087,
2021-10-14 15:00:00,-157.5603166918754,
2021-10-14 15:30:30,-157.5603166918754,
2021-10-14 23:59:59,-163.7850212036392,c
