date,BRL_IBOV_2022_Q4,meta
2022-12-22 00:00:00,-121.70247105714009,
2022-12-22 10:00:00,-69.57532544914386,
2022-12-22 10:30:00,-96.46295556974701,
2022-12-22 12:00:00,-46.79408671442752,
2022-12-22 13:30:00,-71.38891222416316,
2022-12-22 15:00:00,-65.7550986832315,
2022-12-22 15:30:30,-65.7550986832315,
2022-12-22 23:59:59,-77.27363917639593,c
2022-12-23 00:00:00,-29.862840835486963,
2022-12-23 10:00:00,63.945014796769556,
2022-12-23 10:30:00,77.9162258164854,
2022-12-23 12:00:00,51.70490996815636,
2022-12-23 13:30:00,57.74028172788701,
2022-12-23 15:00:00,55.36073219319883,
2022-12-23 15:30:30,55.36073219319883,
2022-12-23 23:59:59,59.95479379058861,w
2022-12-26 00:00:00,44.348386118597546,
2022-12-26 10:00:00,-1.9651234923246648,
2022-12-26 10:30:00,-11.212356866979121,
2022-12-26 12:00:00,-23.977348994039176,
2022-12-26 13:30:00,-16.023171408119424,
2022-12-26 15:00:00,-12.074647690669735,
2022-12-26 15:30:30,-12.074647690669735,
2022-12-26 23:59:59,0.0,a
2022-12-27 00:00:00,-13.953166722593323,
2022-12-27 10:00:00,-102.69148378242448,
2022-12-27 10:30:00,-115.72044097298908,
2022-12-27 12:00:00,-108.79943767415887,
2022-12-27 13:30:00,-108.10893612217035,
2022-12-27 15:00:00,-119.98515736218963,
2022-12-27 15:30:30,-119.98515736218963,
2022-12-27 23:59:59,-97.78457646070149,c
2022-12-28 00:00:00,-82.02804494686882,
2022-12-28 10:00:00,-110.30010601740014,
2022-12-28 10:30:00,-102.45076527887011,
2022-12-28 12:00:00,-82.30290091278596,
2022-12-28 13:30:00,-44.64709873176423,
2022-12-28 15:00:00,-58.748777125000174,
2022-12-28 15:30:30,-58.748777125000174,
2022-12-28 23:59:59,-72.2829705450282,c
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
0,-72.2829705450282,
2022-12-29 00:00:00,-45.7901841042559,
2022-12-29 10:00:00,-76.4438210510283,
2022-12-29 10:30:00,-105.95802385916784,
2022-12-29 12:00:00,-110.26539168557144,
2022-12-29 13:30:00,-137.11537889112378,
2022-12-29 15:00:00,-152.38731291789793,
2022-12-29 15:30:30,-152.38731291789793,
2022-12-29 23:59:59,-103.17512829184113,e
2022-12-30 00:00:00,-103.17512829184113,
2022-12-30 10:00:00,-103.17512829184113,
2022-12-30 10:30:00,-103.17512829184113,
2022-12-30 12:00:00,-103.17512829184113,
2022-12-30 13:30:00,-103.17512829184113,
2022-12-30 15:00:00,-103.17512829184113,
2022-12-30 15:30:30,-103.17512829184113,
2022-12-30 23:59:59,-103.17512829184113,w
2023-01-02 00:00:00,-233.66664261696326,
2023-01-02 10:00:00,-348.36547852548205,
2023-01-02 10:30:00,-380.59542867204703,
2023-01-02 12:00:00,-371.98863856333577,
2023-01-02 13:30:00,-383.2756864531005,
2023-01-02 15:00:00,-363.6128339734355,
2023-01-02 15:30:30,-363.6128339734355,
2023-01-02 23:59:59,-359.91351369280073,c
2023-01-03 00:00:00,-349.47161832254886,
2023-01-03 10:00:00,-360.398572842078,
2023-01-03 10:30:00,-413.83036886620295,
2023-01-03 12:00:00,-435.68220987729273,
2023-01-03 13:30:00,-436.71898514684017,
2023-01-03 15:00:00,-450.1207571415752,
2023-01-03 15:30:30,-450.1207571415752,
2023-01-03 23:59:59,-435.84098146139985,c
2023-01-04 00:00:00,-400.57028575773273,
2023-01-04 10:00:00,-412.66926580331943,
2023-01-04 10:30:00,-413.3155727861769,
2023-01-04 12:00:00,-321.9903257954122,
2023-01-04 13:30:00,-353.9065228141398,
2023-01-04 15:00:00,-373.3835797370922,
2023-01-04 15:30:30,-373.3835797370922,
2023-01-04 23:59:59,-385.20076748464083,c
2023-01-05 00:00:00,-361.57774717837566,
2023-01-05 10:00:00,-356.5497043453319,
2023-01-05 10:30:00,-314.8544027427664,
2023-01-05 12:00:00,-315.7736320568539,
2023-01-05 13:30:00,-349.413371568589,
2023-01-05 15:00:00,-341.59967800088685,
2023-01-05 15:30:30,-341.59967800088685,
2023-01-05 23:59:59,-327.96997477940215,c
2023-01-06 00:00:00,-310.11418483759985,
2023-01-06 10:00:00,-326.2022052688744,
2023-01-06 10:30:00,-328.31528522215467,
2023-01-06 12:00:00,-387.54545020425763,
2023-01-06 13:30:00,-358.6695632563299,
2023-01-06 15:00:00,-343.690224095232,
2023-01-06 15:30:30,-343.690224095232,
2023-01-06 23:59:59,-375.02413719753787,w
2023-01-09 00:00:00,-354.5384899930272,
2023-01-09 10:00:00,-366.4452490511722,
2023-01-09 10:30:00,-364.58843513589784,
2023-01-09 12:00:00,-375.7797141396702,
2023-01-09 13:30:00,-351.85521495232996,
2023-01-09 15:00:00,-365.3028520256003,
2023-01-09 15:30:30,-365.3028520256003,
2023-01-09 23:59:59,-361.0144395687712,c
2023-01-10 00:00:00,-385.2313806896268,
2023-01-10 10:00:00,-436.5338289774672,
2023-01-10 10:30:00,-497.91633612668875,
2023-01-10 12:00:00,-473.0822281041599,
2023-01-10 13:30:00,-436.9448718463222,
2023-01-10 15:00:00,-403.6655919057363,
2023-01-10 15:30:30,-403.6655919057363,
2023-01-10 23:59:59,-408.62064502011583,c
2023-01-11 00:00:00,-428.3679135665008,
2023-01-11 10:00:00,-385.4749441136704,
2023-01-11 10:30:00,-385.6061520927367,
2023-01-11 12:00:00,-356.81943950466353,
2023-01-11 13:30:00,-333.1579732227598,
2023-01-11 15:00:00,-316.89558393728794,
2023-01-11 15:30:30,-316.89558393728794,
2023-01-11 23:59:59,-298.2938609736516,c
2023-01-12 00:00:00,-322.63461373710504,
2023-01-12 10:00:00,-329.5764752211976,
2023-01-12 10:30:00,-327.55205123965106,
2023-01-12 12:00:00,-293.9928342829253,
2023-01-12 13:30:00,-292.48905107683163,
2023-01-12 15:00:00,-310.4865746288921,
2023-01-12 15:30:30,-310.4865746288921,
2023-01-12 23:59:59,-312.0877311297454,c
