date,BRL_IBOV_2022_Q4,meta
2022-12-12 00:00:00,-59.62159527363315,
2022-12-12 10:00:00,-181.97038094679124,
2022-12-12 10:30:00,-140.12794358350732,
2022-12-12 12:00:00,-123.5194613477081,
2022-12-12 13:30:00,-109.29886576836441,
2022-12-12 15:00:00,-92.91709657230592,
2022-12-12 15:30:30,-92.91709657230592,
2022-12-12 23:59:59,-65.81195327685089,c
2022-12-13 00:00:00,-49.75620074763185,
2022-12-13 10:00:00,-92.85431489146265,
2022-12-13 10:30:00,-89.39219269512773,
2022-12-13 12:00:00,-111.53261031218005,
2022-12-13 13:30:00,-84.71212523997497,
2022-12-13 15:00:00,-141.93376703095248,
2022-12-13 15:30:30,-141.93376703095248,
2022-12-13 23:59:59,-153.8915411185509,c
2022-12-14 00:00:00,-213.36380059732153,
2022-12-14 10:00:00,-380.17669394788487,
2022-12-14 10:30:00,-400.260368463793,
2022-12-14 12:00:00,-478.9253385739473,
2022-12-14 13:30:00,-400.7836129907017,
2022-12-14 15:00:00,-394.5474958787026,
2022-12-14 15:30:30,-394.5474958787026,
2022-12-14 23:59:59,-406.74790361781345,c
2022-12-15 00:00:00,-480.68633433013633,
2022-12-15 10:00:00,-345.9744009630384,
2022-12-15 10:30:00,-379.99277824580184,
2022-12-15 12:00:00,-425.52692301526565,
2022-12-15 13:30:00,-409.1164470840604,
2022-12-15 15:00:00,-383.2562199954417,
2022-12-15 15:30:30,-383.2562199954417,
2022-12-15 23:59:59,-383.5016657384918,c
2022-12-16 00:00:00,-375.65635832722313,
2022-12-16 10:00:00,-317.71408116555494,
2022-12-16 10:30:00,-335.123973004145,
2022-12-16 12:00:00,-338.5338197692503,
2022-12-16 13:30:00,-318.57831969271274,
2022-12-16 15:00:00,-349.3943084160059,
2022-12-16 15:30:30,-349.3943084160059,q
2022-12-16 23:59:59,-329.89084445806066,w
2022-12-19 00:00:00,-291.2709118060242,
2022-12-19 10:00:00,-294.25128178385023,
2022-12-19 10:30:00,-251.96299919895955,
2022-12-19 12:00:00,-215.53760539205643,
2022-12-19 13:30:00,-199.2037063153847,
2022-12-19 15:00:00,-229.15940347821913,
2022-12-19 15:30:30,-229.15940347821913,
2022-12-19 23:59:59,-236.4808854386058,c
2022-12-20 00:00:00,-242.22605441731673,
2022-12-20 10:00:00,-219.5263134863069,
2022-12-20 10:30:00,-208.5506924496841,
2022-12-20 12:00:00,-171.0642083884178,
2022-12-20 13:30:00,-165.75365852213633,
2022-12-20 15:00:00,-161.67259517692435,
2022-12-20 15:30:30,-161.67259517692435,
2022-12-20 23:59:59,-162.3012603500407,c
2022-12-21 00:00:00,-176.99524733879002,
2022-12-21 10:00:00,-217.69651824580228,
2022-12-21 10:30:00,-218.72011601585587,
2022-12-21 12:00:00,-197.3242160166202,
2022-12-21 13:30:00,-172.98162251196254,
2022-12-21 15:00:00,-142.2263312437534,
2022-12-21 15:30:30,-142.2263312437534,
2022-12-21 23:59:59,-138.41149389708244,c
