date,CAD_FTSE_2021_Q2,meta
2021-04-09 00:00:00,-197.02009905930618,
2021-04-09 10:00:00,-199.8341299215972,
2021-04-09 10:30:00,-219.6922996248586,
2021-04-09 12:00:00,-215.44590881717932,
2021-04-09 13:30:00,-207.85396017206313,
2021-04-09 15:00:00,-227.88801573080673,
2021-04-09 15:30:30,-227.88801573080673,
2021-04-09 23:59:59,-235.68778198721338,w
2021-04-12 00:00:00,-235.19286126076304,
2021-04-12 10:00:00,-247.96010261142874,
2021-04-12 10:30:00,-236.2203352662541,
2021-04-12 12:00:00,-238.14488043389883,
2021-04-12 13:30:00,-238.91336446260948,
2021-04-12 15:00:00,-235.456020594464,
2021-04-12 15:30:30,-235.456020594464,
2021-04-12 23:59:59,-235.70442735471352,c
2021-04-13 00:00:00,-208.47530782731064,
2021-04-13 10:00:00,-195.17376739823067,
2021-04-13 10:30:00,-205.3202727483731,
2021-04-13 12:00:00,-211.88970787554535,
2021-04-13 13:30:00,-212.52056515749382,
2021-04-13 15:00:00,-207.30310816187693,
2021-04-13 15:30:30,-207.30310816187693,
2021-04-13 23:59:59,-195.1548243584316,c
2021-04-14 00:00:00,-203.12422878574034,
2021-04-14 10:00:00,-206.54557543984265,
2021-04-14 10:30:00,-221.9679676861606,
2021-04-14 12:00:00,-230.5364329839581,
2021-04-14 13:30:00,-223.19306800173445,
2021-04-14 15:00:00,-221.55396352809657,
2021-04-14 15:30:30,-221.55396352809657,
2021-04-14 23:59:59,-212.60208650431696,c
2021-04-15 00:00:00,-231.32231021495681,
2021-04-15 10:00:00,-251.89561195948818,
2021-04-15 10:30:00,-242.69129908860032,
2021-04-15 12:00:00,-250.0937932785996,
2021-04-15 13:30:00,-264.1970618881828,
2021-04-15 15:00:00,-257.39822201122615,
2021-04-15 15:30:30,-257.39822201122615,
2021-04-15 23:59:59,-267.81665914180667,c
2021-04-16 00:00:00,-272.17811320080546,
2021-04-16 10:00:00,-263.10809612813,
2021-04-16 10:30:00,-274.61333904701087,
2021-04-16 12:00:00,-276.1630739956927,
2021-04-16 13:30:00,-256.757227083267,
2021-04-16 15:00:00,-273.6327120870724,
2021-04-16 15:30:30,-273.6327120870724,
2021-04-16 23:59:59,-277.131520961173,w
2021-04-19 00:00:00,-267.02742626786085,
2021-04-19 10:00:00,-284.74600952592664,
2021-04-19 10:30:00,-288.27852283565426,
2021-04-19 12:00:00,-273.44866702924446,
2021-04-19 13:30:00,-281.46547590490263,
2021-04-19 15:00:00,-271.4509008305431,
2021-04-19 15:30:30,-271.4509008305431,
2021-04-19 23:59:59,-283.23185937502376,c
2021-04-20 00:00:00,-99.16402029564051,
2021-04-20 10:00:00,-79.8875674869737,
2021-04-20 10:30:00,-116.10789313237865,
2021-04-20 12:00:00,-110.26043173021799,
2021-04-20 13:30:00,-93.60070832761312,
2021-04-20 15:00:00,-65.21460992854145,
2021-04-20 15:30:30,-65.21460992854145,
2021-04-20 23:59:59,-101.48018421295183,c
2021-04-21 00:00:00,-123.91804479570283,
2021-04-21 10:00:00,-190.86553437943167,
2021-04-21 10:30:00,-214.24588705203269,
2021-04-21 12:00:00,-204.37941110495603,
2021-04-21 13:30:00,-198.55993061923573,
2021-04-21 15:00:00,-171.2844034244954,
2021-04-21 15:30:30,-171.2844034244954,
2021-04-21 23:59:59,-114.39152644725573,c
2021-04-22 00:00:00,-118.45854165982882,
2021-04-22 10:00:00,-130.45644967959834,
2021-04-22 10:30:00,-100.20209559820023,
2021-04-22 12:00:00,-113.73232062286752,
2021-04-22 13:30:00,-97.90580271906174,
2021-04-22 15:00:00,-85.74662253623774,
2021-04-22 15:30:30,-85.74662253623774,
2021-04-22 23:59:59,-96.73437478128153,c
2021-04-23 00:00:00,-86.60739653086239,
2021-04-23 10:00:00,-69.99173019959153,
2021-04-23 10:30:00,-92.29038696833004,
2021-04-23 12:00:00,-88.97580719586904,
