date,EU_SX5E_AD_2022_Q3,meta
2022-09-01 00:00:00,38.71101809183983,
2022-09-01 03:30:00,99.77960574082863,
2022-09-01 04:00:00,127.31680302657242,
2022-09-01 06:00:00,34.54574322730923,
2022-09-01 08:00:00,44.888655002209816,
2022-09-01 10:30:00,-3.467427638857771,
2022-09-01 11:00:00,-23.28302741600828,
2022-09-01 23:59:59,0.0,a
2022-09-02 00:00:00,37.46819031347604,
2022-09-02 03:30:00,64.17735243772722,
2022-09-02 04:00:00,101.1150099297106,
2022-09-02 06:00:00,124.40931012590181,
2022-09-02 08:00:00,102.70207402679262,
2022-09-02 10:30:00,110.77485057761805,
2022-09-02 11:00:00,111.00554169709176,
2022-09-02 23:59:59,92.9530946943587,w
2022-09-05 00:00:00,0.5759096828783186,
2022-09-05 03:30:00,29.380130768964136,
2022-09-05 04:00:00,44.049923081312954,
2022-09-05 06:00:00,92.11724700247578,
2022-09-05 08:00:00,52.77207938396532,
2022-09-05 10:30:00,71.5261643258641,
2022-09-05 11:00:00,50.01127307331535,
2022-09-05 23:59:59,63.060467916857306,c
2022-09-06 00:00:00,65.57247629066296,
2022-09-06 03:30:00,108.67249440616115,
2022-09-06 04:00:00,113.6274706143272,
2022-09-06 06:00:00,108.8727016484363,
2022-09-06 08:00:00,54.54898690168238,
2022-09-06 10:30:00,19.55052647797538,
2022-09-06 11:00:00,26.234921755761206,
2022-09-06 23:59:59,39.69517367917797,c
0,39.69517367917797,
0,39.69517367917797,
0,39.69517367917797,
0,39.69517367917797,
0,39.69517367917797,
0,39.69517367917797,
0,39.69517367917797,
0,39.69517367917797,
2022-09-07 00:00:00,16.284863590131863,
2022-09-07 03:30:00,47.85205920899989,
2022-09-07 04:00:00,34.53280826537457,
2022-09-07 06:00:00,35.58657348174802,
2022-09-07 08:00:00,50.61125496887644,
2022-09-07 10:30:00,19.910531806898234,
2022-09-07 11:00:00,-2.4724787212785486,
2022-09-07 23:59:59,-8.471095540776787,c
2022-09-08 00:00:00,8.355151658870454,
2022-09-08 03:30:00,63.49360748184745,
2022-09-08 04:00:00,37.195493226113285,
2022-09-08 06:00:00,14.59064614893714,
2022-09-08 08:00:00,-12.620297423941793,
2022-09-08 10:30:00,-19.775064073382964,
2022-09-08 11:00:00,-2.0617879560895744,
2022-09-08 23:59:59,3.899587047259047,c
2022-09-09 00:00:00,21.48050891133971,
2022-09-09 03:30:00,24.272562223757177,
2022-09-09 04:00:00,18.765152121260144,
2022-09-09 06:00:00,40.5139839559406,
