date,PHO_2022_Q1,meta
2022-02-04 00:00:00,442.82716792132646,
2022-02-04 10:00:00,407.736511921295,
2022-02-04 10:30:00,352.2401122246399,
2022-02-04 12:00:00,397.6598053425964,
2022-02-04 13:30:00,406.8321775761783,
2022-02-04 15:00:00,446.68651210189137,
2022-02-04 15:30:30,446.68651210189137,
2022-02-04 23:59:59,435.0103026524762,w
2022-02-07 00:00:00,427.4095441985969,
2022-02-07 10:00:00,438.4585089328798,
2022-02-07 10:30:00,452.35961954809,
2022-02-07 12:00:00,442.5418706263288,
2022-02-07 13:30:00,454.2229618411063,
2022-02-07 15:00:00,437.572848691854,
2022-02-07 15:30:30,437.572848691854,
2022-02-07 23:59:59,413.92548319508114,c
2022-02-08 00:00:00,445.50101096882645,
2022-02-08 10:00:00,459.54436926244057,
2022-02-08 10:30:00,437.00390279936164,
2022-02-08 12:00:00,450.29871544282287,
2022-02-08 13:30:00,460.09545294882514,
2022-02-08 15:00:00,434.8345101546861,
2022-02-08 15:30:30,434.8345101546861,
2022-02-08 23:59:59,434.2157133300602,c
2022-02-09 00:00:00,451.04476575028093,
2022-02-09 10:00:00,493.8533511110568,
2022-02-09 10:30:00,544.4838572971744,
2022-02-09 12:00:00,530.5170770101065,
2022-02-09 13:30:00,546.2533504653052,
2022-02-09 15:00:00,561.7115395032399,
2022-02-09 15:30:30,561.7115395032399,
2022-02-09 23:59:59,558.8140877579217,c
2022-02-10 00:00:00,507.2782976636388,
2022-02-10 10:00:00,487.72859701018365,
2022-02-10 10:30:00,533.3721325549147,
2022-02-10 12:00:00,510.7891840623706,
2022-02-10 13:30:00,473.58104330051697,
2022-02-10 15:00:00,440.01460885260326,
2022-02-10 15:30:30,440.01460885260326,
2022-02-10 23:59:59,429.6264812560944,c
2022-02-11 00:00:00,427.61112209595467,
2022-02-11 10:00:00,409.1205573846087,
2022-02-11 10:30:00,418.16187797661996,
2022-02-11 12:00:00,373.91120256025533,
2022-02-11 13:30:00,335.47568043649085,
2022-02-11 15:00:00,336.03033132600535,
2022-02-11 15:30:30,336.03033132600535,
2022-02-11 23:59:59,345.5696662353646,w
2022-02-14 00:00:00,357.07958080573644,
2022-02-14 10:00:00,329.410597674708,
2022-02-14 10:30:00,322.8348876683101,
2022-02-14 12:00:00,287.0563826885434,
2022-02-14 13:30:00,279.8905697861701,
2022-02-14 15:00:00,294.20592785180224,
2022-02-14 15:30:30,294.20592785180224,
2022-02-14 23:59:59,300.13234135603784,c
2022-02-15 00:00:00,358.553750115658,
2022-02-15 10:00:00,331.31417284348186,
2022-02-15 10:30:00,323.29128448371785,
2022-02-15 12:00:00,344.02544620465915,
2022-02-15 13:30:00,333.5380129647406,
2022-02-15 15:00:00,331.69228935379897,
2022-02-15 15:30:30,331.69228935379897,
2022-02-15 23:59:59,337.12133477701195,c
2022-02-16 00:00:00,335.48160752557123,
2022-02-16 10:00:00,309.9154261427245,
2022-02-16 10:30:00,314.9279013160078,
2022-02-16 12:00:00,294.6184291219331,
2022-02-16 13:30:00,281.77470770495665,
2022-02-16 15:00:00,318.4098482769566,
2022-02-16 15:30:30,318.4098482769566,
2022-02-16 23:59:59,333.47011899254653,c
2022-02-17 00:00:00,314.3060832742026,
2022-02-17 10:00:00,350.80094513662584,
2022-02-17 10:30:00,326.4612321729526,
2022-02-17 12:00:00,335.507253462614,
2022-02-17 13:30:00,335.21000581194426,
2022-02-17 15:00:00,328.8095728834687,
2022-02-17 15:30:30,328.8095728834687,
2022-02-17 23:59:59,336.1600638988141,c
2022-02-18 00:00:00,343.6768964246801,
2022-02-18 10:00:00,343.9065056361012,
2022-02-18 10:30:00,343.73521942300385,
2022-02-18 12:00:00,335.2490980641635,
2022-02-18 13:30:00,370.0020215112597,
