date,AS_WAT_2022_Q2,meta
2022-04-14 00:00:00,254.51186049183434,
2022-04-14 01:00:00,230.5064914061486,
2022-04-14 02:30:00,243.17871409744748,
2022-04-14 03:00:00,240.85460846865317,
2022-04-14 18:30:00,240.85460846865317,
2022-04-14 20:00:00,240.85460846865317,
2022-04-14 23:00:00,240.85460846865317,
2022-04-14 23:59:59,248.8990267386207,c
2022-04-15 00:00:00,286.7929480745115,
2022-04-15 01:00:00,300.06242506421495,
2022-04-15 02:30:00,300.06242506421495,
2022-04-15 03:00:00,300.06242506421495,
2022-04-15 18:30:00,300.06242506421495,
2022-04-15 20:00:00,300.06242506421495,
2022-04-15 23:00:00,300.06242506421495,
2022-04-15 23:59:59,305.1566345808533,w
2022-04-18 00:00:00,428.60348661715943,
2022-04-18 01:00:00,415.0345570646841,
2022-04-18 02:30:00,415.0345570646841,
2022-04-18 03:00:00,415.0345570646841,
2022-04-18 18:30:00,415.0345570646841,
2022-04-18 20:00:00,415.0345570646841,
2022-04-18 23:00:00,422.1328975296565,
2022-04-18 23:59:59,441.8115042143136,c
2022-04-19 00:00:00,392.3236192197892,
2022-04-19 01:00:00,393.1969373636093,
2022-04-19 02:30:00,359.02590025060726,
2022-04-19 03:00:00,359.0276840260385,
2022-04-19 18:30:00,359.0276840260385,
2022-04-19 20:00:00,359.0276840260385,
2022-04-19 23:00:00,428.6372102611058,
2022-04-19 23:59:59,367.5124663962324,c
2022-04-20 00:00:00,319.588712481901,
2022-04-20 01:00:00,287.0078292231956,
2022-04-20 02:30:00,336.67374862668385,
2022-04-20 03:00:00,345.35483003957233,
2022-04-20 18:30:00,345.35483003957233,
2022-04-20 20:00:00,345.35483003957233,
2022-04-20 23:00:00,252.23140793079347,
2022-04-20 23:59:59,314.40453846345736,c
2022-04-21 00:00:00,312.1941821667615,
2022-04-21 01:00:00,265.86275648930314,
2022-04-21 02:30:00,230.27537412258152,
2022-04-21 03:00:00,227.08333722987572,
2022-04-21 18:30:00,227.08333722987572,
2022-04-21 20:00:00,227.08333722987572,
2022-04-21 23:00:00,239.85845002519363,
2022-04-21 23:59:59,243.28968837314642,c
2022-04-22 00:00:00,289.1226200068513,
2022-04-22 01:00:00,266.5270491360725,
2022-04-22 02:30:00,254.26452416820666,
2022-04-22 03:00:00,270.0263759755244,
2022-04-22 18:30:00,270.0263759755244,
2022-04-22 20:00:00,270.0263759755244,
2022-04-22 23:00:00,270.0263759755244,
2022-04-22 23:59:59,283.7977193237539,w
2022-04-25 00:00:00,240.3410361227743,
2022-04-25 01:00:00,258.8487260327702,
2022-04-25 02:30:00,268.49930317069357,
2022-04-25 03:00:00,256.7504585133638,
2022-04-25 18:30:00,256.7504585133638,
2022-04-25 20:00:00,256.7504585133638,
2022-04-25 23:00:00,214.1624706872317,
2022-04-25 23:59:59,228.8768706407618,c
2022-04-26 00:00:00,234.2455170706835,
2022-04-26 01:00:00,252.47523260865637,
2022-04-26 02:30:00,238.2251406849864,
2022-04-26 03:00:00,240.55035198487258,
2022-04-26 18:30:00,240.55035198487258,
2022-04-26 20:00:00,240.55035198487258,
2022-04-26 23:00:00,244.99970851975377,
2022-04-26 23:59:59,216.69627464388577,c
2022-04-27 00:00:00,258.6928259034448,
2022-04-27 01:00:00,257.73096006686137,
2022-04-27 02:30:00,269.87768602735014,
2022-04-27 03:00:00,272.161230661688,
2022-04-27 18:30:00,272.161230661688,
2022-04-27 20:00:00,272.161230661688,
2022-04-27 23:00:00,205.6852631658994,
2022-04-27 23:59:59,222.23825226181089,c
2022-04-28 00:00:00,202.53014181228264,
2022-04-28 01:00:00,168.53857267962212,
2022-04-28 02:30:00,178.46783374509414,
2022-04-28 03:00:00,183.29489053524503,
2022-04-28 18:30:00,183.29489053524503,
2022-04-28 20:00:00,183.29489053524503,
2022-04-28 23:00:00,193.25156406650422,
2022-04-28 23:59:59,127.55134288984482,c
2022-04-29 00:00:00,114.75592399545349,
2022-04-29 01:00:00,103.49630398076988,
2022-04-29 02:30:00,92.88622121441858,
2022-04-29 03:00:00,94.59317808736068,
2022-04-29 18:30:00,94.59317808736068,
2022-04-29 20:00:00,94.59317808736068,
2022-04-29 23:00:00,94.59317808736068,
2022-04-29 23:59:59,106.60740246779642,w
2022-05-02 00:00:00,157.18822820360856,
2022-05-02 01:00:00,129.4403060185823,
2022-05-02 02:30:00,129.4403060185823,
2022-05-02 03:00:00,129.4403060185823,
2022-05-02 18:30:00,129.4403060185823,
2022-05-02 20:00:00,129.4403060185823,
2022-05-02 23:00:00,124.83930909034552,
2022-05-02 23:59:59,97.54251822811057,c
2022-05-03 00:00:00,131.6078990500182,
2022-05-03 01:00:00,120.47311276858636,
2022-05-03 02:30:00,116.38115649803876,
2022-05-03 03:00:00,116.37440809560576,
2022-05-03 18:30:00,116.37440809560576,
2022-05-03 20:00:00,116.37440809560576,
2022-05-03 23:00:00,164.65850957695238,
2022-05-03 23:59:59,170.91891054721964,c
2022-05-04 00:00:00,148.4171269937542,
2022-05-04 01:00:00,146.66455931355813,
2022-05-04 02:30:00,163.92259170352918,
2022-05-04 03:00:00,159.21032093454414,
2022-05-04 18:30:00,159.21032093454414,
2022-05-04 20:00:00,159.21032093454414,
2022-05-04 23:00:00,135.07170676629084,
2022-05-04 23:59:59,158.68650841871022,c
2022-05-05 00:00:00,138.96890316540612,
2022-05-05 01:00:00,137.65119714411048,
2022-05-05 02:30:00,141.59194531764388,
2022-05-05 03:00:00,136.87429494548815,
2022-05-05 18:30:00,136.87429494548815,
2022-05-05 20:00:00,136.87429494548815,
2022-05-05 23:00:00,153.4734947100469,
2022-05-05 23:59:59,117.45415197563307,c
2022-05-06 00:00:00,149.22194871982174,
2022-05-06 01:00:00,151.76172994852732,
2022-05-06 02:30:00,148.14024236357363,
2022-05-06 03:00:00,145.7643904902552,
2022-05-06 18:30:00,145.7643904902552,
2022-05-06 20:00:00,145.7643904902552,
2022-05-06 23:00:00,145.7643904902552,
2022-05-06 23:59:59,124.28830356527124,w
2022-05-09 00:00:00,216.89631726292464,
2022-05-09 01:00:00,204.95634013694144,
2022-05-09 02:30:00,204.95634013694144,
2022-05-09 03:00:00,204.95634013694144,
2022-05-09 18:30:00,204.95634013694144,
2022-05-09 20:00:00,204.95634013694144,
2022-05-09 23:00:00,225.07669626296956,
2022-05-09 23:59:59,192.07752751822045,c
2022-05-10 00:00:00,254.17897751894998,
2022-05-10 01:00:00,239.20883623125792,
2022-05-10 02:30:00,202.2521035466716,
2022-05-10 03:00:00,217.44931961041038,
2022-05-10 18:30:00,217.44931961041038,
