date,EU_TAN_2021_Q4,meta
2021-11-19 00:00:00,897.4114707678145,
2021-11-19 03:30:00,915.7227109779014,
2021-11-19 04:00:00,904.8085604500375,
2021-11-19 06:00:00,856.3674148148766,
2021-11-19 08:00:00,774.1683094117961,
2021-11-19 10:30:00,778.2178163368626,
2021-11-19 11:00:00,810.5109659930404,
2021-11-19 23:59:59,846.409603136226,w
2021-11-22 00:00:00,881.8954838052159,
2021-11-22 03:30:00,911.6745167441804,
2021-11-22 04:00:00,937.748370271549,
2021-11-22 06:00:00,903.163293101461,
2021-11-22 08:00:00,897.8741067574701,
2021-11-22 10:30:00,900.7064591965755,
2021-11-22 11:00:00,889.2742523662455,
2021-11-22 23:59:59,900.0210625626078,c
2021-11-23 00:00:00,846.9604692434696,
2021-11-23 03:30:00,697.2278961641296,
2021-11-23 04:00:00,718.9297822125227,
2021-11-23 06:00:00,754.9676255540198,
2021-11-23 08:00:00,841.5100077244642,
2021-11-23 10:30:00,846.050240333203,
2021-11-23 11:00:00,825.502262598975,
2021-11-23 23:59:59,848.445815516643,c
2021-11-24 00:00:00,895.97872466849,
2021-11-24 03:30:00,840.5257444670497,
2021-11-24 04:00:00,848.0998900660343,
2021-11-24 06:00:00,763.7120774823943,
2021-11-24 08:00:00,784.7215157795799,
2021-11-24 10:30:00,822.0921455864991,
2021-11-24 11:00:00,813.8484925404609,
2021-11-24 23:59:59,912.4820630771137,c
2021-11-25 00:00:00,951.6231370559781,
2021-11-25 03:30:00,980.9541320758817,
2021-11-25 04:00:00,1017.1457466532502,
2021-11-25 06:00:00,998.7879535900192,
2021-11-25 08:00:00,1014.0789474616467,
2021-11-25 10:30:00,1042.572587482422,
2021-11-25 11:00:00,1048.0756429681169,
2021-11-25 23:59:59,1085.4871485699878,c
2021-11-26 00:00:00,843.1632004023159,
2021-11-26 03:30:00,878.0944759133708,
2021-11-26 04:00:00,980.3509040180506,
2021-11-26 06:00:00,996.5178478764847,
2021-11-26 08:00:00,1060.7827043495472,
2021-11-26 10:30:00,995.4142891860574,
2021-11-26 11:00:00,993.6553782806295,
2021-11-26 23:59:59,913.9130454651204,w
2021-11-29 00:00:00,868.3613655381578,
2021-11-29 03:30:00,912.7831373693389,
2021-11-29 04:00:00,842.3999248142736,
2021-11-29 06:00:00,936.2505451071138,
2021-11-29 08:00:00,934.5515508295139,
2021-11-29 10:30:00,936.2524780159347,
2021-11-29 11:00:00,875.4557197042195,
2021-11-29 23:59:59,890.6741155094169,c
2021-11-30 00:00:00,841.4401134056625,
2021-11-30 03:30:00,841.4669978523343,
2021-11-30 04:00:00,829.6016242690894,
2021-11-30 06:00:00,690.8325895855487,
2021-11-30 08:00:00,745.6754206640471,
2021-11-30 10:30:00,933.7133717191828,
