date,AS_MSCI_EM_HK_MIG_2022_Q1,meta
2021-12-29 00:00:00,-2011.6659184963596,
2021-12-29 01:00:00,-2014.0119067640453,
2021-12-29 02:30:00,-1997.1714467252073,
2021-12-29 03:00:00,-1950.456086735977,
2021-12-29 18:30:00,-1950.456086735977,
2021-12-29 20:00:00,-1950.456086735977,
2021-12-29 23:00:00,-1690.4049746898795,
2021-12-29 23:59:59,-1690.1169464403652,c
2021-12-30 00:00:00,-1827.8488925589368,
2021-12-30 01:00:00,-1753.0242335923135,
2021-12-30 02:30:00,-1921.8947854812632,
2021-12-30 03:00:00,-1968.2109469691713,
2021-12-30 18:30:00,-1968.2109469691713,
2021-12-30 20:00:00,-1968.2109469691713,
2021-12-30 23:00:00,-1950.90923941759,
2021-12-30 23:59:59,-1951.4268162121498,c
2021-12-31 00:00:00,-2201.515414248142,
2021-12-31 01:00:00,-2201.515414248142,
2021-12-31 02:30:00,-2201.515414248142,
2021-12-31 03:00:00,-2201.515414248142,
2021-12-31 18:30:00,-2201.515414248142,
2021-12-31 20:00:00,-2201.515414248142,
2021-12-31 23:00:00,-2201.515414248142,
2021-12-31 23:59:59,-2201.5493986820534,w
2022-01-03 00:00:00,-1903.2600259239593,
2022-01-03 01:00:00,-1897.654769849656,
2022-01-03 02:30:00,-2106.9241402977254,
2022-01-03 03:00:00,-2148.889157953044,
2022-01-03 18:30:00,-2148.889157953044,
2022-01-03 20:00:00,-2148.889157953044,
2022-01-03 23:00:00,-2168.33106501918,
2022-01-03 23:59:59,-2168.532428703729,c
2022-01-04 00:00:00,-2170.482917453918,
2022-01-04 01:00:00,-2169.072617624841,
2022-01-04 02:30:00,-2295.737720751528,
2022-01-04 03:00:00,-2365.7433133442064,
2022-01-04 18:30:00,-2365.7433133442064,
2022-01-04 20:00:00,-2365.7433133442064,
2022-01-04 23:00:00,-1904.4981198066466,
2022-01-04 23:59:59,-1903.7437293935736,c
2022-01-05 00:00:00,-1823.5373169651966,
2022-01-05 01:00:00,-1610.3128603133796,
2022-01-05 02:30:00,-1721.2002428491078,
2022-01-05 03:00:00,-1613.3042901283293,
2022-01-05 18:30:00,-1613.3042901283293,
2022-01-05 20:00:00,-1613.3042901283293,
2022-01-05 23:00:00,-1502.2127822047298,
2022-01-05 23:59:59,-1502.3379350168257,c
2022-01-06 00:00:00,-1562.8675910508935,
2022-01-06 01:00:00,-1614.212495540799,
2022-01-06 02:30:00,-1557.4657662785723,
2022-01-06 03:00:00,-1598.0978808484215,
2022-01-06 18:30:00,-1598.0978808484215,
2022-01-06 20:00:00,-1598.0978808484215,
2022-01-06 23:00:00,-1406.5885823020774,
