date,AS_MSCI_EM_HK_AD_2022_Q3,meta
2022-06-30 00:00:00,20.520728480510577,
2022-06-30 01:00:00,20.520728480510577,
2022-06-30 02:30:00,81.57304485443468,
2022-06-30 03:00:00,73.60301910594414,
2022-06-30 18:30:00,73.60301910594414,
2022-06-30 20:00:00,73.60301910594414,
2022-06-30 23:00:00,73.60301910594414,
2022-06-30 23:59:59,37.50964622200304,c
2022-07-01 00:00:00,37.50964622200304,
2022-07-01 01:00:00,37.50964622200304,
2022-07-01 02:30:00,37.50964622200304,
2022-07-01 03:00:00,37.50964622200304,
2022-07-01 18:30:00,37.50964622200304,
2022-07-01 20:00:00,37.50964622200304,
2022-07-01 23:00:00,37.50964622200304,
2022-07-01 23:59:59,37.50964622200304,w
2022-07-04 00:00:00,6.39522211110643,
2022-07-04 01:00:00,6.39522211110643,
2022-07-04 02:30:00,-19.61709138530919,
2022-07-04 03:00:00,-23.87745179831501,
2022-07-04 18:30:00,-23.87745179831501,
2022-07-04 20:00:00,-23.87745179831501,
2022-07-04 23:00:00,23.73679768153948,
2022-07-04 23:59:59,90.85000057800691,c
2022-07-05 00:00:00,60.38244840915709,
2022-07-05 01:00:00,60.38244840915709,
2022-07-05 02:30:00,32.51640115565708,
2022-07-05 03:00:00,75.860325423088,
2022-07-05 18:30:00,75.860325423088,
2022-07-05 20:00:00,75.860325423088,
2022-07-05 23:00:00,20.289702570482504,
2022-07-05 23:59:59,-7.026713819630509,c
2022-07-06 00:00:00,1.183405367055851,
2022-07-06 01:00:00,1.183405367055851,
2022-07-06 02:30:00,-65.88366010148007,
2022-07-06 03:00:00,-77.37689790886817,
2022-07-06 18:30:00,-77.37689790886817,
2022-07-06 20:00:00,-77.37689790886817,
2022-07-06 23:00:00,-165.5759000169957,
2022-07-06 23:59:59,-187.79667520585826,c
2022-07-07 00:00:00,-164.65952505497143,
2022-07-07 01:00:00,-164.65952505497143,
2022-07-07 02:30:00,-148.85213771580953,
2022-07-07 03:00:00,-136.9531644490608,
2022-07-07 18:30:00,-136.9531644490608,
2022-07-07 20:00:00,-136.9531644490608,
2022-07-07 23:00:00,-213.55419318224583,
2022-07-07 23:59:59,-171.84775425287776,c
2022-07-08 00:00:00,-171.3409821519739,
2022-07-08 01:00:00,-171.3409821519739,
2022-07-08 02:30:00,-168.25381143423485,
2022-07-08 03:00:00,-186.58054283840383,
2022-07-08 18:30:00,-186.58054283840383,
2022-07-08 20:00:00,-186.58054283840383,
2022-07-08 23:00:00,-186.58054283840383,
2022-07-08 23:59:59,-177.03363654825597,w
2022-07-11 00:00:00,-234.92294935020027,
2022-07-11 01:00:00,-234.92294935020027,
2022-07-11 02:30:00,-272.8155444141203,
2022-07-11 03:00:00,-264.7080485382816,
2022-07-11 18:30:00,-264.7080485382816,
2022-07-11 20:00:00,-264.7080485382816,
2022-07-11 23:00:00,-339.46816080057994,
2022-07-11 23:59:59,-379.11489614200394,c
2022-07-12 00:00:00,-382.48086074132783,
2022-07-12 01:00:00,-382.48086074132783,
2022-07-12 02:30:00,-382.1698726726261,
2022-07-12 03:00:00,-388.2013761889273,
2022-07-12 18:30:00,-388.2013761889273,
2022-07-12 20:00:00,-388.2013761889273,
2022-07-12 23:00:00,-311.00674452976835,
2022-07-12 23:59:59,-304.47448732311983,c
2022-07-13 00:00:00,-293.60994041184983,
2022-07-13 01:00:00,-293.60994041184983,
2022-07-13 02:30:00,-314.89556005990863,
2022-07-13 03:00:00,-294.65918488819335,
2022-07-13 18:30:00,-294.65918488819335,
2022-07-13 20:00:00,-294.65918488819335,
2022-07-13 23:00:00,-129.79414564652745,
2022-07-13 23:59:59,-113.4099066982441,c
2022-07-14 00:00:00,-117.14163539489216,
2022-07-14 01:00:00,-117.14163539489216,
2022-07-14 02:30:00,-120.6179270005531,
2022-07-14 03:00:00,-105.53567006593201,
2022-07-14 18:30:00,-105.53567006593201,
2022-07-14 20:00:00,-105.53567006593201,
2022-07-14 23:00:00,-89.20261037138503,
2022-07-14 23:59:59,-109.45496843585556,c
2022-07-15 00:00:00,-102.2465140854962,
2022-07-15 01:00:00,-102.2465140854962,
2022-07-15 02:30:00,-68.60183651164262,
2022-07-15 03:00:00,-107.25806542939699,
2022-07-15 18:30:00,-107.25806542939699,
2022-07-15 20:00:00,-107.25806542939699,
2022-07-15 23:00:00,-107.25806542939699,
2022-07-15 23:59:59,-159.97029964592542,w
2022-07-18 00:00:00,-128.89496955282303,
2022-07-18 01:00:00,-128.89496955282303,
2022-07-18 02:30:00,-115.68267959640373,
2022-07-18 03:00:00,-128.19117770643822,
2022-07-18 18:30:00,-128.19117770643822,
2022-07-18 20:00:00,-128.19117770643822,
2022-07-18 23:00:00,-53.36684877345119,
2022-07-18 23:59:59,81.68287290862663,c
2022-07-19 00:00:00,90.93518007472099,
2022-07-19 01:00:00,90.93518007472099,
2022-07-19 02:30:00,129.43174925463964,
2022-07-19 03:00:00,116.85133807624968,
2022-07-19 18:30:00,116.85133807624968,
2022-07-19 20:00:00,116.85133807624968,
2022-07-19 23:00:00,234.7100919171388,
2022-07-19 23:59:59,251.5160378080397,c
2022-07-20 00:00:00,247.7985809834141,
2022-07-20 01:00:00,247.7985809834141,
2022-07-20 02:30:00,233.06691732847796,
2022-07-20 03:00:00,227.91782270752066,
2022-07-20 18:30:00,227.91782270752066,
2022-07-20 20:00:00,227.91782270752066,
2022-07-20 23:00:00,236.9230217937705,
2022-07-20 23:59:59,247.222705928022,c
2022-07-21 00:00:00,266.47738456741394,
2022-07-21 01:00:00,266.47738456741394,
