date,XLECAP_2021_Q3,meta
2021-10-06 13:30:00,-145.84116940511967,
2021-10-06 15:00:00,-119.485188240257,
2021-10-06 15:30:30,-119.485188240257,
2021-10-06 23:59:59,-132.2053658652942,c
2021-10-07 00:00:00,-117.07242401546932,
2021-10-07 10:00:00,-60.259643846091194,
2021-10-07 10:30:00,-55.25976293565259,
2021-10-07 12:00:00,-69.1385710789707,
2021-10-07 13:30:00,-64.47880792723231,
2021-10-07 15:00:00,-64.28406103775956,
2021-10-07 15:30:30,-64.28406103775956,
2021-10-07 23:59:59,-51.66370608406419,c
2021-10-08 00:00:00,-72.33341476358214,
2021-10-08 10:00:00,-91.02157414906469,
2021-10-08 10:30:00,-134.76286283403624,
2021-10-08 12:00:00,-148.37266848522586,
2021-10-08 13:30:00,-143.8171843448565,
2021-10-08 15:00:00,-171.52418310734402,
2021-10-08 15:30:30,-171.52418310734402,
2021-10-08 23:59:59,-192.58287658226504,w
2021-10-11 00:00:00,-193.4077021152102,
2021-10-11 10:00:00,-131.00890557606886,
2021-10-11 10:30:00,-159.8063224193313,
2021-10-11 12:00:00,-158.07803977191247,
2021-10-11 13:30:00,-128.79663323670093,
2021-10-11 15:00:00,-140.67285475713948,
2021-10-11 15:30:30,-140.67285475713948,
2021-10-11 23:59:59,-135.22657602346908,c
2021-10-12 00:00:00,-140.17337328756525,
2021-10-12 10:00:00,-139.93829752295233,
2021-10-12 10:30:00,-111.22930827727555,
2021-10-12 12:00:00,-122.02631670401024,
2021-10-12 13:30:00,-93.50487170305337,
2021-10-12 15:00:00,-111.88606855859007,
2021-10-12 15:30:30,-111.88606855859007,
2021-10-12 23:59:59,-103.23198618278434,c
2021-10-13 00:00:00,-84.30066652160554,
2021-10-13 10:00:00,-94.10896736325003,
2021-10-13 10:30:00,-96.79764063301172,
2021-10-13 12:00:00,-106.5835528071018,
2021-10-13 13:30:00,-112.90502015731886,
2021-10-13 15:00:00,-141.49978064008042,
2021-10-13 15:30:30,-141.49978064008042,
2021-10-13 23:59:59,-122.11894792100406,c
2021-10-14 00:00:00,-114.25357632315536,
2021-10-14 10:00:00,-96.22818546506869,
2021-10-14 10:30:00,-86.35031239498153,
2021-10-14 12:00:00,-37.99775809480002,
2021-10-14 13:30:00,-50.36714279834723,
2021-10-14 15:00:00,-72.4449943670013,
2021-10-14 15:30:30,-72.4449943670013,
2021-10-14 23:59:59,-99.7530216940379,c
