date,MSCI_US_SC_STAY_2022_Q1,meta
2022-01-26 10:30:00,-102.31460721358263,
2022-01-26 12:00:00,-109.61657218379595,
2022-01-26 13:30:00,-98.72720054154767,
2022-01-26 15:00:00,-115.62467189491198,
2022-01-26 15:30:30,-115.62467189491198,
2022-01-26 23:59:59,-129.7374767888026,c
2022-01-27 00:00:00,-116.50714442018027,
2022-01-27 10:00:00,-129.7517509784466,
2022-01-27 10:30:00,-127.61765880055769,
2022-01-27 12:00:00,-128.29635748482642,
2022-01-27 13:30:00,-141.2895552274414,
2022-01-27 15:00:00,-144.55540735463026,
2022-01-27 15:30:30,-144.55540735463026,
2022-01-27 23:59:59,-151.01018653397514,c
2022-01-28 00:00:00,-137.24736032460993,
2022-01-28 10:00:00,-166.10006410104725,
2022-01-28 10:30:00,-157.85712192042467,
2022-01-28 12:00:00,-98.54612371943661,
2022-01-28 13:30:00,-108.91790447128808,
2022-01-28 15:00:00,-99.7847390803274,
2022-01-28 15:30:30,-99.7847390803274,
2022-01-28 23:59:59,-96.17522617647019,w
2022-01-31 00:00:00,-72.62332621102568,
2022-01-31 10:00:00,-23.028716746023925,
2022-01-31 10:30:00,-30.010599733348855,
2022-01-31 12:00:00,-0.6105189864094651,
2022-01-31 13:30:00,-14.08276932305502,
2022-01-31 15:00:00,-1.8977743481649902,
2022-01-31 15:30:30,-1.8977743481649902,
2022-01-31 23:59:59,-1.8516355987026678,c
2022-02-01 00:00:00,28.697686286888896,
2022-02-01 10:00:00,-7.660121661661357,
2022-02-01 10:30:00,4.882473860362359,
2022-02-01 12:00:00,38.120307000508156,
2022-02-01 13:30:00,23.868698340650177,
2022-02-01 15:00:00,12.473573640426842,
2022-02-01 15:30:30,12.473573640426842,
2022-02-01 23:59:59,14.738400404922775,c
2022-02-02 00:00:00,14.21869398015717,
2022-02-02 10:00:00,-8.013889782749413,
2022-02-02 10:30:00,-13.9039191112031,
2022-02-02 12:00:00,-33.420572084651916,
2022-02-02 13:30:00,-37.91050282814642,
2022-02-02 15:00:00,-55.76674789104901,
2022-02-02 15:30:30,-55.76674789104901,
2022-02-02 23:59:59,-54.63169001453834,c
2022-02-03 00:00:00,-103.43614281376352,
