date,MSCI_US_AD_HEDGED_2022_Q2,meta
2022-04-07 00:00:00,801.9667992887717,
2022-04-07 10:00:00,845.1792444745683,
2022-04-07 10:30:00,807.0471219882963,
2022-04-07 12:00:00,652.9315398114954,
2022-04-07 13:30:00,617.2641624086839,
2022-04-07 15:00:00,682.407532939345,
2022-04-07 15:30:30,682.407532939345,
2022-04-07 23:59:59,696.0056120310712,c
2022-04-08 00:00:00,652.6254538491835,
2022-04-08 10:00:00,620.6202606355107,
2022-04-08 10:30:00,777.9587710593223,
2022-04-08 12:00:00,710.0600182066996,
2022-04-08 13:30:00,602.7610855464416,
2022-04-08 15:00:00,612.4194360190572,
2022-04-08 15:30:30,612.4194360190572,
2022-04-08 23:59:59,606.9103760563478,w
2022-04-11 00:00:00,557.1485391557833,
2022-04-11 10:00:00,622.470961449066,
2022-04-11 10:30:00,652.7876459124161,
2022-04-11 12:00:00,637.6775045716506,
2022-04-11 13:30:00,648.4134606558948,
2022-04-11 15:00:00,651.3371523673495,
2022-04-11 15:30:30,651.3371523673495,
2022-04-11 23:59:59,638.3612615613954,c
2022-04-12 00:00:00,718.9075180087821,
2022-04-12 10:00:00,776.101023468183,
2022-04-12 10:30:00,666.3472625316272,
2022-04-12 12:00:00,695.0796366418012,
2022-04-12 13:30:00,624.503323530613,
2022-04-12 15:00:00,602.8325828536215,
2022-04-12 15:30:30,602.8325828536215,
2022-04-12 23:59:59,575.3664755389655,c
2022-04-13 00:00:00,592.5771114835889,
2022-04-13 10:00:00,654.4667600026075,
2022-04-13 10:30:00,645.4729589589163,
2022-04-13 12:00:00,713.0664478867395,
2022-04-13 13:30:00,707.3116711752616,
2022-04-13 15:00:00,706.7827282298135,
2022-04-13 15:30:30,706.7827282298135,
2022-04-13 23:59:59,717.4025936968881,c
2022-04-14 00:00:00,578.516481914106,
2022-04-14 10:00:00,569.5750692385027,
2022-04-14 10:30:00,578.7022884466651,
2022-04-14 12:00:00,517.4322607687757,
2022-04-14 13:30:00,511.2260951653159,
2022-04-14 15:00:00,497.9874966757907,
2022-04-14 15:30:30,497.9874966757907,
2022-04-14 23:59:59,449.73732340551805,c
2022-04-15 00:00:00,449.73732340551805,
2022-04-15 10:00:00,449.73732340551805,
2022-04-15 10:30:00,449.73732340551805,
2022-04-15 12:00:00,449.73732340551805,
2022-04-15 13:30:00,449.73732340551805,
2022-04-15 15:00:00,449.73732340551805,
2022-04-15 15:30:30,449.73732340551805,
2022-04-15 23:59:59,449.73732340551805,w
2022-04-18 00:00:00,408.61732672165954,
2022-04-18 10:00:00,299.6021476195625,
2022-04-18 10:30:00,349.7703439908754,
2022-04-18 12:00:00,248.52100262499653,
2022-04-18 13:30:00,228.07778713877883,
2022-04-18 15:00:00,313.87081844270347,
2022-04-18 15:30:30,313.87081844270347,s
2022-04-18 23:59:59,377.92421200569606,c
2022-04-19 00:00:00,183.30876919962589,
2022-04-19 10:00:00,355.4575221005873,
2022-04-19 10:30:00,392.31122351432566,
2022-04-19 12:00:00,384.98453564399506,
2022-04-19 13:30:00,400.86895760363313,
2022-04-19 15:00:00,343.1938870141237,
2022-04-19 15:30:30,343.1938870141237,
