date,AS_NAREIT_2022_Q2,meta
2022-05-11 00:00:00,-86.41026386368776,
2022-05-11 01:00:00,-85.1675633094826,
2022-05-11 02:30:00,-82.3411914408166,
2022-05-11 03:00:00,-104.59510794948665,
2022-05-11 18:30:00,-107.616838193278,
2022-05-11 20:00:00,-107.48531899330305,
2022-05-11 23:00:00,-104.10886176767531,
2022-05-11 23:59:59,-100.19555911415023,c
2022-05-12 00:00:00,-114.07392937190093,
2022-05-12 01:00:00,-111.03102577885033,
2022-05-12 02:30:00,-128.17995975399845,
2022-05-12 03:00:00,-130.67208935811664,
2022-05-12 18:30:00,-128.2208198970054,
2022-05-12 20:00:00,-128.0896624848665,
2022-05-12 23:00:00,-136.41679049467666,
2022-05-12 23:59:59,-127.64502790843358,c
2022-05-13 00:00:00,-122.85510592081891,
2022-05-13 01:00:00,-117.8181488161124,
2022-05-13 02:30:00,-128.831262314573,
2022-05-13 03:00:00,-129.37064129556416,
2022-05-13 18:30:00,-129.37064129556416,
2022-05-13 20:00:00,-129.37064129556416,
2022-05-13 23:00:00,-129.37064129556416,
2022-05-13 23:59:59,-118.64045570253302,w
2022-05-16 00:00:00,-150.8886254360459,
2022-05-16 01:00:00,-151.64308983554088,
2022-05-16 02:30:00,-135.17496866525926,
2022-05-16 03:00:00,-139.9557246250672,
2022-05-16 18:30:00,-141.3562587205281,
2022-05-16 20:00:00,-141.03549090780984,
2022-05-16 23:00:00,-98.07897396517842,
2022-05-16 23:59:59,-107.73846275957544,c
2022-05-17 00:00:00,-103.49086674971,
2022-05-17 01:00:00,-101.04235222829766,
2022-05-17 02:30:00,-73.81606723976847,
2022-05-17 03:00:00,-75.11540431460958,
2022-05-17 18:30:00,-75.95134535968145,
2022-05-17 20:00:00,-75.95716682512057,
2022-05-17 23:00:00,-129.8174491090199,
2022-05-17 23:59:59,-123.42362108049883,c
2022-05-18 00:00:00,-130.47084241265225,
2022-05-18 01:00:00,-130.9202888498594,
2022-05-18 02:30:00,-122.52721401405279,
2022-05-18 03:00:00,-124.07088708419883,
2022-05-18 18:30:00,-121.95572867080205,
2022-05-18 20:00:00,-121.8652981686248,
2022-05-18 23:00:00,-124.51331299695039,
2022-05-18 23:59:59,-116.51901723038577,c
2022-05-19 00:00:00,-140.2302053952576,
2022-05-19 01:00:00,-139.0808036668309,
2022-05-19 02:30:00,-137.14527676731313,
2022-05-19 03:00:00,-134.16168519488133,
2022-05-19 18:30:00,-127.46185459104868,
2022-05-19 20:00:00,-127.7039966208888,
2022-05-19 23:00:00,-151.95266452304122,
2022-05-19 23:59:59,-144.23346176319887,c
2022-05-20 00:00:00,-129.349903965757,
2022-05-20 01:00:00,-128.7111586463502,
2022-05-20 02:30:00,-123.07609408400572,
2022-05-20 03:00:00,-118.8950426474396,
2022-05-20 18:30:00,-118.8950426474396,
