date,COMP_AD_HEDGED_2022_Q4,meta
2022-11-11 13:30:00,137.32782610894947,
2022-11-11 15:00:00,140.1630690430443,
2022-11-11 15:30:30,140.1630690430443,s
2022-11-11 23:59:59,90.64366664592274,w
2022-11-14 00:00:00,129.67752237602633,
2022-11-14 10:00:00,46.67075330769035,
2022-11-14 10:30:00,66.26200849721215,
2022-11-14 12:00:00,56.404992844691265,
2022-11-14 13:30:00,71.21237595052594,
2022-11-14 15:00:00,87.67434280428768,
2022-11-14 15:30:30,87.67434280428768,
2022-11-14 23:59:59,36.61092597846914,c
2022-11-15 00:00:00,46.465274036626965,
2022-11-15 10:00:00,60.43678401044974,
2022-11-15 10:30:00,31.827644447105172,
2022-11-15 12:00:00,85.93385432424918,
2022-11-15 13:30:00,103.2354582726175,
2022-11-15 15:00:00,71.48646181695176,
2022-11-15 15:30:30,71.48646181695176,
2022-11-15 23:59:59,38.65558551270783,c
2022-11-16 00:00:00,8.600670513086698,
2022-11-16 10:00:00,-36.82032591233565,
2022-11-16 10:30:00,-83.95429911877329,
2022-11-16 12:00:00,-79.61829705888488,
2022-11-16 13:30:00,-84.86950122542942,
2022-11-16 15:00:00,-105.26633961909488,
2022-11-16 15:30:30,-105.26633961909488,
2022-11-16 23:59:59,-121.13570577642918,c
2022-11-17 00:00:00,-149.60765938863415,
2022-11-17 10:00:00,-128.38695619660814,
2022-11-17 10:30:00,-134.40380632688777,
2022-11-17 12:00:00,-154.86318605830274,
2022-11-17 13:30:00,-154.6249365556895,
2022-11-17 15:00:00,-179.21711826378566,
2022-11-17 15:30:30,-179.21711826378566,
2022-11-17 23:59:59,-204.43717013551634,c
2022-11-18 00:00:00,-180.47927275474217,
2022-11-18 10:00:00,-195.43844118768243,
2022-11-18 10:30:00,-182.15155050017995,
2022-11-18 12:00:00,-179.65280086778364,
2022-11-18 13:30:00,-206.52497966083206,
2022-11-18 15:00:00,-197.15546533825398,
2022-11-18 15:30:30,-197.15546533825398,
2022-11-18 23:59:59,-201.19083321361666,w
2022-11-21 00:00:00,-221.59130142963966,
2022-11-21 10:00:00,-240.62032655286373,
2022-11-21 10:30:00,-222.10868830689355,
2022-11-21 12:00:00,-203.91593494516485,
2022-11-21 13:30:00,-197.35226455223437,
2022-11-21 15:00:00,-196.11664996881473,
2022-11-21 15:30:30,-196.11664996881473,
2022-11-21 23:59:59,-149.09323218903626,c
2022-11-22 00:00:00,-144.34394841320443,
2022-11-22 10:00:00,-91.52248505216437,
2022-11-22 10:30:00,-99.89158970774542,
2022-11-22 12:00:00,-111.53440702145724,
2022-11-22 13:30:00,-126.02095993182934,
2022-11-22 15:00:00,-138.0901062481912,
2022-11-22 15:30:30,-138.0901062481912,
2022-11-22 23:59:59,-139.78762385438324,c
2022-11-23 00:00:00,-131.2990065422938,
2022-11-23 10:00:00,-155.09301222561896,
2022-11-23 10:30:00,-149.68396132294163,
2022-11-23 12:00:00,-127.1579361396681,
2022-11-23 13:30:00,-110.19115634326863,
2022-11-23 15:00:00,-107.10397055235285,
2022-11-23 15:30:30,-107.10397055235285,
2022-11-23 23:59:59,-97.18294273921492,c
2022-11-24 00:00:00,-97.18294273921492,
2022-11-24 10:00:00,-97.18294273921492,
2022-11-24 10:30:00,-97.18294273921492,
2022-11-24 12:00:00,-97.18294273921492,
2022-11-24 13:30:00,-97.18294273921492,
2022-11-24 15:00:00,-97.18294273921492,
2022-11-24 15:30:30,-97.18294273921492,
2022-11-24 23:59:59,-97.18294273921492,c
2022-11-25 00:00:00,-112.12596156851964,
2022-11-25 10:00:00,-125.60868834071118,
2022-11-25 10:30:00,-130.0454030601511,
2022-11-25 12:00:00,-99.18083692250684,
2022-11-25 13:30:00,-99.18083692250684,
2022-11-25 15:00:00,-99.18083692250684,
2022-11-25 15:30:30,-99.18083692250684,
2022-11-25 23:59:59,-79.99059801963028,w
2022-11-28 00:00:00,-113.02269456779754,
2022-11-28 10:00:00,-108.03538777895255,
2022-11-28 10:30:00,-77.1333466042613,
2022-11-28 12:00:00,-65.13549663085041,
2022-11-28 13:30:00,-63.3294409177372,
2022-11-28 15:00:00,-71.84844687927944,
2022-11-28 15:30:30,-71.84844687927944,
2022-11-28 23:59:59,-68.31903584216752,c
2022-11-29 00:00:00,-135.75871771423317,
2022-11-29 10:00:00,-131.14417401024616,
2022-11-29 10:30:00,-136.72541574963316,
2022-11-29 12:00:00,-139.92181111649654,
2022-11-29 13:30:00,-157.09993976801184,
2022-11-29 15:00:00,-149.11216193221674,
2022-11-29 15:30:30,-149.11216193221674,
2022-11-29 23:59:59,-152.76560414478706,c
2022-11-30 00:00:00,-195.72115760913368,
2022-11-30 10:00:00,-145.00255484727506,
2022-11-30 10:30:00,-126.92306753350772,
2022-11-30 12:00:00,-170.0342841000446,
2022-11-30 13:30:00,-170.3300749360477,
2022-11-30 15:00:00,-122.36551001614032,
2022-11-30 15:30:30,-122.36551001614032,m
2022-11-30 23:59:59,-125.29194705740849,c
2022-12-01 00:00:00,-99.76218048494218,
2022-12-01 10:00:00,-16.19503637043215,
2022-12-01 10:30:00,15.663536756381063,
2022-12-01 12:00:00,-20.549717170797408,
2022-12-01 13:30:00,-16.40693737521849,
2022-12-01 15:00:00,-20.285467349637543,
2022-12-01 15:30:30,-20.285467349637543,
2022-12-01 23:59:59,-6.6128615114784,c
2022-12-02 00:00:00,-32.10573395890219,
2022-12-02 10:00:00,7.336630770550869,
2022-12-02 10:30:00,-10.543185225576053,
2022-12-02 12:00:00,-12.90604505902229,
2022-12-02 13:30:00,-2.46386497052913,
2022-12-02 15:00:00,7.387610381478908,
2022-12-02 15:30:30,7.387610381478908,
2022-12-02 23:59:59,0.0,a
2022-12-05 00:00:00,45.98750423229001,
2022-12-05 10:00:00,-9.38304949918404,
2022-12-05 10:30:00,15.245570311572124,
2022-12-05 12:00:00,17.227066158408434,
2022-12-05 13:30:00,0.0797673791798843,
2022-12-05 15:00:00,-26.125028543083772,
2022-12-05 15:30:30,-26.125028543083772,
2022-12-05 23:59:59,-15.926488095241552,c
2022-12-06 00:00:00,20.669666927078197,
2022-12-06 10:00:00,68.96337023282877,
2022-12-06 10:30:00,70.8030837821509,
2022-12-06 12:00:00,67.23227005891863,
2022-12-06 13:30:00,61.90530753503606,
2022-12-06 15:00:00,68.73575803647793,
2022-12-06 15:30:30,68.73575803647793,
2022-12-06 23:59:59,74.88877474059313,c
2022-12-07 00:00:00,81.58071723314276,
2022-12-07 10:00:00,56.03942408125499,
2022-12-07 10:30:00,67.81378794282512,
2022-12-07 12:00:00,128.56306434150963,
2022-12-07 13:30:00,149.29587003020038,
2022-12-07 15:00:00,129.75789328094936,
2022-12-07 15:30:30,129.75789328094936,
2022-12-07 23:59:59,122.30439996135476,c
2022-12-08 00:00:00,208.28635290585908,
2022-12-08 10:00:00,223.8334493725988,
2022-12-08 10:30:00,238.5396639995206,
2022-12-08 12:00:00,250.2086265856401,
2022-12-08 13:30:00,267.13616501783144,
2022-12-08 15:00:00,242.48060527619418,
2022-12-08 15:30:30,242.48060527619418,
2022-12-08 23:59:59,238.6992085025213,c
2022-12-09 00:00:00,239.70520035511072,
2022-12-09 10:00:00,304.0436995900361,
2022-12-09 10:30:00,329.13702614007093,
2022-12-09 12:00:00,312.96232920730927,
2022-12-09 13:30:00,332.91407796201065,
2022-12-09 15:00:00,372.2472278428379,
2022-12-09 15:30:30,372.2472278428379,
2022-12-09 23:59:59,343.3054512415349,w
2022-12-12 00:00:00,322.83240764745824,
2022-12-12 10:00:00,377.1223611918306,
2022-12-12 10:30:00,403.2175950131584,
2022-12-12 12:00:00,441.67020535934194,
2022-12-12 13:30:00,434.99511456948494,
2022-12-12 15:00:00,412.74537458407394,
2022-12-12 15:30:30,412.74537458407394,
2022-12-12 23:59:59,381.2501072783689,c
2022-12-13 00:00:00,435.3882048643327,
2022-12-13 10:00:00,370.95863898582684,
2022-12-13 10:30:00,394.8476624286691,
2022-12-13 12:00:00,425.1338792383815,
2022-12-13 13:30:00,434.917084765892,
2022-12-13 15:00:00,430.3234600241706,
2022-12-13 15:30:30,430.3234600241706,
2022-12-13 23:59:59,396.8736047362031,c
2022-12-14 00:00:00,400.0658580767506,
2022-12-14 10:00:00,503.7249137966744,
2022-12-14 10:30:00,484.6580891061808,
2022-12-14 12:00:00,461.32240092776897,
2022-12-14 13:30:00,462.1693113252263,
2022-12-14 15:00:00,526.1483803665151,
2022-12-14 15:30:30,526.1483803665151,
2022-12-14 23:59:59,522.5849813598181,c
2022-12-15 00:00:00,497.9740466294377,
2022-12-15 10:00:00,522.3214869395449,
2022-12-15 10:30:00,499.04039721358754,
2022-12-15 12:00:00,444.2895287551182,
2022-12-15 13:30:00,478.5055176636158,
2022-12-15 15:00:00,487.89130700846886,
2022-12-15 15:30:30,487.89130700846886,
2022-12-15 23:59:59,511.2293517541673,c
2022-12-16 00:00:00,455.5099614693313,
2022-12-16 10:00:00,508.09051975296825,
2022-12-16 10:30:00,489.6524052054401,
2022-12-16 12:00:00,450.8951834030663,
2022-12-16 13:30:00,498.4505337189919,
2022-12-16 15:00:00,538.1752008995425,
2022-12-16 15:30:30,538.1752008995425,
2022-12-16 23:59:59,494.76417335308497,e
2022-12-19 00:00:00,469.51947297690276,
2022-12-19 10:00:00,420.9691380624429,
2022-12-19 10:30:00,452.72300277282693,
2022-12-19 12:00:00,497.6186511439398,
2022-12-19 13:30:00,497.01546200401276,
2022-12-19 15:00:00,460.66047770757336,
2022-12-19 15:30:30,460.66047770757336,
2022-12-19 23:59:59,490.1369878206747,c
2022-12-20 00:00:00,477.9029110586953,
2022-12-20 10:00:00,424.03109734413533,
2022-12-20 10:30:00,432.35721853321434,
2022-12-20 12:00:00,410.6962339118593,
2022-12-20 13:30:00,400.32915438732493,
2022-12-20 15:00:00,433.7764020216946,
2022-12-20 15:30:30,433.7764020216946,
2022-12-20 23:59:59,456.67994847047385,c
2022-12-21 00:00:00,421.8982156837883,
2022-12-21 10:00:00,415.11110929924916,
2022-12-21 10:30:00,421.30695050313193,
2022-12-21 12:00:00,411.73703688850105,
2022-12-21 13:30:00,444.5931342796566,
2022-12-21 15:00:00,450.54140226308255,
2022-12-21 15:30:30,450.54140226308255,
2022-12-21 23:59:59,467.21612133668646,c
2022-12-22 00:00:00,452.9594680917078,
