date,AS_MSCI_EM_HK_STAY_2022_Q2,meta
2022-03-31 00:00:00,-311.94538442364205,
2022-03-31 01:00:00,-311.94538442364205,
2022-03-31 02:30:00,-302.3341929680077,
2022-03-31 03:00:00,-302.7796720642519,
2022-03-31 18:30:00,-302.7796720642519,
2022-03-31 20:00:00,-302.7796720642519,
2022-03-31 23:00:00,-293.5233319480775,
2022-03-31 23:59:59,-282.79134479425437,c
2022-04-01 00:00:00,-309.4686841575867,
2022-04-01 01:00:00,-309.4686841575867,
2022-04-01 02:30:00,-338.9493689160027,
2022-04-01 03:00:00,-338.56301210754725,
2022-04-01 18:30:00,-338.56301210754725,
2022-04-01 20:00:00,-338.56301210754725,
2022-04-01 23:00:00,-338.56301210754725,
2022-04-01 23:59:59,-326.64992635291463,w
2022-04-04 00:00:00,-307.21014627353935,
2022-04-04 01:00:00,-307.21014627353935,
2022-04-04 02:30:00,-249.15522695278062,
2022-04-04 03:00:00,-238.83699699597213,
2022-04-04 18:30:00,-238.83699699597213,
2022-04-04 20:00:00,-238.83699699597213,
2022-04-04 23:00:00,-238.83699699597213,
2022-04-04 23:59:59,-235.3048899853152,c
2022-04-05 00:00:00,-235.3048899853152,
2022-04-05 01:00:00,-235.3048899853152,
2022-04-05 02:30:00,-235.3048899853152,
2022-04-05 03:00:00,-235.3048899853152,
2022-04-05 18:30:00,-235.3048899853152,
2022-04-05 20:00:00,-235.3048899853152,
2022-04-05 23:00:00,-207.94265377366054,
2022-04-05 23:59:59,-207.94265377366054,c
2022-04-06 00:00:00,-220.03931967428437,
2022-04-06 01:00:00,-220.03931967428437,
2022-04-06 02:30:00,-234.02126787795189,
2022-04-06 03:00:00,-231.40460084739286,
2022-04-06 18:30:00,-231.40460084739286,
2022-04-06 20:00:00,-231.40460084739286,
2022-04-06 23:00:00,-196.38360210169267,
2022-04-06 23:59:59,-239.2172365589111,c
2022-04-07 00:00:00,-244.83735230435758,
2022-04-07 01:00:00,-244.83735230435758,
2022-04-07 02:30:00,-262.93832891818045,
2022-04-07 03:00:00,-277.8935822590781,
2022-04-07 18:30:00,-277.8935822590781,
2022-04-07 20:00:00,-277.8935822590781,
2022-04-07 23:00:00,-312.4683283358413,
2022-04-07 23:59:59,-326.5859393366864,c
2022-04-08 00:00:00,-328.0993067735977,
2022-04-08 01:00:00,-328.0993067735977,
2022-04-08 02:30:00,-326.06092639704656,
2022-04-08 03:00:00,-320.09288865132277,
2022-04-08 18:30:00,-320.09288865132277,
2022-04-08 20:00:00,-320.09288865132277,
2022-04-08 23:00:00,-320.09288865132277,
2022-04-08 23:59:59,-330.6265355740884,w
2022-04-11 00:00:00,-351.88179353051163,
2022-04-11 01:00:00,-351.88179353051163,
2022-04-11 02:30:00,-365.7768096779346,
2022-04-11 03:00:00,-379.56858917912746,
2022-04-11 18:30:00,-379.56858917912746,
2022-04-11 20:00:00,-379.56858917912746,
2022-04-11 23:00:00,-462.59258548160426,
2022-04-11 23:59:59,-469.7776233861921,c
2022-04-12 00:00:00,-458.64899654252713,
2022-04-12 01:00:00,-458.64899654252713,
2022-04-12 02:30:00,-417.3960068930697,
2022-04-12 03:00:00,-398.5425592580428,
2022-04-12 18:30:00,-398.5425592580428,
2022-04-12 20:00:00,-398.5425592580428,
2022-04-12 23:00:00,-398.7128961555278,
2022-04-12 23:59:59,-389.55821620352566,c
2022-04-13 00:00:00,-383.5067337025227,
2022-04-13 01:00:00,-383.5067337025227,
2022-04-13 02:30:00,-375.25172292245065,
2022-04-13 03:00:00,-383.14112099287775,
2022-04-13 18:30:00,-383.14112099287775,
2022-04-13 20:00:00,-383.14112099287775,
2022-04-13 23:00:00,-352.8744583423311,
