date,EU_MSCI_VALUE_2022_Q2,meta
2022-04-14 00:00:00,-190.82712592158822,
2022-04-14 03:30:00,-177.42313860890468,
2022-04-14 04:00:00,-181.94602033683447,
2022-04-14 06:00:00,-175.3163585272365,
2022-04-14 08:00:00,-186.83737535385154,
2022-04-14 10:30:00,-177.68824222784673,
2022-04-14 11:00:00,-187.23475610716062,
2022-04-14 23:59:59,-184.43684067602533,c
2022-04-15 00:00:00,-184.43684067602533,
2022-04-15 03:30:00,-184.43684067602533,
2022-04-15 04:00:00,-184.43684067602533,
2022-04-15 06:00:00,-184.43684067602533,
2022-04-15 08:00:00,-184.43684067602533,
2022-04-15 10:30:00,-184.43684067602533,
2022-04-15 11:00:00,-184.43684067602533,
2022-04-15 23:59:59,-184.43684067602533,w
2022-04-18 00:00:00,-184.43684067602533,
2022-04-18 03:30:00,-184.43684067602533,
2022-04-18 04:00:00,-184.43684067602533,
2022-04-18 06:00:00,-184.43684067602533,
2022-04-18 08:00:00,-184.43684067602533,
2022-04-18 10:30:00,-184.43684067602533,
2022-04-18 11:00:00,-184.43684067602533,
2022-04-18 23:59:59,-184.43684067602533,c
2022-04-19 00:00:00,-163.5945620138198,
2022-04-19 03:30:00,-154.53986064786704,
2022-04-19 04:00:00,-124.94185471386216,
2022-04-19 06:00:00,-134.74982815012268,
2022-04-19 08:00:00,-140.94093066833375,
2022-04-19 10:30:00,-128.52846052102885,
2022-04-19 11:00:00,-133.0791019635224,
2022-04-19 23:59:59,-133.67031775996924,c
2022-04-20 00:00:00,-126.34186468389325,
2022-04-20 03:30:00,-117.26830275519649,
2022-04-20 04:00:00,-121.15427276497932,
2022-04-20 06:00:00,-100.0078445900141,
2022-04-20 08:00:00,-101.54155977717429,
2022-04-20 10:30:00,-107.12521450522011,
2022-04-20 11:00:00,-105.41229316258408,
2022-04-20 23:59:59,-116.80532792337674,c
2022-04-21 00:00:00,-102.98870986704122,
2022-04-21 03:30:00,-99.28136661499263,
2022-04-21 04:00:00,-92.88481757201596,
2022-04-21 06:00:00,-108.5774571838034,
2022-04-21 08:00:00,-106.1387716752821,
2022-04-21 10:30:00,-102.07099107987625,
2022-04-21 11:00:00,-108.3937297645855,
2022-04-21 23:59:59,-109.08476406258458,c
2022-04-22 00:00:00,-117.97388555757757,
2022-04-22 03:30:00,-115.4005327761598,
2022-04-22 04:00:00,-108.943214537862,
2022-04-22 06:00:00,-135.03293232496355,
2022-04-22 08:00:00,-137.5850522243283,
2022-04-22 10:30:00,-127.27975197397984,
2022-04-22 11:00:00,-133.3733591696817,
2022-04-22 23:59:59,-136.85093777424808,w
2022-04-25 00:00:00,-156.33151062892463,
2022-04-25 03:30:00,-144.14648038035665,
2022-04-25 04:00:00,-152.7596332904666,
2022-04-25 06:00:00,-162.32722507964962,
2022-04-25 08:00:00,-150.39291825931474,
2022-04-25 10:30:00,-174.42918264429312,
2022-04-25 11:00:00,-171.17717845878772,
2022-04-25 23:59:59,-168.90140124629812,c
2022-04-26 00:00:00,-147.05870816375432,
