date,BCHN_2022_Q2,meta
2022-04-11 00:00:00,987.0710306835444,
2022-04-11 10:00:00,1106.3144118497949,
2022-04-11 10:30:00,1105.0121619504444,
2022-04-11 12:00:00,993.8326320536689,
2022-04-11 13:30:00,1089.4066874369437,
2022-04-11 15:00:00,1112.3453126660033,
2022-04-11 15:30:30,1112.3453126660033,
2022-04-11 23:59:59,1037.2353586760191,c
2022-04-12 00:00:00,1184.0571900150444,
2022-04-12 10:00:00,1240.1967022065692,
2022-04-12 10:30:00,1079.9140005532472,
2022-04-12 12:00:00,1062.3494092167875,
2022-04-12 13:30:00,979.9836876435193,
2022-04-12 15:00:00,840.6421929653143,
2022-04-12 15:30:30,840.6421929653143,
2022-04-12 23:59:59,837.692590967964,c
2022-04-13 00:00:00,935.2729079458886,
2022-04-13 10:00:00,986.7262227716483,
2022-04-13 10:30:00,1052.8661534373641,
2022-04-13 12:00:00,1206.8589544023007,
2022-04-13 13:30:00,1207.9936336345,
2022-04-13 15:00:00,1300.5627045410629,
2022-04-13 15:30:30,1300.5627045410629,
2022-04-13 23:59:59,1294.3335020060676,c
2022-04-14 00:00:00,1292.7613660003772,
2022-04-14 10:00:00,1030.8798300245471,
2022-04-14 10:30:00,1050.2246254417578,
2022-04-14 12:00:00,917.240164464698,
2022-04-14 13:30:00,975.947696646228,
2022-04-14 15:00:00,904.8932878114238,
2022-04-14 15:30:30,904.8932878114238,
2022-04-14 23:59:59,901.0409357440358,c
2022-04-15 00:00:00,901.0409357440358,
2022-04-15 10:00:00,901.0409357440358,
2022-04-15 10:30:00,901.0409357440358,
2022-04-15 12:00:00,901.0409357440358,
2022-04-15 13:30:00,901.0409357440358,
2022-04-15 15:00:00,901.0409357440358,
2022-04-15 15:30:30,901.0409357440358,s
2022-04-15 23:59:59,901.0409357440358,w
2022-04-18 00:00:00,792.5322108504988,
2022-04-18 10:00:00,777.2965234917338,
2022-04-18 10:30:00,748.5540126785609,
2022-04-18 12:00:00,691.5688090307285,
2022-04-18 13:30:00,770.3543745388897,
2022-04-18 15:00:00,866.4878277884563,
2022-04-18 15:30:30,866.4878277884563,
2022-04-18 23:59:59,897.2060490817921,c
2022-04-19 00:00:00,890.5738462376066,
2022-04-19 10:00:00,940.3272803069331,
2022-04-19 10:30:00,960.9882211228387,
2022-04-19 12:00:00,940.4921231887192,
2022-04-19 13:30:00,905.3317187536231,
2022-04-19 15:00:00,855.7609473193843,
2022-04-19 15:30:30,855.7609473193843,
2022-04-19 23:59:59,948.8689138472728,c
2022-04-20 00:00:00,969.326064191875,
2022-04-20 10:00:00,548.4943497135755,
2022-04-20 10:30:00,586.9835778048036,
2022-04-20 12:00:00,509.944461778623,
2022-04-20 13:30:00,574.149107915985,
2022-04-20 15:00:00,469.80650228142713,
2022-04-20 15:30:30,469.80650228142713,
2022-04-20 23:59:59,482.09645147681204,c
2022-04-21 00:00:00,632.8453717248385,
2022-04-21 10:00:00,471.20515327303565,
2022-04-21 10:30:00,450.26018728173585,
2022-04-21 12:00:00,239.1520083958867,
2022-04-21 13:30:00,301.50630280902806,
2022-04-21 15:00:00,131.20703481070177,
2022-04-21 15:30:30,131.20703481070177,
2022-04-21 23:59:59,185.8958573085547,c
2022-04-22 00:00:00,132.19485456253733,
2022-04-22 10:00:00,110.30571407778007,
2022-04-22 10:30:00,-6.677560770602213,
2022-04-22 12:00:00,-153.07134033372768,
2022-04-22 13:30:00,-201.82252600632728,
2022-04-22 15:00:00,-160.22753076223034,
2022-04-22 15:30:30,-160.22753076223034,
2022-04-22 23:59:59,-133.26473810784682,w
2022-04-25 00:00:00,-269.7985598211635,
2022-04-25 10:00:00,-230.99246912958006,
2022-04-25 10:30:00,-67.48934100732731,
2022-04-25 12:00:00,-196.33622160544473,
2022-04-25 13:30:00,-119.98667117024706,
2022-04-25 15:00:00,-70.7388976461607,
2022-04-25 15:30:30,-70.7388976461607,
2022-04-25 23:59:59,0.0,a
2022-04-26 00:00:00,19.989914915432564,
2022-04-26 10:00:00,-287.07182623722565,
2022-04-26 10:30:00,-277.63316745631255,
2022-04-26 12:00:00,-342.7107099119621,
2022-04-26 13:30:00,-304.0155255349209,
2022-04-26 15:00:00,-236.06442014872482,
2022-04-26 15:30:30,-236.06442014872482,
2022-04-26 23:59:59,-335.9379575195326,c
2022-04-27 00:00:00,-301.81905276497946,
2022-04-27 10:00:00,-77.77009931273187,
2022-04-27 10:30:00,-273.2811811249221,
2022-04-27 12:00:00,-316.91080790292017,
2022-04-27 13:30:00,-229.4370085161545,
2022-04-27 15:00:00,-252.50680040655425,
2022-04-27 15:30:30,-252.50680040655425,
2022-04-27 23:59:59,-311.8077428779925,c
2022-04-28 00:00:00,-145.1610623726756,
2022-04-28 10:00:00,-357.283595050073,
2022-04-28 10:30:00,-476.3162725543343,
2022-04-28 12:00:00,-346.3126028916395,
2022-04-28 13:30:00,-11.183374667155476,
2022-04-28 15:00:00,21.625077097192843,
2022-04-28 15:30:30,21.625077097192843,
2022-04-28 23:59:59,-28.249794035828927,c
0,-28.249794035828927,
0,-28.249794035828927,
0,-28.249794035828927,
0,-28.249794035828927,
0,-28.249794035828927,
0,-28.249794035828927,
0,-28.249794035828927,
0,-28.249794035828927,
2022-04-29 00:00:00,-248.1084679784235,
2022-04-29 10:00:00,183.13916016867643,
2022-04-29 10:30:00,-19.6050662662974,
2022-04-29 12:00:00,5.121353973263467,
2022-04-29 13:30:00,-172.3542772944029,
2022-04-29 15:00:00,-221.88664920246538,
2022-04-29 15:30:30,-221.88664920246538,
