date,AS_FTSE_EM_HK_AD_2023_Q1,meta
2023-01-06 00:00:00,-15.733181421444016,
2023-01-06 01:00:00,-16.97152004122364,
2023-01-06 02:30:00,-2.4583982749554423,
2023-01-06 03:00:00,12.024591501507842,
2023-01-06 18:30:00,12.024591501507842,
2023-01-06 20:00:00,12.024591501507842,
2023-01-06 23:00:00,12.024591501507842,
2023-01-06 23:59:59,12.050579758121216,w
2023-01-09 00:00:00,-57.81395585004827,
2023-01-09 01:00:00,-78.84089468005709,
2023-01-09 02:30:00,-73.59516009421843,
2023-01-09 03:00:00,-68.87703075212204,
2023-01-09 18:30:00,-68.87703075212204,
2023-01-09 20:00:00,-68.87703075212204,
2023-01-09 23:00:00,-62.2721640671958,
2023-01-09 23:59:59,-62.284162904275064,c
2023-01-10 00:00:00,-10.460909871994403,
2023-01-10 01:00:00,5.133711785278308,
2023-01-10 02:30:00,-37.38860460392877,
2023-01-10 03:00:00,-17.866456313014226,
2023-01-10 18:30:00,-17.866456313014226,
2023-01-10 20:00:00,-17.866456313014226,
2023-01-10 23:00:00,-86.95485798859262,
2023-01-10 23:59:59,-86.96635931322614,c
2023-01-11 00:00:00,-83.87186747657178,
2023-01-11 01:00:00,-109.33971891142761,
2023-01-11 02:30:00,-119.11166951164049,
2023-01-11 03:00:00,-88.30995903127183,
2023-01-11 18:30:00,-88.30995903127183,
2023-01-11 20:00:00,-88.30995903127183,
2023-01-11 23:00:00,-119.98671213035624,
2023-01-11 23:59:59,-119.97629286630124,c
2023-01-12 00:00:00,-126.97810588093637,
2023-01-12 01:00:00,-174.35186070273454,
2023-01-12 02:30:00,-195.0963974737721,
2023-01-12 03:00:00,-201.23972029692735,
2023-01-12 18:30:00,-201.23972029692735,
2023-01-12 20:00:00,-201.23972029692735,
2023-01-12 23:00:00,-283.82837912945166,
2023-01-12 23:59:59,-283.84976065909507,c
2023-01-13 00:00:00,-290.25768855947507,
2023-01-13 01:00:00,-312.01555716145833,
2023-01-13 02:30:00,-351.32681592120383,
2023-01-13 03:00:00,-331.6661405156922,
2023-01-13 18:30:00,-331.6661405156922,
2023-01-13 20:00:00,-331.6661405156922,
2023-01-13 23:00:00,-331.6661405156922,
2023-01-13 23:59:59,-331.68652645533797,w
2023-01-16 00:00:00,-241.1659713425347,
2023-01-16 01:00:00,-231.68276866542124,
2023-01-16 02:30:00,-272.02710770028926,
2023-01-16 03:00:00,-231.0554913572427,
2023-01-16 18:30:00,-231.0554913572427,
2023-01-16 20:00:00,-231.0554913572427,
2023-01-16 23:00:00,-261.3933657543399,
2023-01-16 23:59:59,-261.40361230774715,c
2023-01-17 00:00:00,-245.491525642961,
2023-01-17 01:00:00,-231.8175153735209,
2023-01-17 02:30:00,-224.00372124286255,
2023-01-17 03:00:00,-228.74981017316554,
2023-01-17 18:30:00,-228.74981017316554,
2023-01-17 20:00:00,-228.74981017316554,
2023-01-17 23:00:00,-170.44958608010228,
2023-01-17 23:59:59,-170.4478248334434,c
2023-01-18 00:00:00,-157.22683698714144,
2023-01-18 01:00:00,-168.2742861698992,
2023-01-18 02:30:00,-156.1611921835847,
2023-01-18 03:00:00,-136.56997602263107,
2023-01-18 18:30:00,-136.56997602263107,
2023-01-18 20:00:00,-136.56997602263107,
2023-01-18 23:00:00,-118.32680222543658,
2023-01-18 23:59:59,-118.29045080409217,c
2023-01-19 00:00:00,-128.6937902601277,
2023-01-19 01:00:00,-111.93120014878488,
2023-01-19 02:30:00,-54.92047647689732,
2023-01-19 03:00:00,-44.27421042888227,
2023-01-19 18:30:00,-44.27421042888227,
2023-01-19 20:00:00,-44.27421042888227,
2023-01-19 23:00:00,-83.58754240070698,
2023-01-19 23:59:59,-83.54095978331225,c
2023-01-20 00:00:00,-54.7884779119921,
2023-01-20 01:00:00,-49.139044902848724,
2023-01-20 02:30:00,-4.557800768211763,
2023-01-20 03:00:00,24.372536776502045,
2023-01-20 18:30:00,24.372536776502045,
2023-01-20 20:00:00,24.372536776502045,
2023-01-20 23:00:00,24.372536776502045,
2023-01-20 23:59:59,24.3562017184216,w
2023-01-23 00:00:00,24.3562017184216,
2023-01-23 01:00:00,24.3562017184216,
2023-01-23 02:30:00,24.3562017184216,
2023-01-23 03:00:00,24.3562017184216,
2023-01-23 18:30:00,24.3562017184216,
2023-01-23 20:00:00,24.3562017184216,
2023-01-23 23:00:00,24.3562017184216,
2023-01-23 23:59:59,24.3562017184216,c
2023-01-24 00:00:00,24.3562017184216,
2023-01-24 01:00:00,24.3562017184216,
2023-01-24 02:30:00,24.3562017184216,
2023-01-24 03:00:00,24.3562017184216,
2023-01-24 18:30:00,24.3562017184216,
2023-01-24 20:00:00,24.3562017184216,
2023-01-24 23:00:00,24.3562017184216,
