date,EU_GUNR_2022_Q2,meta
2022-05-20 00:00:00,131.2326686152719,
2022-05-20 03:30:00,103.61771989450244,
2022-05-20 04:00:00,90.42485168493295,
2022-05-20 06:00:00,71.55203266639,
2022-05-20 08:00:00,72.09081265029181,
2022-05-20 10:30:00,93.90986929189603,
2022-05-20 11:00:00,141.702173808113,
2022-05-20 23:59:59,135.3674496800104,w
2022-05-23 00:00:00,84.33756017068299,
2022-05-23 03:30:00,57.27110938045644,
2022-05-23 04:00:00,68.18099482121033,
2022-05-23 06:00:00,40.636657681898214,
2022-05-23 08:00:00,52.43358616792739,
2022-05-23 10:30:00,52.19780183487637,
2022-05-23 11:00:00,51.93320989267886,
2022-05-23 23:59:59,45.646294091799064,c
2022-05-24 00:00:00,101.30757483796424,
2022-05-24 03:30:00,92.10046540857275,
2022-05-24 04:00:00,97.38575873765421,
2022-05-24 06:00:00,113.50610884915113,
2022-05-24 08:00:00,138.0619044240848,
2022-05-24 10:30:00,102.92030513658938,
2022-05-24 11:00:00,142.1236089957456,
2022-05-24 23:59:59,105.93013245087059,c
2022-05-25 00:00:00,88.54361259582402,
2022-05-25 03:30:00,73.11343890683293,
2022-05-25 04:00:00,80.8896211818992,
2022-05-25 06:00:00,98.02687464790233,
2022-05-25 08:00:00,54.860481036239435,
2022-05-25 10:30:00,-1.503662835229079,
2022-05-25 11:00:00,2.0991490450351193,
2022-05-25 23:59:59,15.534178340318249,c
2022-05-26 00:00:00,-27.75521687624405,
2022-05-26 03:30:00,-78.38125959191257,
2022-05-26 04:00:00,-82.49719299240496,
2022-05-26 06:00:00,-90.45064142208867,
2022-05-26 08:00:00,-64.49359865471797,
2022-05-26 10:30:00,-97.43735889156687,
2022-05-26 11:00:00,-100.83108830950368,
2022-05-26 23:59:59,-100.42425818873107,c
2022-05-27 00:00:00,-26.132509967513215,
2022-05-27 03:30:00,-29.158418683213313,
2022-05-27 04:00:00,-27.366277226514285,
2022-05-27 06:00:00,-6.382130136896194,
2022-05-27 08:00:00,10.561909361116705,
2022-05-27 10:30:00,11.02055346855559,
2022-05-27 11:00:00,-10.54084132866501,
2022-05-27 23:59:59,-13.150508150552014,w
2022-05-30 00:00:00,-16.48669902462734,
2022-05-30 03:30:00,-32.25875372279825,
2022-05-30 04:00:00,-17.416123680428427,
2022-05-30 06:00:00,6.958048130572024,
2022-05-30 08:00:00,30.876428413893336,
2022-05-30 10:30:00,3.0728207198344535,
2022-05-30 11:00:00,-11.15469138980643,
