date,CRSP_STAY_HEDGED_2021_Q4,meta
2021-11-12 13:30:00,138.00246259054848,
2021-11-12 15:00:00,144.94268698659323,
2021-11-12 15:30:30,144.94268698659323,
2021-11-12 23:59:59,149.4533919512039,w
2021-11-15 00:00:00,152.6595914313989,
2021-11-15 10:00:00,135.22834544711918,
2021-11-15 10:30:00,142.17260988670625,
2021-11-15 12:00:00,151.91207905551892,
2021-11-15 13:30:00,145.0743353769576,
2021-11-15 15:00:00,155.1459846146921,
2021-11-15 15:30:30,155.1459846146921,
2021-11-15 23:59:59,154.9868316754854,c
2021-11-16 00:00:00,143.40126822017658,
2021-11-16 10:00:00,146.34452748664785,
2021-11-16 10:30:00,157.08353602116983,
2021-11-16 12:00:00,171.90898420120698,
2021-11-16 13:30:00,168.83146130771706,
2021-11-16 15:00:00,181.23419809652341,
2021-11-16 15:30:30,181.23419809652341,
2021-11-16 23:59:59,181.18609535868268,c
2021-11-17 00:00:00,184.26834911813614,
2021-11-17 10:00:00,180.69230431045992,
2021-11-17 10:30:00,183.6753121103883,
2021-11-17 12:00:00,196.72486613946035,
2021-11-17 13:30:00,191.09522394871306,
2021-11-17 15:00:00,190.10877500362562,
2021-11-17 15:30:30,190.10877500362562,
2021-11-17 23:59:59,195.169913913012,c
2021-11-18 00:00:00,190.43342724016304,
2021-11-18 10:00:00,183.03002921466634,
2021-11-18 10:30:00,176.26631974511554,
2021-11-18 12:00:00,200.55334153981858,
2021-11-18 13:30:00,184.99792803442665,
2021-11-18 15:00:00,180.03639245602267,
2021-11-18 15:30:30,180.03639245602267,
2021-11-18 23:59:59,176.61233529623587,c
2021-11-19 00:00:00,208.12069988515725,
2021-11-19 10:00:00,195.1315979047538,
2021-11-19 10:30:00,191.0761860926143,
2021-11-19 12:00:00,191.97336096180015,
2021-11-19 13:30:00,189.09685287196703,
2021-11-19 15:00:00,191.24536587277862,
2021-11-19 15:30:30,191.24536587277862,
2021-11-19 23:59:59,186.1868873517892,w
2021-11-22 00:00:00,180.11082692576133,
2021-11-22 10:00:00,143.6968424626009,
2021-11-22 10:30:00,143.24476871684783,
2021-11-22 12:00:00,87.78650904877611,
2021-11-22 13:30:00,91.9717549913928,
2021-11-22 15:00:00,105.39766766873015,
2021-11-22 15:30:30,105.39766766873015,u
2021-11-22 23:59:59,94.73767789707188,c
2021-11-23 00:00:00,81.16003155498379,
2021-11-23 10:00:00,102.6504777223256,
2021-11-23 10:30:00,70.61808217494104,
2021-11-23 12:00:00,60.36188460874473,
2021-11-23 13:30:00,55.82674830296253,
2021-11-23 15:00:00,60.9722360024457,
2021-11-23 15:30:30,60.9722360024457,
2021-11-23 23:59:59,60.306637512689235,c
2021-11-24 00:00:00,48.313281075473924,
2021-11-24 10:00:00,54.03036978149487,
2021-11-24 10:30:00,69.71275859534137,
2021-11-24 12:00:00,82.20751176119597,
2021-11-24 13:30:00,87.1651203364745,
2021-11-24 15:00:00,89.70742738087756,
2021-11-24 15:30:30,89.70742738087756,
2021-11-24 23:59:59,93.56342421622003,c
2021-11-25 00:00:00,93.56342421622003,
2021-11-25 10:00:00,93.56342421622003,
2021-11-25 10:30:00,93.56342421622003,
2021-11-25 12:00:00,93.56342421622003,
2021-11-25 13:30:00,93.56342421622003,
2021-11-25 15:00:00,93.56342421622003,
2021-11-25 15:30:30,93.56342421622003,
2021-11-25 23:59:59,93.56342421622003,c
2021-11-26 00:00:00,96.15193708470463,
2021-11-26 10:00:00,119.7104492782156,
2021-11-26 10:30:00,115.76141599155619,
2021-11-26 12:00:00,113.93602456434837,
2021-11-26 13:30:00,113.93602456434837,
2021-11-26 15:00:00,113.93602456434837,
2021-11-26 15:30:30,113.93602456434837,
2021-11-26 23:59:59,111.1814991942623,w
2021-11-29 00:00:00,119.09909138120054,
2021-11-29 10:00:00,120.80105946023468,
2021-11-29 10:30:00,116.1875166870027,
2021-11-29 12:00:00,137.91606848372476,
2021-11-29 13:30:00,138.28089843914074,
2021-11-29 15:00:00,144.53047590244626,
2021-11-29 15:30:30,144.53047590244626,
2021-11-29 23:59:59,144.0102290779506,c
2021-11-30 00:00:00,143.51583838933527,
2021-11-30 10:00:00,145.33558223967884,
2021-11-30 10:30:00,142.8568110499573,
2021-11-30 12:00:00,101.65438984804916,
2021-11-30 13:30:00,98.52459269447547,
2021-11-30 15:00:00,100.81032858024469,
2021-11-30 15:30:30,100.81032858024469,m
2021-11-30 23:59:59,93.52200113937022,c
2021-12-01 00:00:00,97.45232341584222,
2021-12-01 10:00:00,84.09889422718095,
2021-12-01 10:30:00,77.89354915139165,
2021-12-01 12:00:00,55.87682379057128,
2021-12-01 13:30:00,30.709767227887255,
2021-12-01 15:00:00,27.516364079038226,
2021-12-01 15:30:30,27.516364079038226,
2021-12-01 23:59:59,17.20305950581644,c
2021-12-02 00:00:00,22.436036747271373,
2021-12-02 10:00:00,39.01286458457537,
2021-12-02 10:30:00,28.602538354550802,
2021-12-02 12:00:00,19.625972238691702,
2021-12-02 13:30:00,21.704333676550164,
2021-12-02 15:00:00,31.573346543909565,
2021-12-02 15:30:30,31.573346543909565,
2021-12-02 23:59:59,35.047647047277906,c
2021-12-03 00:00:00,48.63774242894465,
2021-12-03 10:00:00,2.0143690691635356,
2021-12-03 10:30:00,-1.9861813108698243,
2021-12-03 12:00:00,-28.24908317259758,
2021-12-03 13:30:00,-5.261679899522278,
2021-12-03 15:00:00,-7.049173360358964,
2021-12-03 15:30:30,-7.049173360358964,s
2021-12-03 23:59:59,0.0,a
2021-12-06 00:00:00,-24.502534140525086,
2021-12-06 10:00:00,-25.3781912237107,
2021-12-06 10:30:00,6.54342438306378,
2021-12-06 12:00:00,4.475984791009523,
2021-12-06 13:30:00,15.58411330971228,
