date,SIL_2021_Q4,meta
2021-10-04 00:00:00,-133.25015877324827,
2021-10-04 10:00:00,-173.0250776302303,
2021-10-04 10:30:00,-176.53719175338475,
2021-10-04 12:00:00,-176.01505381755098,
2021-10-04 13:30:00,-171.82166138466803,
2021-10-04 15:00:00,-199.93846595729914,
2021-10-04 15:30:30,-199.93846595729914,
2021-10-04 23:59:59,-201.37306802188297,c
2021-10-05 00:00:00,-209.84399370156436,
2021-10-05 10:00:00,-215.10549850223148,
2021-10-05 10:30:00,-228.53279565863866,
2021-10-05 12:00:00,-232.85240000775852,
2021-10-05 13:30:00,-236.20374493326923,
2021-10-05 15:00:00,-203.6665985350937,
2021-10-05 15:30:30,-203.6665985350937,
2021-10-05 23:59:59,-184.38132470436946,c
2021-10-06 00:00:00,-187.22844688333115,
2021-10-06 10:00:00,-195.98774684874112,
2021-10-06 10:30:00,-197.9364375745907,
2021-10-06 12:00:00,-193.55806052647935,
2021-10-06 13:30:00,-196.26867168875563,
2021-10-06 15:00:00,-177.0676251597723,
2021-10-06 15:30:30,-177.0676251597723,
2021-10-06 23:59:59,-199.87778861256592,c
2021-10-07 00:00:00,-188.22600843933603,
2021-10-07 10:00:00,-145.42151367567251,
2021-10-07 10:30:00,-139.85799706555886,
2021-10-07 12:00:00,-131.67884091381077,
2021-10-07 13:30:00,-152.2200799668676,
2021-10-07 15:00:00,-170.34758256172435,
2021-10-07 15:30:30,-170.34758256172435,
2021-10-07 23:59:59,-198.42939426528008,c
2021-10-08 00:00:00,-167.63170544615056,
2021-10-08 10:00:00,-174.51173068436648,
2021-10-08 10:30:00,-174.3271003681439,
2021-10-08 12:00:00,-197.1065197642736,
2021-10-08 13:30:00,-204.6683115320536,
2021-10-08 15:00:00,-211.68571816414996,
2021-10-08 15:30:30,-211.68571816414996,
2021-10-08 23:59:59,-207.23621233062303,w
2021-10-11 00:00:00,-216.73222342682058,
2021-10-11 10:00:00,-190.73445446593834,
2021-10-11 10:30:00,-207.11782604468468,
2021-10-11 12:00:00,-176.79926043594477,
2021-10-11 13:30:00,-166.04650852870932,
2021-10-11 15:00:00,-188.85324741579004,
2021-10-11 15:30:30,-188.85324741579004,
2021-10-11 23:59:59,-186.37817600647722,c
2021-10-12 00:00:00,-222.43413520644893,
2021-10-12 10:00:00,-183.61061821684174,
2021-10-12 10:30:00,-203.31995595400625,
2021-10-12 12:00:00,-222.1916697492047,
2021-10-12 13:30:00,-186.34019356679224,
2021-10-12 15:00:00,-168.49876401104362,
2021-10-12 15:30:30,-168.49876401104362,
2021-10-12 23:59:59,-158.09646748051065,c
2021-10-13 00:00:00,-170.67077221202558,
2021-10-13 10:00:00,-149.4605127099076,
2021-10-13 10:30:00,-117.98686266433,
2021-10-13 12:00:00,-64.96481864813612,
2021-10-13 13:30:00,-88.12791442521521,
2021-10-13 15:00:00,-97.98574747348633,
2021-10-13 15:30:30,-97.98574747348633,
2021-10-13 23:59:59,-103.94118987039164,c
2021-10-14 00:00:00,-101.68168578598542,
2021-10-14 10:00:00,-177.08232508470948,
2021-10-14 10:30:00,-171.64701609579632,
2021-10-14 12:00:00,-209.1484314468361,
2021-10-14 13:30:00,-207.2758629309324,
2021-10-14 15:00:00,-193.25432477865357,
2021-10-14 15:30:30,-193.25432477865357,
2021-10-14 23:59:59,-192.99995205276585,c
2021-10-15 00:00:00,-192.90037032456715,
2021-10-15 10:00:00,-200.3251791230089,
2021-10-15 10:30:00,-197.03368006310538,
2021-10-15 12:00:00,-194.89614966835032,
2021-10-15 13:30:00,-195.0641987192918,
2021-10-15 15:00:00,-188.53960304727482,
2021-10-15 15:30:30,-188.53960304727482,s
2021-10-15 23:59:59,-187.64893540342936,w
2021-10-18 00:00:00,-195.06673764147527,
2021-10-18 10:00:00,-193.22353973239754,
2021-10-18 10:30:00,-184.06131800812003,
2021-10-18 12:00:00,-209.93867927824473,
2021-10-18 13:30:00,-233.55861293671464,
2021-10-18 15:00:00,-250.74435551799823,
2021-10-18 15:30:30,-250.74435551799823,
2021-10-18 23:59:59,-255.22067754875442,c
2021-10-19 00:00:00,-207.50949177238155,
2021-10-19 10:00:00,-210.71651027703254,
2021-10-19 10:30:00,-211.9533109448436,
2021-10-19 12:00:00,-215.00500942071935,
2021-10-19 13:30:00,-225.83018157112892,
2021-10-19 15:00:00,-233.60010573443228,
2021-10-19 15:30:30,-233.60010573443228,
2021-10-19 23:59:59,-221.5727042940047,c
2021-10-20 00:00:00,-221.5012062729405,
2021-10-20 10:00:00,-160.878312687842,
2021-10-20 10:30:00,-124.67377619951222,
2021-10-20 12:00:00,-67.94706367318324,
2021-10-20 13:30:00,-96.98565489055531,
