date,FVD_2021_Apr,meta
2021-04-12 00:00:00,82.13853608561607,
2021-04-12 10:00:00,77.44364517337968,
2021-04-12 10:30:00,82.98205610358826,
2021-04-12 12:00:00,82.59929798340518,
2021-04-12 13:30:00,85.45379586391226,
2021-04-12 15:00:00,80.65414410030422,
2021-04-12 15:30:30,80.65414410030422,
2021-04-12 23:59:59,81.16633039771348,c
2021-04-13 00:00:00,89.58462437895284,
2021-04-13 10:00:00,93.46780175880892,
2021-04-13 10:30:00,85.0888370781295,
2021-04-13 12:00:00,58.75827105703911,
2021-04-13 13:30:00,54.19908034010099,
2021-04-13 15:00:00,58.28833546062223,
2021-04-13 15:30:30,58.28833546062223,
2021-04-13 23:59:59,57.004278518248576,c
2021-04-14 00:00:00,57.24498447169037,
2021-04-14 10:00:00,49.81276567065155,
2021-04-14 10:30:00,45.79987617315986,
2021-04-14 12:00:00,45.66556348605593,
2021-04-14 13:30:00,40.12680644747767,
2021-04-14 15:00:00,37.34769594830685,
2021-04-14 15:30:30,37.34769594830685,
2021-04-14 23:59:59,38.45874084569827,c
2021-04-15 00:00:00,37.18632730375038,
2021-04-15 10:00:00,51.1892621100337,
2021-04-15 10:30:00,46.942543190450586,
2021-04-15 12:00:00,59.453217542998225,
2021-04-15 13:30:00,57.5336692325716,
2021-04-15 15:00:00,53.63996857234547,
2021-04-15 15:30:30,53.63996857234547,
2021-04-15 23:59:59,49.04185758310437,c
2021-04-16 00:00:00,7.3595430012888485,
2021-04-16 10:00:00,-11.48730448108818,
2021-04-16 10:30:00,-1.1379980581298241,
2021-04-16 12:00:00,-3.038807870823341,
2021-04-16 13:30:00,-6.445416763606978,
2021-04-16 15:00:00,-10.264996891754855,
2021-04-16 15:30:30,-10.264996891754855,
2021-04-16 23:59:59,1.5617981558186216,w
2021-04-19 00:00:00,-0.77639724291231,
2021-04-19 10:00:00,-7.446294530379284,
2021-04-19 10:30:00,-14.94974102641229,
2021-04-19 12:00:00,-12.578848527300472,
2021-04-19 13:30:00,-9.503703309986356,
2021-04-19 15:00:00,-13.369159601026446,
2021-04-19 15:30:30,-13.369159601026446,
2021-04-19 23:59:59,-11.361989943176134,c
2021-04-20 00:00:00,-19.210980618184003,
2021-04-20 10:00:00,-25.152813070027527,
2021-04-20 10:30:00,-21.082650420325287,
2021-04-20 12:00:00,-21.947101041996795,
