date,AS_MSCI_EM_REST_SC_2022_Q4,meta
2022-10-20 20:00:00,378.19288573446664,
2022-10-20 23:00:00,336.93550505196987,
2022-10-20 23:59:59,352.4996868177795,c
2022-10-21 00:00:00,367.45566200388856,
2022-10-21 01:00:00,367.32241836144516,
2022-10-21 02:30:00,367.32241836144516,
2022-10-21 03:00:00,371.1205261972655,
2022-10-21 18:30:00,371.1205261972655,
2022-10-21 20:00:00,371.1205261972655,
2022-10-21 23:00:00,371.1205261972655,
2022-10-21 23:59:59,354.3300473719867,w
2022-10-24 00:00:00,396.16406332879154,
2022-10-24 01:00:00,398.89025456521625,
2022-10-24 02:30:00,398.89025456521625,
2022-10-24 03:00:00,381.33622727505036,
2022-10-24 18:30:00,381.33622727505036,
2022-10-24 20:00:00,381.33622727505036,
2022-10-24 23:00:00,312.3370143031171,
2022-10-24 23:59:59,270.81043167434024,c
2022-10-25 00:00:00,282.07107622185214,
2022-10-25 01:00:00,278.4794168779587,
2022-10-25 02:30:00,278.4794168779587,
2022-10-25 03:00:00,269.7737254690848,
2022-10-25 18:30:00,269.7737254690848,
2022-10-25 20:00:00,269.7737254690848,
2022-10-25 23:00:00,262.64161343244206,
2022-10-25 23:59:59,267.59658648505973,c
2022-10-26 00:00:00,274.36503227654345,
2022-10-26 01:00:00,295.77171076008636,
2022-10-26 02:30:00,295.77171076008636,
2022-10-26 03:00:00,284.63958492436205,
2022-10-26 18:30:00,284.63958492436205,
2022-10-26 20:00:00,284.63958492436205,
2022-10-26 23:00:00,281.3778086633177,
2022-10-26 23:59:59,282.4579819515108,c
2022-10-27 00:00:00,275.1417283768996,
2022-10-27 01:00:00,260.5555475791114,
2022-10-27 02:30:00,260.5555475791114,
2022-10-27 03:00:00,247.71608247189664,
2022-10-27 18:30:00,247.71608247189664,
2022-10-27 20:00:00,247.71608247189664,
2022-10-27 23:00:00,228.41303644271744,
2022-10-27 23:59:59,221.97637109305634,c
2022-10-28 00:00:00,224.6844879162539,
2022-10-28 01:00:00,239.22917999657312,
2022-10-28 02:30:00,239.22917999657312,
2022-10-28 03:00:00,240.92112892845438,
2022-10-28 18:30:00,240.92112892845438,
2022-10-28 20:00:00,240.92112892845438,
2022-10-28 23:00:00,240.92112892845438,
2022-10-28 23:59:59,229.26231893619962,w
2022-10-31 00:00:00,180.25375806438456,
2022-10-31 01:00:00,192.34894031236234,
2022-10-31 02:30:00,192.34894031236234,
2022-10-31 03:00:00,200.25069934374307,
2022-10-31 18:30:00,200.25069934374307,
2022-10-31 20:00:00,200.25069934374307,
2022-10-31 23:00:00,143.779134685209,
2022-10-31 23:59:59,142.78605329145046,c
2022-11-01 00:00:00,132.73497364133618,
