date,VYM_HEDGED_2021_Q1,meta
2021-01-29 00:00:00,188.52767993454404,
2021-01-29 10:00:00,186.38242018054257,
2021-01-29 10:30:00,185.5345309381844,
2021-01-29 12:00:00,167.37193734683296,
2021-01-29 13:30:00,156.39665519039,
2021-01-29 15:00:00,149.68448450705137,
2021-01-29 15:30:30,149.68448450705137,
2021-01-29 23:59:59,149.83421407193669,w
2021-02-01 00:00:00,171.11888989151748,
2021-02-01 10:00:00,143.68644705735596,
2021-02-01 10:30:00,137.1325811230729,
2021-02-01 12:00:00,145.90528056599965,
2021-02-01 13:30:00,151.7093115390503,
2021-02-01 15:00:00,162.5051217048374,
2021-02-01 15:30:30,162.5051217048374,
2021-02-01 23:59:59,163.87929238628635,c
2021-02-02 00:00:00,162.44051428582338,
2021-02-02 10:00:00,192.64431971952786,
2021-02-02 10:30:00,188.2342978322074,
2021-02-02 12:00:00,185.23799219058924,
2021-02-02 13:30:00,192.77630752985488,
2021-02-02 15:00:00,181.61657559559808,
2021-02-02 15:30:30,181.61657559559808,
2021-02-02 23:59:59,164.1727328702391,c
2021-02-03 00:00:00,160.60178182324034,
2021-02-03 10:00:00,171.79655903227172,
2021-02-03 10:30:00,155.83913058086023,
2021-02-03 12:00:00,181.89998634586573,
2021-02-03 13:30:00,182.6634434941052,
2021-02-03 15:00:00,179.6393769737458,
2021-02-03 15:30:30,179.6393769737458,
2021-02-03 23:59:59,188.48843316158536,c
2021-02-04 00:00:00,188.56513991444717,
2021-02-04 10:00:00,189.4905161007996,
2021-02-04 10:30:00,190.87166162106337,
2021-02-04 12:00:00,216.45505696449845,
2021-02-04 13:30:00,211.0485479247145,
2021-02-04 15:00:00,212.08277492273783,
2021-02-04 15:30:30,212.08277492273783,
2021-02-04 23:59:59,207.8256295692504,c
2021-02-05 00:00:00,179.36048645809524,
2021-02-05 10:00:00,195.6552829350319,
2021-02-05 10:30:00,185.80803341991168,
2021-02-05 12:00:00,194.94993828599058,
2021-02-05 13:30:00,201.8127434241096,
2021-02-05 15:00:00,194.90312102796997,
2021-02-05 15:30:30,194.90312102796997,
2021-02-05 23:59:59,193.9619457758456,w
2021-02-08 00:00:00,197.0443551452929,
2021-02-08 10:00:00,171.8656674811009,
2021-02-08 10:30:00,171.41966800196724,
2021-02-08 12:00:00,176.33054228017136,
2021-02-08 13:30:00,171.3256560992429,
2021-02-08 15:00:00,180.6969811666704,
2021-02-08 15:30:30,180.6969811666704,
2021-02-08 23:59:59,185.14977207650327,c
2021-02-09 00:00:00,192.7939053395935,
2021-02-09 10:00:00,183.20180192620683,
2021-02-09 10:30:00,176.69000373707104,
2021-02-09 12:00:00,174.9498542473093,
2021-02-09 13:30:00,178.61716955780093,
2021-02-09 15:00:00,177.4411311398169,
2021-02-09 15:30:30,177.4411311398169,
2021-02-09 23:59:59,169.58711520739735,c
2021-02-10 00:00:00,178.6620874603475,
2021-02-10 10:00:00,190.65398884269143,
2021-02-10 10:30:00,201.11909717670164,
2021-02-10 12:00:00,207.4134567171352,
2021-02-10 13:30:00,201.61982408053314,
2021-02-10 15:00:00,201.75995180121777,
2021-02-10 15:30:30,201.75995180121777,
2021-02-10 23:59:59,203.20549376698295,c
2021-02-11 00:00:00,200.3032326404766,
2021-02-11 10:00:00,210.54933136919317,
2021-02-11 10:30:00,222.30574273246953,
2021-02-11 12:00:00,199.0068279717716,
2021-02-11 13:30:00,178.85640458780722,
2021-02-11 15:00:00,177.35307962304114,
2021-02-11 15:30:30,177.35307962304114,
2021-02-11 23:59:59,183.27328957052168,c
2021-02-12 00:00:00,187.62930454165075,
2021-02-12 10:00:00,178.63915000136103,
2021-02-12 10:30:00,174.21579620731654,
2021-02-12 12:00:00,180.8299751014397,
2021-02-12 13:30:00,172.35084621630563,
2021-02-12 15:00:00,164.9443521834503,
2021-02-12 15:30:30,164.9443521834503,
2021-02-12 23:59:59,168.27219807499273,w
2021-02-15 00:00:00,168.27219807499273,
2021-02-15 10:00:00,168.27219807499273,
2021-02-15 10:30:00,168.27219807499273,
2021-02-15 12:00:00,168.27219807499273,
2021-02-15 13:30:00,168.27219807499273,
2021-02-15 15:00:00,168.27219807499273,
2021-02-15 15:30:30,168.27219807499273,
2021-02-15 23:59:59,168.27219807499273,c
2021-02-16 00:00:00,169.22948005142825,
2021-02-16 10:00:00,147.63138069713227,
2021-02-16 10:30:00,141.76651678878102,
2021-02-16 12:00:00,135.6072856409496,
2021-02-16 13:30:00,151.02988057762786,
2021-02-16 15:00:00,146.55277729984346,
2021-02-16 15:30:30,146.55277729984346,
2021-02-16 23:59:59,137.6760202977989,c
2021-02-17 00:00:00,143.1678920360373,
2021-02-17 10:00:00,153.11698926943905,
2021-02-17 10:30:00,159.62474284269774,
2021-02-17 12:00:00,163.9552746681136,
2021-02-17 13:30:00,161.6800190750937,
2021-02-17 15:00:00,167.0417190438011,
2021-02-17 15:30:30,167.0417190438011,
2021-02-17 23:59:59,167.00722292190358,c
2021-02-18 00:00:00,166.2716322415513,
2021-02-18 10:00:00,191.7409697561293,
2021-02-18 10:30:00,204.02993681631028,
2021-02-18 12:00:00,210.2009766958322,
2021-02-18 13:30:00,195.46275076341112,
2021-02-18 15:00:00,195.61747143735397,
2021-02-18 15:30:30,195.61747143735397,
2021-02-18 23:59:59,197.37094553613906,c
2021-02-19 00:00:00,209.43119583272846,
2021-02-19 10:00:00,204.33916957815154,
2021-02-19 10:30:00,182.70636507447284,
2021-02-19 12:00:00,189.3167400929176,
2021-02-19 13:30:00,182.88719974366768,
