date,AS_MSCI_EM_STAY_2021_Q4,meta
2021-09-30 00:00:00,-193.1055415597557,
2021-09-30 01:00:00,-203.80524357966533,
2021-09-30 02:30:00,-203.80524357966533,
2021-09-30 03:00:00,-203.80524357966533,
2021-09-30 18:30:00,-203.80524357966533,
2021-09-30 20:00:00,-203.80524357966533,
2021-09-30 23:00:00,-142.59404596358308,
2021-09-30 23:59:59,-140.34811330658704,c
2021-10-01 00:00:00,-135.34404449003114,
2021-10-01 01:00:00,-126.48824666950804,
2021-10-01 02:30:00,-126.48824666950804,
2021-10-01 03:00:00,-126.48824666950804,
2021-10-01 18:30:00,-126.48824666950804,
2021-10-01 20:00:00,-126.48824666950804,
2021-10-01 23:00:00,-126.48824666950804,
2021-10-01 23:59:59,-139.1725128994858,w
2021-10-04 00:00:00,-111.32293972527577,
2021-10-04 01:00:00,-119.97982955022508,
2021-10-04 02:30:00,-119.97982955022508,
2021-10-04 03:00:00,-119.97982955022508,
2021-10-04 18:30:00,-119.97982955022508,
2021-10-04 20:00:00,-119.97982955022508,
2021-10-04 23:00:00,-150.33611581405603,
2021-10-04 23:59:59,-146.81564747010225,c
2021-10-05 00:00:00,-126.18062517401358,
2021-10-05 01:00:00,-115.45064537106782,
2021-10-05 02:30:00,-115.45064537106782,
2021-10-05 03:00:00,-115.45064537106782,
2021-10-05 18:30:00,-115.45064537106782,
2021-10-05 20:00:00,-115.45064537106782,
2021-10-05 23:00:00,-108.99160613917184,
2021-10-05 23:59:59,-109.69030242473445,c
2021-10-06 00:00:00,-121.93909954313631,
2021-10-06 01:00:00,-116.50184447326592,
2021-10-06 02:30:00,-116.50184447326592,
2021-10-06 03:00:00,-116.50184447326592,
2021-10-06 18:30:00,-116.50184447326592,
2021-10-06 20:00:00,-116.50184447326592,
2021-10-06 23:00:00,-169.1647579712876,
2021-10-06 23:59:59,-168.39569282222146,c
2021-10-07 00:00:00,-184.63196142611105,
2021-10-07 01:00:00,-181.37299356099265,
2021-10-07 02:30:00,-181.37299356099265,
2021-10-07 03:00:00,-181.37299356099265,
2021-10-07 18:30:00,-181.37299356099265,
2021-10-07 20:00:00,-181.37299356099265,
2021-10-07 23:00:00,-177.36889980445267,
2021-10-07 23:59:59,-162.20968288553422,c
2021-10-08 00:00:00,-167.28271840102843,
2021-10-08 01:00:00,-160.87770436680148,
2021-10-08 02:30:00,-160.87770436680148,
2021-10-08 03:00:00,-160.87770436680148,
2021-10-08 18:30:00,-160.87770436680148,
2021-10-08 20:00:00,-160.87770436680148,
2021-10-08 23:00:00,-160.87770436680148,
2021-10-08 23:59:59,-174.5625714359021,w
2021-10-11 00:00:00,-174.5625714359021,
2021-10-11 01:00:00,-174.5625714359021,
2021-10-11 02:30:00,-174.5625714359021,
2021-10-11 03:00:00,-174.5625714359021,
2021-10-11 18:30:00,-174.5625714359021,
2021-10-11 20:00:00,-174.5625714359021,
2021-10-11 23:00:00,-152.2630867759117,
2021-10-11 23:59:59,-152.2630867759117,c
2021-10-12 00:00:00,-125.79366841144247,
2021-10-12 01:00:00,-132.49624070650407,
2021-10-12 02:30:00,-132.49624070650407,
2021-10-12 03:00:00,-132.49624070650407,
2021-10-12 18:30:00,-132.49624070650407,
2021-10-12 20:00:00,-132.49624070650407,
2021-10-12 23:00:00,-118.42194595459932,
2021-10-12 23:59:59,-131.06798749293966,c
2021-10-13 00:00:00,-133.90694739375886,
2021-10-13 01:00:00,-137.6399041668742,
2021-10-13 02:30:00,-137.6399041668742,
2021-10-13 03:00:00,-137.6399041668742,
2021-10-13 18:30:00,-137.6399041668742,
2021-10-13 20:00:00,-137.6399041668742,
2021-10-13 23:00:00,-102.4027736311723,
2021-10-13 23:59:59,-113.88217371841074,c
2021-10-14 00:00:00,-127.96297235053362,
2021-10-14 01:00:00,-120.96856236068652,
