date,EU_BATT_2022_Q2,meta
2022-05-19 08:00:00,80.91261181749906,
2022-05-19 10:30:00,117.96257027059892,
2022-05-19 11:00:00,134.8207999393885,
2022-05-19 23:59:59,121.42802460083612,c
2022-05-20 00:00:00,159.2066671280295,
2022-05-20 03:30:00,220.0162427611226,
2022-05-20 04:00:00,229.75174857539378,
2022-05-20 06:00:00,280.7012840559405,
2022-05-20 08:00:00,232.69137620816673,
2022-05-20 10:30:00,145.0972782711142,
2022-05-20 11:00:00,103.26345917353547,
2022-05-20 23:59:59,107.36646225974982,e
2022-05-23 00:00:00,163.94853688553758,
2022-05-23 03:30:00,141.2161377421262,
2022-05-23 04:00:00,130.87684733890956,
2022-05-23 06:00:00,122.85002650583874,
2022-05-23 08:00:00,198.42845632884473,
2022-05-23 10:30:00,193.52291007207305,
2022-05-23 11:00:00,174.35199271294186,
2022-05-23 23:59:59,151.9209861315776,c
2022-05-24 00:00:00,123.49155836595264,
2022-05-24 03:30:00,149.07988842128088,
2022-05-24 04:00:00,169.7742031968255,
2022-05-24 06:00:00,203.81297583659307,
2022-05-24 08:00:00,201.12596722505168,
2022-05-24 10:30:00,199.88688790818924,
2022-05-24 11:00:00,181.16971949405252,
2022-05-24 23:59:59,150.81208240021397,c
2022-05-25 00:00:00,183.1907079103653,
2022-05-25 03:30:00,145.21231176730134,
2022-05-25 04:00:00,134.74594685695,
2022-05-25 06:00:00,123.90798310017317,
2022-05-25 08:00:00,127.82931009411686,
2022-05-25 10:30:00,161.53498759970762,
2022-05-25 11:00:00,158.47744940495204,
2022-05-25 23:59:59,155.30080706436956,c
2022-05-26 00:00:00,149.91473946067617,
2022-05-26 03:30:00,141.61534666877242,
2022-05-26 04:00:00,136.2051080201809,
2022-05-26 06:00:00,122.88074693532326,
2022-05-26 08:00:00,146.0023044624827,
2022-05-26 10:30:00,236.12857347868385,
2022-05-26 11:00:00,228.38041489334773,
2022-05-26 23:59:59,228.41987907430712,c
2022-05-27 00:00:00,243.275321028676,
2022-05-27 03:30:00,192.70341289422004,
2022-05-27 04:00:00,206.09401862521236,
2022-05-27 06:00:00,213.13600632766702,
2022-05-27 08:00:00,191.4021509996469,
2022-05-27 10:30:00,214.9941183891233,
2022-05-27 11:00:00,182.9847790121471,
2022-05-27 23:59:59,216.62290408613535,w
2022-05-30 00:00:00,230.23889715420637,
2022-05-30 03:30:00,216.1210214184798,
2022-05-30 04:00:00,261.41091051636386,
2022-05-30 06:00:00,250.69909276181443,
2022-05-30 08:00:00,275.51708170815937,
2022-05-30 10:30:00,222.60594768720603,
2022-05-30 11:00:00,240.1736829987599,
2022-05-30 23:59:59,226.81157909315652,c
2022-05-31 00:00:00,224.88420266529283,
2022-05-31 03:30:00,214.1067273561698,
2022-05-31 04:00:00,259.32852008066857,
2022-05-31 06:00:00,250.22792367725106,
2022-05-31 08:00:00,245.94509543785853,
2022-05-31 10:30:00,255.9613992547106,
2022-05-31 11:00:00,272.783263001902,
2022-05-31 23:59:59,300.16861444649885,c
2022-06-01 00:00:00,358.4460502530492,
2022-06-01 03:30:00,372.2964557824848,
2022-06-01 04:00:00,382.758064692257,
2022-06-01 06:00:00,406.5126114318118,
2022-06-01 08:00:00,421.37113775557964,
2022-06-01 10:30:00,392.8392010574039,
2022-06-01 11:00:00,441.36935510011153,
2022-06-01 23:59:59,402.85862518312206,c
2022-06-02 00:00:00,398.6750488554094,
2022-06-02 03:30:00,433.46947966898915,
2022-06-02 04:00:00,431.93034451310587,
2022-06-02 06:00:00,437.54689039375126,
2022-06-02 08:00:00,466.0733627121431,
2022-06-02 10:30:00,449.3573893992575,
2022-06-02 11:00:00,458.97990586062997,
2022-06-02 23:59:59,445.42085484146673,c
2022-06-03 00:00:00,488.93803512294744,
2022-06-03 03:30:00,451.5759854746011,
2022-06-03 04:00:00,414.60019204803757,
2022-06-03 06:00:00,423.94586471584444,
2022-06-03 08:00:00,399.2117405039953,
2022-06-03 10:30:00,383.41329975548433,
2022-06-03 11:00:00,369.9732512404926,
2022-06-03 23:59:59,361.8556126378908,w
