date,MSCI_US_AD_HEDGED_2020_Q4,meta
2020-10-27 00:00:00,-281.1528221438385,
2020-10-27 10:00:00,-284.6255081719871,
2020-10-27 10:30:00,-267.71333934815294,
2020-10-27 12:00:00,-298.6243050169565,
2020-10-27 13:30:00,-316.6422116179948,
2020-10-27 15:00:00,-308.6802380614478,
2020-10-27 15:30:30,-308.6802380614478,
2020-10-27 23:59:59,-316.1692977086848,c
2020-10-28 00:00:00,-317.73603748236195,
2020-10-28 10:00:00,-244.08952965563768,
2020-10-28 10:30:00,-265.34195092793874,
2020-10-28 12:00:00,-239.06291997168043,
2020-10-28 13:30:00,-226.54482800988058,
2020-10-28 15:00:00,-248.03003436625715,
2020-10-28 15:30:30,-248.03003436625715,
2020-10-28 23:59:59,-238.96092570613519,c
2020-10-29 00:00:00,-250.881020329377,
2020-10-29 10:00:00,-229.18671313656034,
2020-10-29 10:30:00,-244.19929668537907,
2020-10-29 12:00:00,-268.0862186624762,
2020-10-29 13:30:00,-270.5302623739652,
2020-10-29 15:00:00,-274.6679488850407,
2020-10-29 15:30:30,-274.6679488850407,
2020-10-29 23:59:59,-289.1625467047191,c
2020-10-30 00:00:00,-291.0000376335975,
2020-10-30 10:00:00,-276.32174000365217,
2020-10-30 10:30:00,-275.9095806912524,
2020-10-30 12:00:00,-278.0922573645182,
2020-10-30 13:30:00,-257.37740937921563,
2020-10-30 15:00:00,-270.7187445020114,
2020-10-30 15:30:30,-270.7187445020114,
2020-10-30 23:59:59,-274.849717553368,w
2020-11-02 00:00:00,-222.02994904859716,
2020-11-02 10:00:00,-270.0619891079115,
2020-11-02 10:30:00,-296.1148712364636,
2020-11-02 12:00:00,-301.91783939470713,
2020-11-02 13:30:00,-266.3722833373129,
2020-11-02 15:00:00,-262.8940455081978,
2020-11-02 15:30:30,-262.8940455081978,
2020-11-02 23:59:59,-275.4446766875137,c
2020-11-03 00:00:00,-280.6531818909667,
2020-11-03 10:00:00,-274.84550829704244,
2020-11-03 10:30:00,-286.13013981019026,
2020-11-03 12:00:00,-260.38817180124124,
2020-11-03 13:30:00,-243.18448571349418,
2020-11-03 15:00:00,-234.47152927975927,
2020-11-03 15:30:30,-234.47152927975927,
2020-11-03 23:59:59,-240.24844852998748,c
2020-11-04 00:00:00,-263.6184055537559,
2020-11-04 10:00:00,-249.59956487815097,
2020-11-04 10:30:00,-249.08026659044947,
2020-11-04 12:00:00,-222.82061955990056,
2020-11-04 13:30:00,-242.49679630343613,
2020-11-04 15:00:00,-246.92295753522592,
2020-11-04 15:30:30,-246.92295753522592,
2020-11-04 23:59:59,-252.53735176920458,c
2020-11-05 00:00:00,-215.26635210124604,
2020-11-05 10:00:00,-228.0974468224934,
2020-11-05 10:30:00,-225.71609507307048,
2020-11-05 12:00:00,-200.2530847879246,
2020-11-05 13:30:00,-189.7888873839383,
2020-11-05 15:00:00,-170.00002248042517,
2020-11-05 15:30:30,-170.00002248042517,
2020-11-05 23:59:59,-173.23094630880462,c
2020-11-06 00:00:00,-3.0081151644112367,
2020-11-06 10:00:00,80.01434289070684,
2020-11-06 10:30:00,105.51466559294508,
2020-11-06 12:00:00,117.690868270062,
2020-11-06 13:30:00,72.85375547490182,
2020-11-06 15:00:00,60.32319044855558,
2020-11-06 15:30:30,60.32319044855558,
2020-11-06 23:59:59,16.040686235960266,w
2020-11-09 00:00:00,115.01907080814695,
2020-11-09 10:00:00,52.84116081121334,
2020-11-09 10:30:00,-25.13683256663822,
2020-11-09 12:00:00,-57.58780390005188,
2020-11-09 13:30:00,-32.45688444470986,
2020-11-09 15:00:00,-12.747880590081024,
2020-11-09 15:30:30,-12.747880590081024,x
2020-11-09 23:59:59,37.412542587056805,c
2020-11-10 00:00:00,-24.07390695632455,
2020-11-10 10:00:00,46.768160007602205,
2020-11-10 10:30:00,-7.952785987026061,
2020-11-10 12:00:00,-2.4433662056459013,
2020-11-10 13:30:00,-6.0713613829386475,
2020-11-10 15:00:00,-12.199462983266073,
2020-11-10 15:30:30,-12.199462983266073,
2020-11-10 23:59:59,0.0,a
2020-11-11 00:00:00,47.57154244928813,
2020-11-11 10:00:00,63.578503839538115,
2020-11-11 10:30:00,61.42489946310957,
