date,AS_HSI_2022_Q3,meta
2022-07-22 00:00:00,56.87805321598185,
2022-07-22 01:00:00,56.87805321598185,
2022-07-22 02:30:00,38.80059141775564,
2022-07-22 03:00:00,37.36846574980987,
2022-07-22 18:30:00,37.36846574980987,
2022-07-22 20:00:00,37.36846574980987,
2022-07-22 23:00:00,37.36846574980987,
2022-07-22 23:59:59,18.703283396601705,w
2022-07-25 00:00:00,-52.9618826644921,
2022-07-25 01:00:00,-52.9618826644921,
2022-07-25 02:30:00,-21.816294935706964,
2022-07-25 03:00:00,-16.809012715012628,
2022-07-25 18:30:00,-16.809012715012628,
2022-07-25 20:00:00,-16.809012715012628,
2022-07-25 23:00:00,-0.699624728775305,
2022-07-25 23:59:59,33.06737380483463,c
2022-07-26 00:00:00,42.0052198043918,
2022-07-26 01:00:00,42.0052198043918,
2022-07-26 02:30:00,29.222887889100093,
2022-07-26 03:00:00,24.98762915985907,
2022-07-26 18:30:00,24.98762915985907,
2022-07-26 20:00:00,24.98762915985907,
2022-07-26 23:00:00,5.418282787266975,
2022-07-26 23:59:59,0.2050273056665901,c
2022-07-27 00:00:00,-18.52891488177019,
2022-07-27 01:00:00,-18.52891488177019,
2022-07-27 02:30:00,-28.566988265083907,
2022-07-27 03:00:00,-36.99020336545752,
2022-07-27 18:30:00,-36.99020336545752,
2022-07-27 20:00:00,-36.99020336545752,
2022-07-27 23:00:00,-0.9023704824146535,
2022-07-27 23:59:59,-1.0593352501774405,c
2022-07-28 00:00:00,15.651320799683788,
2022-07-28 01:00:00,15.651320799683788,
2022-07-28 02:30:00,15.10731560787272,
2022-07-28 03:00:00,16.807454322974323,
2022-07-28 18:30:00,16.807454322974323,
2022-07-28 20:00:00,16.807454322974323,
2022-07-28 23:00:00,-95.23518668346998,
2022-07-28 23:59:59,-100.65501157976226,c
2022-07-29 00:00:00,-90.31725655224506,
2022-07-29 01:00:00,-90.31725655224506,
2022-07-29 02:30:00,-117.11157322392002,
2022-07-29 03:00:00,-130.88262715643185,
2022-07-29 18:30:00,-130.88262715643185,
2022-07-29 20:00:00,-130.88262715643185,
2022-07-29 23:00:00,-130.88262715643185,
2022-07-29 23:59:59,-133.71307076312547,w
2022-08-01 00:00:00,-90.32187830380543,
2022-08-01 01:00:00,-90.32187830380543,
2022-08-01 02:30:00,-88.10755531341594,
2022-08-01 03:00:00,-100.99910110756294,
2022-08-01 18:30:00,-100.99910110756294,
2022-08-01 20:00:00,-100.99910110756294,
2022-08-01 23:00:00,-114.00857198141154,
2022-08-01 23:59:59,-97.70252754680243,c
2022-08-02 00:00:00,-115.58152496982973,
2022-08-02 01:00:00,-115.58152496982973,
2022-08-02 02:30:00,-92.44741599899223,
2022-08-02 03:00:00,-108.40939280374987,
2022-08-02 18:30:00,-108.40939280374987,
2022-08-02 20:00:00,-108.40939280374987,
2022-08-02 23:00:00,-144.7132912000843,
2022-08-02 23:59:59,-112.56256374456048,c
2022-08-03 00:00:00,-75.90988193346412,
2022-08-03 01:00:00,-75.90988193346412,
