date,MSCI_CAD_2021_Q1,meta
2021-01-05 00:00:00,-1378.0490638026733,
2021-01-05 10:00:00,-1306.2496462503736,
2021-01-05 10:30:00,-1323.046681201227,
2021-01-05 12:00:00,-1342.3912563069987,
2021-01-05 13:30:00,-1337.3020583588786,
2021-01-05 15:00:00,-1377.1399173081315,
2021-01-05 15:30:30,-1377.1399173081315,
2021-01-05 23:59:59,-1350.0965515298867,c
2021-01-06 00:00:00,-1311.059709242421,
2021-01-06 10:00:00,-1284.9341279561997,
2021-01-06 10:30:00,-1232.4232272824497,
2021-01-06 12:00:00,-1231.9071816419516,
2021-01-06 13:30:00,-1254.4869324086178,
2021-01-06 15:00:00,-1296.656474831271,
2021-01-06 15:30:30,-1296.656474831271,
2021-01-06 23:59:59,-1299.6987113869084,c
2021-01-07 00:00:00,-1134.6516318900065,
2021-01-07 10:00:00,-1069.4247953347476,
2021-01-07 10:30:00,-1079.7725988715379,
2021-01-07 12:00:00,-1044.5387833517884,
2021-01-07 13:30:00,-1056.9673921040444,
2021-01-07 15:00:00,-1083.2089022772946,
2021-01-07 15:30:30,-1083.2089022772946,
2021-01-07 23:59:59,-1051.6519605620979,c
2021-01-08 00:00:00,-971.2702572216111,
2021-01-08 10:00:00,-989.5112457037434,
2021-01-08 10:30:00,-997.3076753692009,
2021-01-08 12:00:00,-979.4091223029237,
2021-01-08 13:30:00,-996.7095292892388,
2021-01-08 15:00:00,-987.4388077011114,
2021-01-08 15:30:30,-987.4388077011114,
2021-01-08 23:59:59,-969.986345684541,w
2021-01-11 00:00:00,-1029.5984532588072,
2021-01-11 10:00:00,-956.6216152743556,
2021-01-11 10:30:00,-904.9034214220196,
2021-01-11 12:00:00,-928.4790423423883,
2021-01-11 13:30:00,-934.2204385892753,
2021-01-11 15:00:00,-931.9936757714304,
2021-01-11 15:30:30,-931.9936757714304,
2021-01-11 23:59:59,-942.2436546177756,c
2021-01-12 00:00:00,-766.1104292967268,
2021-01-12 10:00:00,-584.5460210102508,
2021-01-12 10:30:00,-730.7982069043937,
2021-01-12 12:00:00,-578.2126778483255,
2021-01-12 13:30:00,-580.0142395882247,
2021-01-12 15:00:00,-581.1043387472309,
