date,AS_MSCI_EM_HK_MIG_2022_Q3,meta
2022-07-20 20:00:00,-2418.8476837609833,
2022-07-20 23:00:00,-2184.05757162889,
2022-07-20 23:59:59,-2119.8036198176837,c
2022-07-21 00:00:00,-2137.8142463183644,
2022-07-21 01:00:00,-2137.8142463183644,
2022-07-21 02:30:00,-1944.7231619460476,
2022-07-21 03:00:00,-1884.8330769652418,
2022-07-21 18:30:00,-1884.8330769652418,
2022-07-21 20:00:00,-1884.8330769652418,
2022-07-21 23:00:00,-1723.7176754941474,
2022-07-21 23:59:59,-1649.259542431459,c
2022-07-22 00:00:00,-1763.7778404888936,
2022-07-22 01:00:00,-1763.7778404888936,
2022-07-22 02:30:00,-1646.237323425263,
2022-07-22 03:00:00,-1682.6944673324363,
2022-07-22 18:30:00,-1682.6944673324363,
2022-07-22 20:00:00,-1682.6944673324363,
2022-07-22 23:00:00,-1682.6944673324363,
2022-07-22 23:59:59,-1666.237121341073,w
2022-07-25 00:00:00,-2001.5752291181757,
2022-07-25 01:00:00,-2001.5752291181757,
2022-07-25 02:30:00,-1932.2680216664505,
2022-07-25 03:00:00,-1965.215364419312,
2022-07-25 18:30:00,-1965.215364419312,
2022-07-25 20:00:00,-1965.215364419312,
2022-07-25 23:00:00,-2153.3938202284953,
2022-07-25 23:59:59,-2275.6676189118584,c
2022-07-26 00:00:00,-2249.5007124913523,
2022-07-26 01:00:00,-2249.5007124913523,
2022-07-26 02:30:00,-2239.608921673243,
2022-07-26 03:00:00,-2362.037479847597,
2022-07-26 18:30:00,-2362.037479847597,
2022-07-26 20:00:00,-2362.037479847597,
2022-07-26 23:00:00,-2154.3760615293945,
2022-07-26 23:59:59,-1869.5581920711184,c
2022-07-27 00:00:00,-1816.1683839708658,
2022-07-27 01:00:00,-1816.1683839708658,
2022-07-27 02:30:00,-1853.0813945102282,
2022-07-27 03:00:00,-1851.261334927844,
2022-07-27 18:30:00,-1851.261334927844,
2022-07-27 20:00:00,-1851.261334927844,
2022-07-27 23:00:00,-1645.1408073245786,
2022-07-27 23:59:59,-1603.185142661979,c
2022-07-28 00:00:00,-1620.785869803804,
2022-07-28 01:00:00,-1620.785869803804,
2022-07-28 02:30:00,-2019.8050817309584,
2022-07-28 03:00:00,-2038.2168383152662,
2022-07-28 18:30:00,-2038.2168383152662,
2022-07-28 20:00:00,-2038.2168383152662,
2022-07-28 23:00:00,-1668.907903071563,
2022-07-28 23:59:59,-1696.9914207305335,c
2022-07-29 00:00:00,-1705.1305935545224,
2022-07-29 01:00:00,-1705.1305935545224,
2022-07-29 02:30:00,-1791.7529170330463,
2022-07-29 03:00:00,-1743.3312416607555,
2022-07-29 18:30:00,-1743.3312416607555,
2022-07-29 20:00:00,-1743.3312416607555,
2022-07-29 23:00:00,-1743.3312416607555,
2022-07-29 23:59:59,-1675.0864315965555,w
2022-08-01 00:00:00,-910.2025303363289,
2022-08-01 01:00:00,-910.2025303363289,
2022-08-01 02:30:00,-995.6420166521666,
2022-08-01 03:00:00,-1019.0421265892119,
2022-08-01 18:30:00,-1019.0421265892119,
2022-08-01 20:00:00,-1019.0421265892119,
2022-08-01 23:00:00,-1025.0779137848442,
2022-08-01 23:59:59,-1058.1346739610055,c
2022-08-02 00:00:00,-1002.4332832261546,
2022-08-02 01:00:00,-1002.4332832261546,
2022-08-02 02:30:00,-1303.638710785295,
2022-08-02 03:00:00,-1177.7872775246876,
2022-08-02 18:30:00,-1177.7872775246876,
2022-08-02 20:00:00,-1177.7872775246876,
2022-08-02 23:00:00,-790.162561763155,
2022-08-02 23:59:59,-765.1636695779171,c
2022-08-03 00:00:00,-766.0807517394019,
2022-08-03 01:00:00,-766.0807517394019,
2022-08-03 02:30:00,-794.843830422775,
2022-08-03 03:00:00,-762.3120073394477,
2022-08-03 18:30:00,-762.3120073394477,
2022-08-03 20:00:00,-762.3120073394477,
2022-08-03 23:00:00,-733.9843601694856,
2022-08-03 23:59:59,-728.3430419438332,c
2022-08-04 00:00:00,-723.1798794396111,
2022-08-04 01:00:00,-723.1798794396111,
2022-08-04 02:30:00,-661.0335773336107,
2022-08-04 03:00:00,-679.687081263922,
2022-08-04 18:30:00,-679.687081263922,
2022-08-04 20:00:00,-679.687081263922,
2022-08-04 23:00:00,-1002.7737259742078,
2022-08-04 23:59:59,-923.3569621181844,c
2022-08-05 00:00:00,-971.2636793911099,
2022-08-05 01:00:00,-971.2636793911099,
2022-08-05 02:30:00,-1063.493630664291,
2022-08-05 03:00:00,-1008.1498484354424,
2022-08-05 18:30:00,-1008.1498484354424,
2022-08-05 20:00:00,-1008.1498484354424,
2022-08-05 23:00:00,-1008.1498484354424,
2022-08-05 23:59:59,-1090.0629924224136,w
2022-08-08 00:00:00,-828.1827197973716,
2022-08-08 01:00:00,-828.1827197973716,
2022-08-08 02:30:00,-757.8990603283987,
2022-08-08 03:00:00,-746.1782986828991,
2022-08-08 18:30:00,-746.1782986828991,
2022-08-08 20:00:00,-746.1782986828991,
2022-08-08 23:00:00,-568.6955069724638,
2022-08-08 23:59:59,-763.8387842665898,c
2022-08-09 00:00:00,-858.1320553103615,
2022-08-09 01:00:00,-858.1320553103615,
2022-08-09 02:30:00,-751.3223921720873,
2022-08-09 03:00:00,-822.1315421722622,
2022-08-09 18:30:00,-822.1315421722622,
2022-08-09 20:00:00,-822.1315421722622,
2022-08-09 23:00:00,-533.3103503464095,
2022-08-09 23:59:59,-441.57004329346256,c
2022-08-10 00:00:00,-469.8621860335575,
2022-08-10 01:00:00,-469.8621860335575,
2022-08-10 02:30:00,-276.2665565499462,
2022-08-10 03:00:00,-294.31414802290715,
2022-08-10 18:30:00,-294.31414802290715,
2022-08-10 20:00:00,-294.31414802290715,
2022-08-10 23:00:00,-124.49065050908486,
2022-08-10 23:59:59,-158.07846827357554,c
2022-08-11 00:00:00,-201.15455371904744,
2022-08-11 01:00:00,-201.15455371904744,
2022-08-11 02:30:00,-113.36028992160934,
2022-08-11 03:00:00,-113.36588429830084,
2022-08-11 18:30:00,-113.36588429830084,
2022-08-11 20:00:00,-113.36588429830084,
2022-08-11 23:00:00,-78.74255705619615,
2022-08-11 23:59:59,0.0,a
2022-08-12 00:00:00,-12.746440697424532,
2022-08-12 01:00:00,-12.746440697424532,
2022-08-12 02:30:00,-86.61173968170854,
2022-08-12 03:00:00,-119.07266084238216,
2022-08-12 18:30:00,-119.07266084238216,
2022-08-12 20:00:00,-119.07266084238216,
2022-08-12 23:00:00,-119.07266084238216,
2022-08-12 23:59:59,-170.42542476777948,w
2022-08-15 00:00:00,18.30924472575657,
2022-08-15 01:00:00,18.30924472575657,
2022-08-15 02:30:00,31.21222350344354,
2022-08-15 03:00:00,-32.440620717322844,
2022-08-15 18:30:00,-32.440620717322844,
2022-08-15 20:00:00,-32.440620717322844,
2022-08-15 23:00:00,-693.49313002104,
2022-08-15 23:59:59,-545.4592954720151,c
2022-08-16 00:00:00,-685.4039307623527,
2022-08-16 01:00:00,-685.4039307623527,
2022-08-16 02:30:00,-578.6779185400669,
2022-08-16 03:00:00,-571.1984952209696,
2022-08-16 18:30:00,-571.1984952209696,
2022-08-16 20:00:00,-571.1984952209696,
2022-08-16 23:00:00,-734.2681216451849,
2022-08-16 23:59:59,-622.1525026555644,c
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
0,-622.1525026555644,
2022-08-17 00:00:00,-666.3900846979396,
2022-08-17 01:00:00,-666.3900846979396,
2022-08-17 02:30:00,-556.1760784424267,
2022-08-17 03:00:00,-565.9918199314345,
2022-08-17 18:30:00,-565.9918199314345,
2022-08-17 20:00:00,-565.9918199314345,
2022-08-17 23:00:00,-664.6810761245702,
2022-08-17 23:59:59,-688.4321402114313,c
2022-08-18 00:00:00,-648.1274056422543,
2022-08-18 01:00:00,-648.1274056422543,
2022-08-18 02:30:00,-683.7917612767296,
2022-08-18 03:00:00,-782.2584269287934,
2022-08-18 18:30:00,-782.2584269287934,
2022-08-18 20:00:00,-782.2584269287934,
2022-08-18 23:00:00,-993.8371893234125,
2022-08-18 23:59:59,-891.6784783781841,c
2022-08-19 00:00:00,-813.7451796852131,
2022-08-19 01:00:00,-813.7451796852131,
2022-08-19 02:30:00,-753.3781801460009,
2022-08-19 03:00:00,-737.2528219061387,
2022-08-19 18:30:00,-737.2528219061387,
2022-08-19 20:00:00,-737.2528219061387,
2022-08-19 23:00:00,-737.2528219061387,
2022-08-19 23:59:59,-744.9838841131129,w
2022-08-22 00:00:00,-1112.154550269929,
2022-08-22 01:00:00,-1112.154550269929,
2022-08-22 02:30:00,-1070.713783338255,
2022-08-22 03:00:00,-1138.2439197869926,
2022-08-22 18:30:00,-1138.2439197869926,
2022-08-22 20:00:00,-1138.2439197869926,
2022-08-22 23:00:00,-1054.9076236082808,
2022-08-22 23:59:59,-1081.4714013867215,c
2022-08-23 00:00:00,-1075.8488142270724,
2022-08-23 01:00:00,-1075.8488142270724,
2022-08-23 02:30:00,-1030.2940590588396,
2022-08-23 03:00:00,-1097.846936143929,
2022-08-23 18:30:00,-1097.846936143929,
2022-08-23 20:00:00,-1097.846936143929,
2022-08-23 23:00:00,-792.7419205565745,
2022-08-23 23:59:59,-690.296051711575,c
2022-08-24 00:00:00,-696.7094295570853,
2022-08-24 01:00:00,-696.7094295570853,
2022-08-24 02:30:00,-812.9402843732546,
2022-08-24 03:00:00,-809.3446534681011,
2022-08-24 18:30:00,-809.3446534681011,
2022-08-24 20:00:00,-809.3446534681011,
2022-08-24 23:00:00,-809.3446534681011,
2022-08-24 23:59:59,-891.8992507104758,c
2022-08-25 00:00:00,-1019.8955505270512,
2022-08-25 01:00:00,-1019.8955505270512,
2022-08-25 02:30:00,-831.9295409157394,
2022-08-25 03:00:00,-999.8145846011375,
2022-08-25 18:30:00,-999.8145846011375,
2022-08-25 20:00:00,-999.8145846011375,
2022-08-25 23:00:00,-1064.8941223726297,
2022-08-25 23:59:59,-1097.6444231807852,c
2022-08-26 00:00:00,-1242.1268022566087,
2022-08-26 01:00:00,-1242.1268022566087,
2022-08-26 02:30:00,-1411.0305471396707,
2022-08-26 03:00:00,-1373.298847741885,
2022-08-26 18:30:00,-1373.298847741885,
2022-08-26 20:00:00,-1373.298847741885,
2022-08-26 23:00:00,-1373.298847741885,
2022-08-26 23:59:59,-1356.3731258361129,w
2022-08-29 00:00:00,-1065.5777208887548,
2022-08-29 01:00:00,-1065.5777208887548,
2022-08-29 02:30:00,-1485.3440679689245,
2022-08-29 03:00:00,-1447.1288612411508,
2022-08-29 18:30:00,-1447.1288612411508,
2022-08-29 20:00:00,-1447.1288612411508,
2022-08-29 23:00:00,-1446.1812840965345,
2022-08-29 23:59:59,-1443.6645750271923,c
2022-08-30 00:00:00,-1420.787987441461,
2022-08-30 01:00:00,-1420.787987441461,
