date,R2_IPO_HEDGED_2021_Q3,meta
2021-08-06 00:00:00,-209.48849485460255,
2021-08-06 10:00:00,-201.5268561896479,
2021-08-06 10:30:00,-180.85894582248608,
2021-08-06 12:00:00,-205.93008569875445,
2021-08-06 13:30:00,-209.13880949577228,
2021-08-06 15:00:00,-222.87179394982516,
2021-08-06 15:30:30,-222.87179394982516,
2021-08-06 23:59:59,-213.8059169870615,w
2021-08-09 00:00:00,-160.05259472468848,
2021-08-09 10:00:00,-179.03049073962757,
2021-08-09 10:30:00,-195.7746341671434,
2021-08-09 12:00:00,-160.4897252355409,
2021-08-09 13:30:00,-155.05769237579676,
2021-08-09 15:00:00,-120.91698706710746,
2021-08-09 15:30:30,-120.91698706710746,
2021-08-09 23:59:59,-142.9834726383919,c
2021-08-10 00:00:00,-135.4103595152182,
2021-08-10 10:00:00,-129.9341128622973,
2021-08-10 10:30:00,-116.73056562897177,
2021-08-10 12:00:00,-98.47142695776023,
2021-08-10 13:30:00,-86.07653996511493,
2021-08-10 15:00:00,-80.6168373392688,
2021-08-10 15:30:30,-80.6168373392688,
2021-08-10 23:59:59,-66.33979835169396,c
2021-08-11 00:00:00,-50.615420584331495,
2021-08-11 10:00:00,-72.7864441473515,
2021-08-11 10:30:00,-88.66006886191106,
2021-08-11 12:00:00,-49.616365520473444,
2021-08-11 13:30:00,-48.28100234767282,
2021-08-11 15:00:00,-78.47007911841395,
2021-08-11 15:30:30,-78.47007911841395,
2021-08-11 23:59:59,-77.89682474113333,c
2021-08-12 00:00:00,-144.65153484003733,
2021-08-12 10:00:00,-203.9718980300934,
2021-08-12 10:30:00,-188.09588913829256,
2021-08-12 12:00:00,-173.08980705642625,
2021-08-12 13:30:00,-187.87884338899644,
2021-08-12 15:00:00,-220.5387412744958,
2021-08-12 15:30:30,-220.5387412744958,
2021-08-12 23:59:59,-240.8015267726314,c
2021-08-13 00:00:00,-243.5963944006415,
2021-08-13 10:00:00,-263.88845025948353,
2021-08-13 10:30:00,-240.66977986505916,
2021-08-13 12:00:00,-184.23801464824322,
2021-08-13 13:30:00,-187.41655118071105,
2021-08-13 15:00:00,-172.9484884883597,
2021-08-13 15:30:30,-172.9484884883597,s
2021-08-13 23:59:59,-160.70428272221784,w
2021-08-16 00:00:00,-127.42215004090446,
2021-08-16 10:00:00,-104.30165676555752,
2021-08-16 10:30:00,-99.91832328141163,
2021-08-16 12:00:00,-67.45051004154921,
2021-08-16 13:30:00,-83.35577328349473,
2021-08-16 15:00:00,-76.24902427737644,
2021-08-16 15:30:30,-76.24902427737644,
2021-08-16 23:59:59,-40.3305373010269,c
2021-08-17 00:00:00,8.211521385339854,
2021-08-17 10:00:00,-43.10539082274161,
2021-08-17 10:30:00,-62.024763481313606,
2021-08-17 12:00:00,-63.432374906175134,
2021-08-17 13:30:00,-115.9883507887266,
2021-08-17 15:00:00,-120.30857944644855,
2021-08-17 15:30:30,-120.30857944644855,
2021-08-17 23:59:59,-142.9151711569064,c
2021-08-18 00:00:00,-137.76725776082725,
2021-08-18 10:00:00,-111.8626133936478,
2021-08-18 10:30:00,-79.56356170306817,
2021-08-18 12:00:00,-102.96773426816294,
2021-08-18 13:30:00,-91.26079143531861,
2021-08-18 15:00:00,-97.74444444857137,
2021-08-18 15:30:30,-97.74444444857137,
2021-08-18 23:59:59,-57.88399646282143,c
2021-08-19 00:00:00,-56.97617932587969,
2021-08-19 10:00:00,-42.16490538852296,
2021-08-19 10:30:00,-26.11344431080752,
2021-08-19 12:00:00,-35.18615237803122,
2021-08-19 13:30:00,-7.377541874091151,
2021-08-19 15:00:00,3.1486860210728906,
2021-08-19 15:30:30,3.1486860210728906,
2021-08-19 23:59:59,4.543868573945162,c
2021-08-20 00:00:00,5.084307589475399,
2021-08-20 10:00:00,4.962702523148935,
2021-08-20 10:30:00,-0.5760406073340378,
2021-08-20 12:00:00,-16.48292544647517,
2021-08-20 13:30:00,-36.2290344865962,
2021-08-20 15:00:00,-14.751746987815293,
2021-08-20 15:30:30,-14.751746987815293,
2021-08-20 23:59:59,-15.624412580135154,w
2021-08-23 00:00:00,-18.450926826672102,
2021-08-23 10:00:00,-58.5395703555008,
2021-08-23 10:30:00,-36.480206505461304,
2021-08-23 12:00:00,-14.43036855294072,
2021-08-23 13:30:00,7.402539769712315,
2021-08-23 15:00:00,-25.822053637193736,
2021-08-23 15:30:30,-25.822053637193736,
2021-08-23 23:59:59,-29.04670736454721,c
2021-08-24 00:00:00,-19.5569094515007,
2021-08-24 10:00:00,-41.66393025929676,
2021-08-24 10:30:00,-55.35367183843607,
2021-08-24 12:00:00,-19.448097958779464,
2021-08-24 13:30:00,-32.06392070272918,
2021-08-24 15:00:00,-39.74387655516145,
2021-08-24 15:30:30,-39.74387655516145,
2021-08-24 23:59:59,-60.540153126153676,c
2021-08-25 00:00:00,-55.19834281561409,
2021-08-25 10:00:00,-88.26154197572487,
2021-08-25 10:30:00,-99.88499684211281,
2021-08-25 12:00:00,-109.49369581914077,
2021-08-25 13:30:00,-107.95786509548464,
2021-08-25 15:00:00,-107.63370741890644,
2021-08-25 15:30:30,-107.63370741890644,
2021-08-25 23:59:59,-101.52249104336704,c
2021-08-26 00:00:00,-80.6881773625779,
2021-08-26 10:00:00,-85.58535408977967,
2021-08-26 10:30:00,-84.04656173173672,
2021-08-26 12:00:00,-39.52514766311026,
2021-08-26 13:30:00,-23.64121269138056,
2021-08-26 15:00:00,4.6366942127054305,
2021-08-26 15:30:30,4.6366942127054305,
2021-08-26 23:59:59,-28.711905051620416,c
2021-08-27 00:00:00,-30.82498499885041,
2021-08-27 10:00:00,-59.16788443717051,
2021-08-27 10:30:00,-83.72026463006881,
2021-08-27 12:00:00,-55.90858068638591,
2021-08-27 13:30:00,11.18405197713751,
2021-08-27 15:00:00,-0.40636780371482223,
2021-08-27 15:30:30,-0.40636780371482223,
2021-08-27 23:59:59,0.0,a
2021-08-30 00:00:00,16.960489135628105,
2021-08-30 10:00:00,-35.03310201327754,
2021-08-30 10:30:00,-33.43000766532289,
2021-08-30 12:00:00,-59.52772186708172,
2021-08-30 13:30:00,-60.55186562071244,
2021-08-30 15:00:00,-60.09228081148586,
2021-08-30 15:30:30,-60.09228081148586,
2021-08-30 23:59:59,-42.45905017921468,c
2021-08-31 00:00:00,4.735932190035833,
2021-08-31 10:00:00,57.01524262821695,
2021-08-31 10:30:00,-11.1734717448467,
2021-08-31 12:00:00,-15.349619702700005,
2021-08-31 13:30:00,-28.55074016792052,
2021-08-31 15:00:00,-48.56981640287412,
2021-08-31 15:30:30,-48.56981640287412,m
2021-08-31 23:59:59,-39.97053268428665,c
2021-09-01 00:00:00,-22.221257428691377,
2021-09-01 10:00:00,-27.68686312719913,
2021-09-01 10:30:00,-36.15807628036827,
2021-09-01 12:00:00,-53.321524764965936,
2021-09-01 13:30:00,-39.12970501394575,
2021-09-01 15:00:00,-38.915107053548205,
2021-09-01 15:30:30,-38.915107053548205,
2021-09-01 23:59:59,-42.67634704547544,c
2021-09-02 00:00:00,-13.909246013837476,
2021-09-02 10:00:00,-15.881523331979484,
2021-09-02 10:30:00,-19.58680463380284,
2021-09-02 12:00:00,15.876834266942035,
2021-09-02 13:30:00,54.638097363015014,
2021-09-02 15:00:00,45.539083159603315,
2021-09-02 15:30:30,45.539083159603315,
2021-09-02 23:59:59,61.053990117075415,c
2021-09-03 00:00:00,83.60111535027036,
2021-09-03 10:00:00,85.31719007827154,
2021-09-03 10:30:00,114.50210054132354,
2021-09-03 12:00:00,116.84156242718512,
2021-09-03 13:30:00,167.41541357652903,
2021-09-03 15:00:00,228.05253291731242,
2021-09-03 15:30:30,228.05253291731242,
2021-09-03 23:59:59,208.91837016929222,w
2021-09-06 00:00:00,208.91837016929222,
2021-09-06 10:00:00,208.91837016929222,
2021-09-06 10:30:00,208.91837016929222,
2021-09-06 12:00:00,208.91837016929222,
2021-09-06 13:30:00,208.91837016929222,
2021-09-06 15:00:00,208.91837016929222,
2021-09-06 15:30:30,208.91837016929222,
2021-09-06 23:59:59,208.91837016929222,c
2021-09-07 00:00:00,238.40001743203104,
2021-09-07 10:00:00,250.00321113187138,
2021-09-07 10:30:00,224.95043275398274,
2021-09-07 12:00:00,181.33369828324484,
2021-09-07 13:30:00,196.19054621952944,
2021-09-07 15:00:00,198.9528901197278,
2021-09-07 15:30:30,198.9528901197278,
2021-09-07 23:59:59,178.12028599436994,c
2021-09-08 00:00:00,187.31140599332403,
2021-09-08 10:00:00,153.44853711104415,
2021-09-08 10:30:00,123.32964372885804,
2021-09-08 12:00:00,111.70847117887922,
2021-09-08 13:30:00,142.2863515900412,
2021-09-08 15:00:00,141.1378848818735,
2021-09-08 15:30:30,141.1378848818735,
2021-09-08 23:59:59,129.2771805298371,c
2021-09-09 00:00:00,124.23501829995156,
2021-09-09 10:00:00,149.34164602425258,
2021-09-09 10:30:00,157.2287475097393,
2021-09-09 12:00:00,165.05563038073558,
2021-09-09 13:30:00,168.51780433912964,
2021-09-09 15:00:00,185.9847231815088,
2021-09-09 15:30:30,185.9847231815088,
2021-09-09 23:59:59,175.03798483921636,c
2021-09-10 00:00:00,207.99330674180956,
2021-09-10 10:00:00,217.13404915156332,
2021-09-10 10:30:00,202.90959638019083,
2021-09-10 12:00:00,215.32501335837722,
2021-09-10 13:30:00,209.35329380870186,
2021-09-10 15:00:00,230.42964029099778,
2021-09-10 15:30:30,230.42964029099778,
2021-09-10 23:59:59,280.01499264079075,w
2021-09-13 00:00:00,301.17583040089266,
2021-09-13 10:00:00,283.9418326372026,
2021-09-13 10:30:00,231.82325106267754,
2021-09-13 12:00:00,201.79345665307883,
2021-09-13 13:30:00,146.9903066666483,
2021-09-13 15:00:00,79.25495106121438,
2021-09-13 15:30:30,79.25495106121438,
2021-09-13 23:59:59,48.03457441613131,c
2021-09-14 00:00:00,48.490365958997856,
2021-09-14 10:00:00,42.11594214998479,
2021-09-14 10:30:00,57.566389469047174,
2021-09-14 12:00:00,118.96584356205865,
2021-09-14 13:30:00,127.4450951260937,
2021-09-14 15:00:00,126.7705508874234,
2021-09-14 15:30:30,126.7705508874234,
2021-09-14 23:59:59,139.8844312994978,c
2021-09-15 00:00:00,156.53309669573886,
2021-09-15 10:00:00,182.9358938469767,
2021-09-15 10:30:00,223.20789414552806,
2021-09-15 12:00:00,234.28856827174462,
2021-09-15 13:30:00,225.85913913655452,
2021-09-15 15:00:00,212.25681708376467,
2021-09-15 15:30:30,212.25681708376467,
2021-09-15 23:59:59,219.7943352299469,c
2021-09-16 00:00:00,231.10945115432196,
2021-09-16 10:00:00,223.73610000360716,
2021-09-16 10:30:00,225.99425447109246,
2021-09-16 12:00:00,192.51282521456588,
2021-09-16 13:30:00,224.5202574717176,
2021-09-16 15:00:00,222.2071611554317,
2021-09-16 15:30:30,222.2071611554317,
2021-09-16 23:59:59,241.1267520735031,c
2021-09-17 00:00:00,248.79911991394977,
2021-09-17 10:00:00,245.39044546044215,
2021-09-17 10:30:00,183.2220302599626,
2021-09-17 12:00:00,104.1127774935822,
2021-09-17 13:30:00,148.01587872969847,
2021-09-17 15:00:00,68.59906798261362,
2021-09-17 15:30:30,68.59906798261362,
2021-09-17 23:59:59,-126.11889716346951,e
2021-09-20 00:00:00,-89.38316595594301,
2021-09-20 10:00:00,-191.95341037096944,
2021-09-20 10:30:00,-210.83687031449278,
2021-09-20 12:00:00,-209.1059819499598,
