date,EU_CGW_2023_Q1,meta
2023-01-20 06:00:00,-74.58491466379019,
2023-01-20 08:00:00,-54.383215028371524,
2023-01-20 10:30:00,-44.62209315849759,
2023-01-20 11:00:00,-38.0037687421127,
2023-01-20 23:59:59,-42.46824159886455,e
2023-01-23 00:00:00,-82.20499936715896,
2023-01-23 03:30:00,-33.22792175961331,
2023-01-23 04:00:00,-68.67492379132818,
2023-01-23 06:00:00,-76.03332680382846,
2023-01-23 08:00:00,-46.951987932136944,
2023-01-23 10:30:00,-8.346250791058992,
2023-01-23 11:00:00,-20.12207549571849,
2023-01-23 23:59:59,-31.027275123176878,c
2023-01-24 00:00:00,-61.487633970404204,
2023-01-24 03:30:00,-113.51283806467745,
2023-01-24 04:00:00,-138.60709948863496,
2023-01-24 06:00:00,-114.92797708856506,
2023-01-24 08:00:00,-129.5841303227453,
2023-01-24 10:30:00,-68.04014019020815,
2023-01-24 11:00:00,-77.6694108884094,
2023-01-24 23:59:59,-103.57551188013258,c
2023-01-25 00:00:00,-114.50779605960088,
2023-01-25 03:30:00,-137.58228007324578,
2023-01-25 04:00:00,-153.75430236349894,
2023-01-25 06:00:00,-138.9874438594652,
2023-01-25 08:00:00,-171.31977948049098,
2023-01-25 10:30:00,-255.96359332798056,
2023-01-25 11:00:00,-256.9725689107072,
2023-01-25 23:59:59,-263.3136888241879,c
2023-01-26 00:00:00,-310.26371259482585,
2023-01-26 03:30:00,-280.5110904560006,
2023-01-26 04:00:00,-229.22709963649322,
2023-01-26 06:00:00,-268.48591539547306,
2023-01-26 08:00:00,-279.42895896836853,
2023-01-26 10:30:00,-267.8389412835477,
2023-01-26 11:00:00,-222.15734375171087,
2023-01-26 23:59:59,-272.44174373495116,c
2023-01-27 00:00:00,-289.1971895116203,
2023-01-27 03:30:00,-272.1620903463772,
2023-01-27 04:00:00,-319.34603069007426,
2023-01-27 06:00:00,-297.90892270150107,
2023-01-27 08:00:00,-279.3663495813398,
2023-01-27 10:30:00,-303.44591079137535,
2023-01-27 11:00:00,-281.4767256047744,
2023-01-27 23:59:59,-302.92161887903967,w
2023-01-30 00:00:00,-294.3253525406817,
2023-01-30 03:30:00,-294.8572302138855,
2023-01-30 04:00:00,-313.20817363001515,
2023-01-30 06:00:00,-327.4683720510093,
2023-01-30 08:00:00,-312.66391555884,
2023-01-30 10:30:00,-264.37658952131096,
2023-01-30 11:00:00,-271.4680768427188,
2023-01-30 23:59:59,-252.45875563636764,c
2023-01-31 00:00:00,-260.1835083200767,
2023-01-31 03:30:00,-227.4619534766116,
2023-01-31 04:00:00,-209.29375678032557,
2023-01-31 06:00:00,-169.73624583976016,
2023-01-31 08:00:00,-141.97463758066078,
2023-01-31 10:30:00,-113.43269182163385,
2023-01-31 11:00:00,-137.54908839133077,
2023-01-31 23:59:59,-151.03193360384103,c
2023-02-01 00:00:00,-144.23883283876694,
2023-02-01 03:30:00,-161.4088173112159,
2023-02-01 04:00:00,-186.6182235093802,
2023-02-01 06:00:00,-114.24121121229291,
2023-02-01 08:00:00,-98.94448597903374,
2023-02-01 10:30:00,-64.82936904463713,
2023-02-01 11:00:00,-87.36177075524938,
2023-02-01 23:59:59,-103.3900323584503,c
2023-02-02 00:00:00,-143.3007801558433,
2023-02-02 03:30:00,-212.13433032041576,
2023-02-02 04:00:00,-177.91341449183528,
2023-02-02 06:00:00,-126.78598665102254,
2023-02-02 08:00:00,-195.04911886667287,
2023-02-02 10:30:00,-240.44478507786334,
2023-02-02 11:00:00,-270.78927763988577,
2023-02-02 23:59:59,-352.82581754993953,c
2023-02-03 00:00:00,-310.96006614121325,
2023-02-03 03:30:00,-252.8499128212734,
2023-02-03 04:00:00,-260.87789402910676,
2023-02-03 06:00:00,-327.4550401316628,
2023-02-03 08:00:00,-333.2895365657514,
2023-02-03 10:30:00,-211.27196151050703,
2023-02-03 11:00:00,-207.6720634316971,
2023-02-03 23:59:59,-300.1327121693357,w
