date,MORN_2022_Q2,meta
2022-05-20 00:00:00,124.61299754002539,
2022-05-20 10:00:00,117.37707679086043,
2022-05-20 10:30:00,116.12737169372235,
2022-05-20 12:00:00,50.109491559442176,
2022-05-20 13:30:00,5.287038508574369,
2022-05-20 15:00:00,44.40623802170467,
2022-05-20 15:30:30,44.40623802170467,
2022-05-20 23:59:59,84.7291633621735,w
2022-05-23 00:00:00,79.84678989286613,
2022-05-23 10:00:00,-0.5793703070264655,
2022-05-23 10:30:00,-10.973658035478365,
2022-05-23 12:00:00,12.159319045267011,
2022-05-23 13:30:00,11.89223360584674,
2022-05-23 15:00:00,27.350109599320376,
2022-05-23 15:30:30,27.350109599320376,
2022-05-23 23:59:59,28.11612974690206,c
2022-05-24 00:00:00,31.872511082055553,
2022-05-24 10:00:00,-67.86572260502749,
2022-05-24 10:30:00,-51.1289668378306,
2022-05-24 12:00:00,-36.273183577836335,
2022-05-24 13:30:00,-59.45125747347015,
2022-05-24 15:00:00,-93.81335837976508,
2022-05-24 15:30:30,-93.81335837976508,
2022-05-24 23:59:59,-78.76333478112565,c
2022-05-25 00:00:00,-68.12756988476895,
2022-05-25 10:00:00,-54.80927911002459,
2022-05-25 10:30:00,-4.564207121224172,
2022-05-25 12:00:00,-39.235835587237716,
2022-05-25 13:30:00,-18.528596114957054,
2022-05-25 15:00:00,-3.221802131813547,
2022-05-25 15:30:30,-3.221802131813547,
2022-05-25 23:59:59,2.326543505221707,c
2022-05-26 00:00:00,3.5840486365966626,
2022-05-26 10:00:00,71.68646189362539,
2022-05-26 10:30:00,90.57176638244778,
2022-05-26 12:00:00,103.88567901000442,
2022-05-26 13:30:00,127.50051890390546,
2022-05-26 15:00:00,136.83304802417683,
2022-05-26 15:30:30,136.83304802417683,
2022-05-26 23:59:59,137.54799827977422,c
2022-05-27 00:00:00,165.7354277361826,
2022-05-27 10:00:00,220.17853526306362,
2022-05-27 10:30:00,242.08346872864036,
2022-05-27 12:00:00,233.3093086773954,
2022-05-27 13:30:00,242.71231712017834,
2022-05-27 15:00:00,249.03171625723553,
2022-05-27 15:30:30,249.03171625723553,
2022-05-27 23:59:59,251.5371894421039,w
2022-05-30 00:00:00,251.5371894421039,
2022-05-30 10:00:00,251.5371894421039,
2022-05-30 10:30:00,251.5371894421039,
2022-05-30 12:00:00,251.5371894421039,
2022-05-30 13:30:00,251.5371894421039,
2022-05-30 15:00:00,251.5371894421039,
2022-05-30 15:30:30,251.5371894421039,
2022-05-30 23:59:59,251.5371894421039,c
2022-05-31 00:00:00,265.9577698554806,
2022-05-31 10:00:00,200.29103331594797,
2022-05-31 10:30:00,195.2355333706546,
2022-05-31 12:00:00,210.0098509815498,
2022-05-31 13:30:00,176.3476384411881,
2022-05-31 15:00:00,128.61089601471963,
2022-05-31 15:30:30,128.61089601471963,s
2022-05-31 23:59:59,172.11714635412704,c
2022-06-01 00:00:00,168.80787756217615,
2022-06-01 10:00:00,175.33488806044215,
2022-06-01 10:30:00,130.7868337081252,
2022-06-01 12:00:00,75.76348084633833,
2022-06-01 13:30:00,90.58575839717378,
2022-06-01 15:00:00,110.61166133134839,
2022-06-01 15:30:30,110.61166133134839,
2022-06-01 23:59:59,96.12733452131624,c
2022-06-02 00:00:00,99.11632567596303,
2022-06-02 10:00:00,178.24943107843592,
2022-06-02 10:30:00,185.92205807768346,
2022-06-02 12:00:00,232.84065709034508,
2022-06-02 13:30:00,261.6227176706536,
2022-06-02 15:00:00,254.19655701638726,
2022-06-02 15:30:30,254.19655701638726,
2022-06-02 23:59:59,251.74787199663638,c
2022-06-03 00:00:00,198.58459641219224,
2022-06-03 10:00:00,225.4763433737619,
2022-06-03 10:30:00,190.67853025282216,
2022-06-03 12:00:00,183.30428500100652,
2022-06-03 13:30:00,184.5436380087608,
2022-06-03 15:00:00,175.34783727950503,
2022-06-03 15:30:30,175.34783727950503,
2022-06-03 23:59:59,173.24970128060386,w
2022-06-06 00:00:00,216.94785214225703,
2022-06-06 10:00:00,183.19681163824953,
2022-06-06 10:30:00,214.45746388130055,
2022-06-06 12:00:00,192.36151742481798,
2022-06-06 13:30:00,172.22076124401042,
2022-06-06 15:00:00,175.4295592312319,
2022-06-06 15:30:30,175.4295592312319,
2022-06-06 23:59:59,180.54884618366214,c
2022-06-07 00:00:00,150.4796956267403,
2022-06-07 10:00:00,170.6169375057998,
2022-06-07 10:30:00,192.62098405723964,
2022-06-07 12:00:00,192.35477605960364,
2022-06-07 13:30:00,188.88526326611964,
2022-06-07 15:00:00,192.9424627969588,
2022-06-07 15:30:30,192.9424627969588,u
2022-06-07 23:59:59,217.37599969751273,c
2022-06-08 00:00:00,223.5442857364003,
2022-06-08 10:00:00,258.0898282609169,
2022-06-08 10:30:00,224.38737716699848,
2022-06-08 12:00:00,246.58793454800139,
2022-06-08 13:30:00,215.56492904084234,
2022-06-08 15:00:00,213.0628515556923,
2022-06-08 15:30:30,213.0628515556923,
2022-06-08 23:59:59,214.78022143696057,c
2022-06-09 00:00:00,188.961239299083,
2022-06-09 10:00:00,141.83301601709218,
2022-06-09 10:30:00,182.98628899278856,
2022-06-09 12:00:00,138.7459488781435,
2022-06-09 13:30:00,126.3377594057174,
2022-06-09 15:00:00,113.88628695476814,
2022-06-09 15:30:30,113.88628695476814,
2022-06-09 23:59:59,109.06998128266264,c
2022-06-10 00:00:00,31.092851586663983,
2022-06-10 10:00:00,32.94033620060304,
2022-06-10 10:30:00,1.9678722344576727,
2022-06-10 12:00:00,-7.06735418385756,
