date,EU_GDX_2021_Q4,meta
2021-12-09 11:00:00,-260.8569008207087,
2021-12-09 23:59:59,-219.26453996958298,c
2021-12-10 00:00:00,-170.28224865873017,
2021-12-10 03:30:00,-10.905597956010752,
2021-12-10 04:00:00,-111.34069134435231,
2021-12-10 06:00:00,-143.2452864117986,
2021-12-10 08:00:00,-153.64748526332005,
2021-12-10 10:30:00,-43.8330534058332,
2021-12-10 11:00:00,-39.81150880669884,
2021-12-10 23:59:59,0.0,a
2021-12-13 00:00:00,-48.98880998080858,
2021-12-13 03:30:00,-53.600052743226115,
2021-12-13 04:00:00,-7.505692525373888,
2021-12-13 06:00:00,89.91808092622705,
2021-12-13 08:00:00,86.08629251275306,
2021-12-13 10:30:00,174.74235027674877,
2021-12-13 11:00:00,189.68127502891366,
2021-12-13 23:59:59,277.5799999999963,c
2021-12-14 00:00:00,223.92626773549637,
2021-12-14 03:30:00,249.82130909064654,
2021-12-14 04:00:00,273.52647925107703,
2021-12-14 06:00:00,312.83417246986573,
2021-12-14 08:00:00,295.4859718736807,
2021-12-14 10:30:00,357.4727196354015,
2021-12-14 11:00:00,378.4613116436012,
2021-12-14 23:59:59,419.86761669999396,c
2021-12-15 00:00:00,464.1869939934204,
2021-12-15 03:30:00,451.59394961314865,
2021-12-15 04:00:00,445.8371293250275,
2021-12-15 06:00:00,568.6421956749346,
2021-12-15 08:00:00,466.1513786560081,
2021-12-15 10:30:00,581.9089872926234,
2021-12-15 11:00:00,612.8363178617237,
2021-12-15 23:59:59,583.1513930409546,c
2021-12-16 00:00:00,436.19537068811223,
2021-12-16 03:30:00,391.0169497608058,
2021-12-16 04:00:00,297.089010274276,
2021-12-16 06:00:00,302.9964361471193,
2021-12-16 08:00:00,132.39620222419398,
2021-12-16 10:30:00,41.184878496651436,
2021-12-16 11:00:00,3.5908414870809793,
2021-12-16 23:59:59,81.63480882094882,c
2021-12-17 00:00:00,-58.32640398359763,
2021-12-17 03:30:00,-89.2275434099065,
2021-12-17 04:00:00,-175.17500148915678,
2021-12-17 06:00:00,-332.02034505332995,
2021-12-17 08:00:00,-302.90380054071466,
2021-12-17 10:30:00,-260.65994584611144,
2021-12-17 11:00:00,-282.36540462137236,
2021-12-17 23:59:59,-244.93728346381067,e
2021-12-20 00:00:00,-109.64439584065622,
2021-12-20 03:30:00,-171.91981023356675,
2021-12-20 04:00:00,-166.08195351923496,
2021-12-20 06:00:00,-152.16478061369708,
2021-12-20 08:00:00,-204.88016512434297,
2021-12-20 10:30:00,-79.51545573856129,
2021-12-20 11:00:00,-20.826817827717605,
2021-12-20 23:59:59,2.32213184747161,c
2021-12-21 00:00:00,-67.65694795760828,
2021-12-21 03:30:00,-104.24621636427582,
2021-12-21 04:00:00,-153.7384675617268,
2021-12-21 06:00:00,-180.11113965648656,
2021-12-21 08:00:00,-221.03998259580476,
2021-12-21 10:30:00,-118.77909790007652,
2021-12-21 11:00:00,-120.73204758709835,
2021-12-21 23:59:59,-86.31803590562595,c
2021-12-22 00:00:00,-76.9874919316153,
2021-12-22 03:30:00,-22.204155654779242,
2021-12-22 04:00:00,-24.667275863084797,
2021-12-22 06:00:00,-129.55286016128593,
2021-12-22 08:00:00,-147.23325159657543,
2021-12-22 10:30:00,-180.07476650581157,
2021-12-22 11:00:00,-197.75120387398601,
2021-12-22 23:59:59,-177.29083965223617,c
2021-12-23 00:00:00,-263.5983714118356,
2021-12-23 03:30:00,-257.96424287282935,
2021-12-23 04:00:00,-237.74963453241435,
2021-12-23 06:00:00,-189.2178249693916,
2021-12-23 08:00:00,-189.08906283444958,
2021-12-23 10:30:00,-183.95820581069893,
2021-12-23 11:00:00,-164.11086616143075,
2021-12-23 23:59:59,-109.64439584064894,c
2021-12-24 00:00:00,-160.9656782252623,
2021-12-24 03:30:00,-185.81101242383193,
2021-12-24 04:00:00,-175.77621248232572,
2021-12-24 06:00:00,-131.0191416953985,
2021-12-24 08:00:00,-131.0191416953985,
2021-12-24 10:30:00,-131.0191416953985,
2021-12-24 11:00:00,-131.0191416953985,
2021-12-24 23:59:59,-156.3004047274444,w
2021-12-27 00:00:00,-156.3004047274444,
2021-12-27 03:30:00,-156.3004047274444,
2021-12-27 04:00:00,-156.3004047274444,
2021-12-27 06:00:00,-156.3004047274444,
2021-12-27 08:00:00,-156.3004047274444,
2021-12-27 10:30:00,-156.3004047274444,
2021-12-27 11:00:00,-156.3004047274444,
2021-12-27 23:59:59,-156.3004047274444,c
2021-12-28 00:00:00,-156.3004047274444,
2021-12-28 03:30:00,-156.3004047274444,
2021-12-28 04:00:00,-156.3004047274444,
2021-12-28 06:00:00,-156.3004047274444,
2021-12-28 08:00:00,-156.3004047274444,
2021-12-28 10:30:00,-156.3004047274444,
2021-12-28 11:00:00,-156.3004047274444,
2021-12-28 23:59:59,-156.3004047274444,c
2021-12-29 00:00:00,-235.61005419017602,
2021-12-29 03:30:00,-164.55558637543072,
2021-12-29 04:00:00,-226.75364436779273,
2021-12-29 06:00:00,-210.00178210855302,
2021-12-29 08:00:00,-195.90032753622654,
2021-12-29 10:30:00,-238.03842182308654,
2021-12-29 11:00:00,-257.860100760141,
2021-12-29 23:59:59,-212.2836867011465,c
2021-12-30 00:00:00,-291.5933361638781,
2021-12-30 03:30:00,-156.50920454331754,
2021-12-30 04:00:00,-143.48535931214974,
2021-12-30 06:00:00,-201.56685436088446,
2021-12-30 08:00:00,-196.18896059598228,
2021-12-30 10:30:00,-276.8776237679831,
2021-12-30 11:00:00,-240.64150646954295,
2021-12-30 23:59:59,-223.94687044566126,c
2021-12-31 00:00:00,-254.2717000325265,
2021-12-31 03:30:00,-319.45911731046726,
2021-12-31 04:00:00,-350.9522192417462,
2021-12-31 06:00:00,-349.62330528980783,
2021-12-31 08:00:00,-349.62330528980783,
2021-12-31 10:30:00,-349.62330528980783,
2021-12-31 11:00:00,-349.62330528980783,
2021-12-31 23:59:59,-359.2403593822728,w
