date,VYM_HEDGED_2022_Q3,meta
2022-07-29 00:00:00,-56.76367850221311,
2022-07-29 10:00:00,-60.8500500994237,
2022-07-29 10:30:00,-58.5883113281991,
2022-07-29 12:00:00,-61.421523862541335,
2022-07-29 13:30:00,-57.63711133550294,
2022-07-29 15:00:00,-59.74974966648483,
2022-07-29 15:30:30,-59.74974966648483,
2022-07-29 23:59:59,-55.79132419852681,w
2022-08-01 00:00:00,-44.33666568026638,
2022-08-01 10:00:00,-29.437200318244095,
2022-08-01 10:30:00,-29.692057275772754,
2022-08-01 12:00:00,-27.773231533161606,
2022-08-01 13:30:00,-21.50986662479454,
2022-08-01 15:00:00,-23.5858998942997,
2022-08-01 15:30:30,-23.5858998942997,
2022-08-01 23:59:59,-21.24534996885245,c
2022-08-02 00:00:00,-18.385682735206274,
2022-08-02 10:00:00,-18.18870495206511,
2022-08-02 10:30:00,-33.42138801741271,
2022-08-02 12:00:00,-25.40768470508283,
2022-08-02 13:30:00,-28.877692909656048,
2022-08-02 15:00:00,-30.885962604519705,
2022-08-02 15:30:30,-30.885962604519705,
2022-08-02 23:59:59,-23.78312062145085,c
2022-08-03 00:00:00,-33.80933434324561,
2022-08-03 10:00:00,-14.677642508038844,
2022-08-03 10:30:00,1.547132323608821,
2022-08-03 12:00:00,-4.538284348260959,
2022-08-03 13:30:00,-2.026284346235343,
2022-08-03 15:00:00,-1.4939498534118911,
2022-08-03 15:30:30,-1.4939498534118911,
2022-08-03 23:59:59,-5.2236526855045895,c
2022-08-04 00:00:00,4.275552757026503,
2022-08-04 10:00:00,11.388245239849084,
2022-08-04 10:30:00,8.203700500513605,
2022-08-04 12:00:00,-4.641177042717231,
2022-08-04 13:30:00,-2.6815859557943895,
2022-08-04 15:00:00,-6.238213467792775,
2022-08-04 15:30:30,-6.238213467792775,
2022-08-04 23:59:59,-6.8633156024963,c
2022-08-05 00:00:00,9.003846652020684,
2022-08-05 10:00:00,-1.902334064454294,
2022-08-05 10:30:00,5.577088093845532,
2022-08-05 12:00:00,5.110120243365827,
2022-08-05 13:30:00,8.782798232196,
2022-08-05 15:00:00,8.981437422423483,
2022-08-05 15:30:30,8.981437422423483,
2022-08-05 23:59:59,8.926633772324294,w
2022-08-08 00:00:00,5.473508335006954,
2022-08-08 10:00:00,2.182831127802615,
2022-08-08 10:30:00,-4.121615346622093,
2022-08-08 12:00:00,-9.735402690170758,
2022-08-08 13:30:00,-9.561220646200923,
2022-08-08 15:00:00,-9.673644409314306,
2022-08-08 15:30:30,-9.673644409314306,
2022-08-08 23:59:59,-2.369848203534616,c
