date,SP_MIG_2022_Q4,meta
2022-10-21 00:00:00,-455.80174754670327,
2022-10-21 10:00:00,-447.4463821086486,
2022-10-21 10:30:00,-447.0499525095818,
2022-10-21 12:00:00,-421.47145600777225,
2022-10-21 13:30:00,-399.67091196225243,
2022-10-21 15:00:00,-404.8720142046804,
2022-10-21 15:30:30,-404.8720142046804,
2022-10-21 23:59:59,-422.2739976279833,w
2022-10-24 00:00:00,-380.6796702039992,
2022-10-24 10:00:00,-416.9595572561642,
2022-10-24 10:30:00,-390.8077602608838,
2022-10-24 12:00:00,-357.78639261929106,
2022-10-24 13:30:00,-378.36805895294856,
2022-10-24 15:00:00,-393.89192556041587,
2022-10-24 15:30:30,-393.89192556041587,
2022-10-24 23:59:59,-371.78420205716617,c
2022-10-25 00:00:00,-399.56113415221137,
2022-10-25 10:00:00,-392.18827803126175,
2022-10-25 10:30:00,-357.810566847392,
2022-10-25 12:00:00,-404.40753517412196,
2022-10-25 13:30:00,-422.9335291466798,
2022-10-25 15:00:00,-432.35725033227664,
2022-10-25 15:30:30,-432.35725033227664,
2022-10-25 23:59:59,-437.16949343873,c
2022-10-26 00:00:00,-379.8746077816504,
2022-10-26 10:00:00,-348.369826098328,
2022-10-26 10:30:00,-340.4777899881677,
2022-10-26 12:00:00,-361.23609752703277,
2022-10-26 13:30:00,-352.97891418058913,
2022-10-26 15:00:00,-357.5676989215742,
2022-10-26 15:30:30,-357.5676989215742,
2022-10-26 23:59:59,-367.01980369916845,c
2022-10-27 00:00:00,-342.2939294532109,
2022-10-27 10:00:00,-389.88258915410836,
2022-10-27 10:30:00,-403.0370108428757,
2022-10-27 12:00:00,-441.7984992097716,
2022-10-27 13:30:00,-420.9106316220783,
2022-10-27 15:00:00,-397.79674041835204,
2022-10-27 15:30:30,-397.79674041835204,
2022-10-27 23:59:59,-388.2514649862538,c
2022-10-28 00:00:00,-388.1085606201743,
2022-10-28 10:00:00,-426.31467952568437,
2022-10-28 10:30:00,-384.8669426292971,
2022-10-28 12:00:00,-398.6488727239924,
2022-10-28 13:30:00,-384.8467303095912,
2022-10-28 15:00:00,-376.03975800991606,
2022-10-28 15:30:30,-376.03975800991606,
2022-10-28 23:59:59,-400.8744836142422,w
2022-10-31 00:00:00,-337.6437391553876,
2022-10-31 10:00:00,-261.135331651191,
2022-10-31 10:30:00,-175.96479037898314,
2022-10-31 12:00:00,-160.8653108325435,
2022-10-31 13:30:00,-97.913701865956,
2022-10-31 15:00:00,-91.64792398209727,
2022-10-31 15:30:30,-91.64792398209727,
2022-10-31 23:59:59,-125.92070477982134,c
2022-11-01 00:00:00,-134.8327509211682,
2022-11-01 10:00:00,-144.90481395898723,
2022-11-01 10:30:00,-104.1477170955418,
2022-11-01 12:00:00,-60.45982003214533,
2022-11-01 13:30:00,-46.47495040968238,
2022-11-01 15:00:00,-32.63275087157547,
2022-11-01 15:30:30,-32.63275087157547,
2022-11-01 23:59:59,-41.351009627643634,c
2022-11-02 00:00:00,-48.59383926570183,
2022-11-02 10:00:00,-23.045367399137945,
2022-11-02 10:30:00,-15.948344439402149,
2022-11-02 12:00:00,2.2328656917356966,
2022-11-02 13:30:00,38.60498121492833,
2022-11-02 15:00:00,33.87421723524392,
2022-11-02 15:30:30,33.87421723524392,
2022-11-02 23:59:59,57.97755632460462,c
2022-11-03 00:00:00,65.33175881606269,
2022-11-03 10:00:00,114.94196623441132,
2022-11-03 10:30:00,148.98525088445263,
2022-11-03 12:00:00,148.04027529014354,
2022-11-03 13:30:00,187.92414309654362,
2022-11-03 15:00:00,224.82141008701456,
2022-11-03 15:30:30,224.82141008701456,
2022-11-03 23:59:59,246.83819560006668,c
2022-11-04 00:00:00,237.33584573135818,
2022-11-04 10:00:00,199.7104202720418,
2022-11-04 10:30:00,171.68040876119005,
2022-11-04 12:00:00,109.98768868073205,
2022-11-04 13:30:00,115.78579278560642,
2022-11-04 15:00:00,112.91478616648192,
2022-11-04 15:30:30,112.91478616648192,
2022-11-04 23:59:59,107.814336041258,w
2022-11-07 00:00:00,121.21380528190798,
2022-11-07 10:00:00,40.67036081646222,
2022-11-07 10:30:00,10.312293926500843,
2022-11-07 12:00:00,6.5267165386868555,
2022-11-07 13:30:00,-37.458960898026135,
2022-11-07 15:00:00,-51.151715584248564,
2022-11-07 15:30:30,-51.151715584248564,
2022-11-07 23:59:59,-34.935949944262234,c
2022-11-08 00:00:00,-24.506695775544586,
2022-11-08 10:00:00,-5.683138998480217,
2022-11-08 10:30:00,-41.83825799208921,
2022-11-08 12:00:00,-69.03327442738157,
2022-11-08 13:30:00,-43.40356376201282,
2022-11-08 15:00:00,-52.12922165472992,
2022-11-08 15:30:30,-52.12922165472992,
2022-11-08 23:59:59,-83.71397046255277,c
2022-11-09 00:00:00,-85.67476374730506,
2022-11-09 10:00:00,-25.248649005243806,
2022-11-09 10:30:00,-58.52167955865764,
2022-11-09 12:00:00,-19.639856221628293,
2022-11-09 13:30:00,-36.52986554499762,
2022-11-09 15:00:00,-21.74981534395215,
2022-11-09 15:30:30,-21.74981534395215,
2022-11-09 23:59:59,-40.92267805942788,c
2022-11-10 00:00:00,-98.95189001933454,
2022-11-10 10:00:00,-185.7289104347019,
2022-11-10 10:30:00,-199.55147058594525,
2022-11-10 12:00:00,-180.26929248315594,
2022-11-10 13:30:00,-236.72389666748745,
2022-11-10 15:00:00,-215.51187473101197,
2022-11-10 15:30:30,-215.51187473101197,
2022-11-10 23:59:59,-247.12562151539646,c
2022-11-11 00:00:00,-245.30164549710878,
2022-11-11 10:00:00,-322.4641970845972,
2022-11-11 10:30:00,-331.2194576789298,
2022-11-11 12:00:00,-361.1140741747218,
2022-11-11 13:30:00,-390.2929867793797,
2022-11-11 15:00:00,-391.21049988680346,
2022-11-11 15:30:30,-391.21049988680346,u
2022-11-11 23:59:59,-370.8273626611496,w
2022-11-14 00:00:00,-298.34873606852216,
2022-11-14 10:00:00,-364.28464934748166,
2022-11-14 10:30:00,-325.56965059769857,
2022-11-14 12:00:00,-322.05468287298277,
2022-11-14 13:30:00,-333.1662299811604,
2022-11-14 15:00:00,-302.4419522891111,
2022-11-14 15:30:30,-302.4419522891111,
2022-11-14 23:59:59,-303.88527012472974,c
2022-11-15 00:00:00,-287.0409959383748,
2022-11-15 10:00:00,-309.0192451061618,
2022-11-15 10:30:00,-324.70084232521765,
2022-11-15 12:00:00,-309.33961251118785,
2022-11-15 13:30:00,-295.3500448957096,
2022-11-15 15:00:00,-307.0234832717823,
2022-11-15 15:30:30,-307.0234832717823,
2022-11-15 23:59:59,-276.8756214471043,c
2022-11-16 00:00:00,-308.71226831698067,
2022-11-16 10:00:00,-262.2644740708208,
2022-11-16 10:30:00,-256.0566929178683,
2022-11-16 12:00:00,-214.27564513720756,
2022-11-16 13:30:00,-217.2032241887772,
2022-11-16 15:00:00,-244.80561602703062,
2022-11-16 15:30:30,-244.80561602703062,
2022-11-16 23:59:59,-268.47464677288747,c
2022-11-17 00:00:00,-234.542903845649,
2022-11-17 10:00:00,-166.2933497222832,
