date,SPHD_HEDGED_2021_Q1,meta
2021-01-22 10:30:00,19.835982469879127,
2021-01-22 12:00:00,11.938349768479043,
2021-01-22 13:30:00,29.142194254126707,
2021-01-22 15:00:00,9.924340458582947,
2021-01-22 15:30:30,9.924340458582947,
2021-01-22 23:59:59,0.0,a
2021-01-25 00:00:00,35.01724483151918,
2021-01-25 10:00:00,66.81927777933106,
2021-01-25 10:30:00,51.53580165226083,
2021-01-25 12:00:00,61.19994639756317,
2021-01-25 13:30:00,57.83286125368204,
2021-01-25 15:00:00,62.80525913590327,
2021-01-25 15:30:30,62.80525913590327,
2021-01-25 23:59:59,49.34885416666589,c
2021-01-26 00:00:00,29.044676582563397,
2021-01-26 10:00:00,35.88345965689666,
2021-01-26 10:30:00,37.63204398187111,
2021-01-26 12:00:00,70.99022729021033,
2021-01-26 13:30:00,64.57798252921862,
2021-01-26 15:00:00,70.41797441228368,
2021-01-26 15:30:30,70.41797441228368,
2021-01-26 23:59:59,91.47481108125066,c
2021-01-27 00:00:00,133.63035912404848,
2021-01-27 10:00:00,125.71595733913671,
2021-01-27 10:30:00,108.78016202328263,
2021-01-27 12:00:00,134.36458743954933,
2021-01-27 13:30:00,122.53543337191843,
2021-01-27 15:00:00,145.87438612865287,
2021-01-27 15:30:30,145.87438612865287,
2021-01-27 23:59:59,147.78800213678505,c
2021-01-28 00:00:00,125.01504248421253,
2021-01-28 10:00:00,125.77988921127746,
2021-01-28 10:30:00,91.11668974085944,
2021-01-28 12:00:00,56.71440718733868,
2021-01-28 13:30:00,73.13418213826606,
2021-01-28 15:00:00,61.15500477744729,
2021-01-28 15:30:30,61.15500477744729,
2021-01-28 23:59:59,62.8460019165293,c
2021-01-29 00:00:00,65.90257511984714,
2021-01-29 10:00:00,33.36969041922441,
2021-01-29 10:30:00,56.72900512867841,
2021-01-29 12:00:00,71.26046453698154,
2021-01-29 13:30:00,95.54488339264799,
2021-01-29 15:00:00,126.05515626458379,
2021-01-29 15:30:30,126.05515626458379,
2021-01-29 23:59:59,62.9263884973534,e
2021-02-01 00:00:00,41.12201120865063,
2021-02-01 10:00:00,92.13953815432262,
2021-02-01 10:30:00,102.65604038700303,
2021-02-01 12:00:00,101.01398600915297,
2021-02-01 13:30:00,108.02048725053896,
2021-02-01 15:00:00,99.87081043655985,
2021-02-01 15:30:30,99.87081043655985,
2021-02-01 23:59:59,84.91459241066127,c
2021-02-02 00:00:00,66.42318787387967,
2021-02-02 10:00:00,68.39411688073847,
2021-02-02 10:30:00,53.56286328512476,
2021-02-02 12:00:00,51.887692433417214,
2021-02-02 13:30:00,49.31905052783429,
2021-02-02 15:00:00,45.28594445451938,
