date,AR_MIGRATION_2019_Q2,meta
2019-04-26 00:00:00,361.825697010518,
2019-04-26 10:00:00,366.57719831868644,
2019-04-26 10:30:00,366.31948719857354,
2019-04-26 12:00:00,345.0078459693011,
2019-04-26 13:30:00,346.6244083847688,
2019-04-26 15:00:00,346.6031356231489,
2019-04-26 15:30:30,346.6031356231489,
2019-04-26 23:59:59,350.6394358503233,w
2019-04-29 00:00:00,336.686095453593,
2019-04-29 10:00:00,322.9328025183253,
2019-04-29 10:30:00,321.85520749282625,
2019-04-29 12:00:00,330.7092374127586,
2019-04-29 13:30:00,323.2267071145023,
2019-04-29 15:00:00,315.145364347634,
2019-04-29 15:30:30,315.145364347634,
2019-04-29 23:59:59,314.9414739676281,c
2019-04-30 00:00:00,302.65685963216725,
2019-04-30 10:00:00,272.4977879931211,
2019-04-30 10:30:00,282.3867412514162,
2019-04-30 12:00:00,278.71755580415174,
2019-04-30 13:30:00,291.787502276994,
2019-04-30 15:00:00,282.38982306391006,
2019-04-30 15:30:30,282.38982306391006,
2019-04-30 23:59:59,277.13030412269126,c
2019-05-01 00:00:00,268.0357332107532,
2019-05-01 10:00:00,291.6630538105067,
2019-05-01 10:30:00,290.79156773640597,
2019-05-01 12:00:00,282.6114808997408,
2019-05-01 13:30:00,281.26993318399013,
2019-05-01 15:00:00,276.172745174163,
2019-05-01 15:30:30,276.172745174163,
2019-05-01 23:59:59,273.41883514172935,c
2019-05-02 00:00:00,270.06751458640133,
2019-05-02 10:00:00,256.68689019752895,
2019-05-02 10:30:00,258.9023472934736,
2019-05-02 12:00:00,257.81869939756535,
2019-05-02 13:30:00,234.2880256869261,
2019-05-02 15:00:00,237.7430901203966,
2019-05-02 15:30:30,237.7430901203966,
2019-05-02 23:59:59,223.49932248149312,c
2019-05-03 00:00:00,231.05947720726374,
2019-05-03 10:00:00,227.36057958042767,
2019-05-03 10:30:00,220.187002891934,
2019-05-03 12:00:00,223.89450577002415,
2019-05-03 13:30:00,230.33676516307824,
2019-05-03 15:00:00,223.91536774119515,
2019-05-03 15:30:30,223.91536774119515,
2019-05-03 23:59:59,219.71892474957167,w
2019-05-06 00:00:00,216.7755967672698,
2019-05-06 10:00:00,173.0639228779518,
2019-05-06 10:30:00,185.38087937231094,
2019-05-06 12:00:00,167.12479277559564,
2019-05-06 13:30:00,182.6777140172689,
2019-05-06 15:00:00,177.67791196007937,
2019-05-06 15:30:30,177.67791196007937,
2019-05-06 23:59:59,180.69947327433408,c
2019-05-07 00:00:00,149.12770536421772,
2019-05-07 10:00:00,153.251874831044,
2019-05-07 10:30:00,169.96038530345444,
2019-05-07 12:00:00,165.92118198774557,
2019-05-07 13:30:00,185.9094215660358,
2019-05-07 15:00:00,195.816126675551,
2019-05-07 15:30:30,195.816126675551,
2019-05-07 23:59:59,181.67467176950794,c
2019-05-08 00:00:00,185.0609337289688,
2019-05-08 10:00:00,172.17757214590677,
2019-05-08 10:30:00,164.34485606235808,
2019-05-08 12:00:00,165.81656692355764,
2019-05-08 13:30:00,146.33898826478332,
2019-05-08 15:00:00,161.32945384770778,
2019-05-08 15:30:30,161.32945384770778,
2019-05-08 23:59:59,150.81008399196753,c
