date,MSCI_FACT_USMV_HEDGED_2022_Q2,meta
2022-04-14 00:00:00,-205.93731796474964,
2022-04-14 10:00:00,-207.738031006401,
2022-04-14 10:30:00,-196.03374399453753,
2022-04-14 12:00:00,-196.13541462174067,
2022-04-14 13:30:00,-197.01313833384194,
2022-04-14 15:00:00,-201.57221936991493,
2022-04-14 15:30:30,-201.57221936991493,
2022-04-14 23:59:59,-199.53065776062982,c
2022-04-15 00:00:00,-199.53065776062982,
2022-04-15 10:00:00,-199.53065776062982,
2022-04-15 10:30:00,-199.53065776062982,
2022-04-15 12:00:00,-199.53065776062982,
2022-04-15 13:30:00,-199.53065776062982,
2022-04-15 15:00:00,-199.53065776062982,
2022-04-15 15:30:30,-199.53065776062982,
2022-04-15 23:59:59,-199.53065776062982,w
2022-04-18 00:00:00,-184.48432669903133,
2022-04-18 10:00:00,-212.69452404497753,
2022-04-18 10:30:00,-216.03381681776997,
2022-04-18 12:00:00,-205.5984662325628,
2022-04-18 13:30:00,-204.74199070271527,
2022-04-18 15:00:00,-203.98023850324654,
2022-04-18 15:30:30,-203.98023850324654,
2022-04-18 23:59:59,-208.7233170212702,c
2022-04-19 00:00:00,-197.80421956418735,
2022-04-19 10:00:00,-222.67797703399125,
2022-04-19 10:30:00,-216.21369440993885,
2022-04-19 12:00:00,-202.81052477052583,
2022-04-19 13:30:00,-200.74730169012713,
2022-04-19 15:00:00,-205.74870300775393,
2022-04-19 15:30:30,-205.74870300775393,
2022-04-19 23:59:59,-208.64638420096142,c
2022-04-20 00:00:00,-153.39060640737938,
2022-04-20 10:00:00,-137.23708710132308,
2022-04-20 10:30:00,-134.75459308485517,
2022-04-20 12:00:00,-131.81084644166313,
2022-04-20 13:30:00,-119.84640834400099,
2022-04-20 15:00:00,-118.1447094163971,
2022-04-20 15:30:30,-118.1447094163971,
2022-04-20 23:59:59,-121.27673671759544,c
2022-04-21 00:00:00,-107.21506595753489,
2022-04-21 10:00:00,-112.38350147361128,
2022-04-21 10:30:00,-100.39076624628346,
2022-04-21 12:00:00,-87.42506380422707,
2022-04-21 13:30:00,-91.05648269655369,
2022-04-21 15:00:00,-92.76453538100019,
2022-04-21 15:30:30,-92.76453538100019,
2022-04-21 23:59:59,-89.62564528146915,c
2022-04-22 00:00:00,-82.85504569047043,
2022-04-22 10:00:00,-86.29333285731605,
2022-04-22 10:30:00,-83.79744777018536,
2022-04-22 12:00:00,-80.50603503802157,
2022-04-22 13:30:00,-78.49014008725463,
2022-04-22 15:00:00,-71.19201956533438,
2022-04-22 15:30:30,-71.19201956533438,
2022-04-22 23:59:59,-74.80038119406463,w
2022-04-25 00:00:00,-68.45219835252058,
2022-04-25 10:00:00,-63.11439446144325,
2022-04-25 10:30:00,-58.876484329007184,
2022-04-25 12:00:00,-57.53256010879213,
2022-04-25 13:30:00,-54.09031284542498,
2022-04-25 15:00:00,-67.86242172290162,
2022-04-25 15:30:30,-67.86242172290162,
2022-04-25 23:59:59,-65.98146352734351,c
2022-04-26 00:00:00,-46.89004979633616,
2022-04-26 10:00:00,-20.670925415126177,
2022-04-26 10:30:00,-19.23594479623482,
2022-04-26 12:00:00,-19.543599323926742,
2022-04-26 13:30:00,-11.44619162883916,
2022-04-26 15:00:00,-1.1916100493908743,
2022-04-26 15:30:30,-1.1916100493908743,
2022-04-26 23:59:59,-1.0344267395127247,c
2022-04-27 00:00:00,-39.89363509487586,
