date,AS_MSCI_AS_DM_MIG_2022_Q1,meta
2022-01-05 00:00:00,-157.11530320698785,
2022-01-05 01:00:00,-156.55788914519508,
2022-01-05 02:30:00,-156.55788914519508,
2022-01-05 03:00:00,-156.55788914519508,
2022-01-05 18:30:00,-184.1177969422979,
2022-01-05 20:00:00,-103.88825085304961,
2022-01-05 23:00:00,-95.87896047000595,
2022-01-05 23:59:59,-127.73178607454611,c
2022-01-06 00:00:00,-146.9924224225233,
2022-01-06 01:00:00,-155.00518644323074,
2022-01-06 02:30:00,-155.00518644323074,
2022-01-06 03:00:00,-155.00518644323074,
2022-01-06 18:30:00,-109.10457169801066,
2022-01-06 20:00:00,-124.6417409378264,
2022-01-06 23:00:00,31.139099573763815,
2022-01-06 23:59:59,-16.741482840179742,c
2022-01-07 00:00:00,12.535139312200045,
2022-01-07 01:00:00,15.747524420150512,
2022-01-07 02:30:00,15.747524420150512,
2022-01-07 03:00:00,15.747524420150512,
2022-01-07 18:30:00,15.747524420150512,
2022-01-07 20:00:00,15.747524420150512,
2022-01-07 23:00:00,15.747524420150512,
2022-01-07 23:59:59,17.612597895825274,w
2022-01-10 00:00:00,64.22398764749505,
2022-01-10 01:00:00,64.22398764749505,
2022-01-10 02:30:00,64.22398764749505,
2022-01-10 03:00:00,64.22398764749505,
2022-01-10 18:30:00,33.33468233250096,
2022-01-10 20:00:00,38.665923086397925,
2022-01-10 23:00:00,75.24881759176606,
2022-01-10 23:59:59,-1.9894022262378712,c
2022-01-11 00:00:00,-13.68680390069494,
2022-01-11 01:00:00,5.2779049482005576,
2022-01-11 02:30:00,5.2779049482005576,
2022-01-11 03:00:00,5.2779049482005576,
2022-01-11 18:30:00,-32.707171479988574,
2022-01-11 20:00:00,65.83618723554628,
2022-01-11 23:00:00,168.41369757768643,
2022-01-11 23:59:59,200.48490470903653,c
2022-01-12 00:00:00,241.9754113193112,
2022-01-12 01:00:00,256.79150489983385,
2022-01-12 02:30:00,256.79150489983385,
2022-01-12 03:00:00,256.79150489983385,
2022-01-12 18:30:00,376.44120441919677,
2022-01-12 20:00:00,478.2841754357496,
2022-01-12 23:00:00,448.4148480017293,
