date,CAD_TSX_2022_Q2,meta
2022-05-20 00:00:00,-139.24242451092243,
2022-05-20 10:00:00,-144.80996321786972,
2022-05-20 10:30:00,-155.25839582048445,
2022-05-20 12:00:00,-130.70789032661048,
2022-05-20 13:30:00,-119.88346751078791,
2022-05-20 15:00:00,-108.58486304811493,
2022-05-20 15:30:30,-108.58486304811493,
2022-05-20 23:59:59,-147.4841789311614,w
2022-05-23 00:00:00,-146.7630129053465,
2022-05-23 10:00:00,-147.4067603032837,
2022-05-23 10:30:00,-147.09286025381732,
2022-05-23 12:00:00,-146.14690418879184,
2022-05-23 13:30:00,-146.41097678950962,
2022-05-23 15:00:00,-146.2910342895583,
2022-05-23 15:30:30,-146.2910342895583,
2022-05-23 23:59:59,-146.23217174236459,c
2022-05-24 00:00:00,-118.6673614621692,
2022-05-24 10:00:00,-48.6540064746647,
2022-05-24 10:30:00,-17.64685751324828,
2022-05-24 12:00:00,-8.234661712535626,
2022-05-24 13:30:00,-11.955940496644189,
2022-05-24 15:00:00,-12.070914797737146,
2022-05-24 15:30:30,-12.070914797737146,
2022-05-24 23:59:59,-5.73438205874163,c
2022-05-25 00:00:00,-19.47455259187143,
2022-05-25 10:00:00,-4.0590654197429785,
2022-05-25 10:30:00,-15.71556809540266,
2022-05-25 12:00:00,-29.50662231752267,
2022-05-25 13:30:00,-17.664903642845047,
2022-05-25 15:00:00,-44.731390770807934,
2022-05-25 15:30:30,-44.731390770807934,
2022-05-25 23:59:59,-36.29116120648632,c
2022-05-26 00:00:00,-30.35626167331111,
2022-05-26 10:00:00,-45.18413547441901,
2022-05-26 10:30:00,-68.22354650231034,
2022-05-26 12:00:00,-63.56312510474265,
2022-05-26 13:30:00,-107.6402247711327,
2022-05-26 15:00:00,-114.58237957242875,
2022-05-26 15:30:30,-114.58237957242875,
2022-05-26 23:59:59,-112.43939681178074,c
2022-05-27 00:00:00,-112.35514678560423,
2022-05-27 10:00:00,-143.08954228436698,
2022-05-27 10:30:00,-158.20746510483093,
2022-05-27 12:00:00,-158.00766063214303,
2022-05-27 13:30:00,-162.80463196100447,
2022-05-27 15:00:00,-160.54234655313496,
2022-05-27 15:30:30,-160.54234655313496,
2022-05-27 23:59:59,-166.58163479377174,w
2022-05-30 00:00:00,-166.58163479377174,
2022-05-30 10:00:00,-171.20767931686817,
2022-05-30 10:30:00,-173.49105816576355,
2022-05-30 12:00:00,-176.67558839262836,
2022-05-30 13:30:00,-177.9226385673902,
2022-05-30 15:00:00,-163.76147994455675,
2022-05-30 15:30:30,-163.76147994455675,
2022-05-30 23:59:59,-163.76147994455675,c
2022-05-31 00:00:00,-156.42972221023444,
2022-05-31 10:00:00,-216.51584582415387,
2022-05-31 10:30:00,-231.5465777848034,
2022-05-31 12:00:00,-258.9807324827997,
2022-05-31 13:30:00,-270.9178211726829,
2022-05-31 15:00:00,-269.63503216521656,
2022-05-31 15:30:30,-269.63503216521656,s
2022-05-31 23:59:59,-221.00501438890035,c
2022-06-01 00:00:00,-221.69080240521464,
2022-06-01 10:00:00,-214.53560542886237,
2022-06-01 10:30:00,-194.70830452744042,
2022-06-01 12:00:00,-144.96273699613437,
2022-06-01 13:30:00,-88.4915579238749,
2022-06-01 15:00:00,-95.67380352957287,
2022-06-01 15:30:30,-95.67380352957287,
2022-06-01 23:59:59,-66.27545816641384,c
2022-06-02 00:00:00,-66.11201618949951,
2022-06-02 10:00:00,-25.146105370037617,
2022-06-02 10:30:00,-15.517629175313687,
2022-06-02 12:00:00,-33.955138303075614,
2022-06-02 13:30:00,-34.332486350966406,
2022-06-02 15:00:00,-14.997550854263636,
2022-06-02 15:30:30,-14.997550854263636,
2022-06-02 23:59:59,-0.8723806760917796,c
2022-06-03 00:00:00,-1.3248417326643676,
2022-06-03 10:00:00,-24.640771130551457,
2022-06-03 10:30:00,-42.692356438107254,
2022-06-03 12:00:00,-25.39306491344996,
2022-06-03 13:30:00,11.826046819788075,
2022-06-03 15:00:00,-9.849512924046508,
2022-06-03 15:30:30,-9.849512924046508,
2022-06-03 23:59:59,0.0,a
2022-06-06 00:00:00,0.4518747635536329,
2022-06-06 10:00:00,-25.631906235053634,
2022-06-06 10:30:00,-36.95294497814007,
2022-06-06 12:00:00,-6.4470770692372525,
2022-06-06 13:30:00,-1.6423228458753556,
2022-06-06 15:00:00,-7.313173380694252,
2022-06-06 15:30:30,-7.313173380694252,
2022-06-06 23:59:59,-8.410969810805454,c
2022-06-07 00:00:00,-8.991527725620244,
2022-06-07 10:00:00,-20.830682416228456,
2022-06-07 10:30:00,-20.58422560986162,
2022-06-07 12:00:00,5.849473308855181,
2022-06-07 13:30:00,1.8303274174525086,
2022-06-07 15:00:00,-5.603761359517648,
2022-06-07 15:30:30,-5.603761359517648,u
2022-06-07 23:59:59,-17.12430910395051,c
2022-06-08 00:00:00,-17.26567998108669,
2022-06-08 10:00:00,-43.040776351918794,
2022-06-08 10:30:00,-37.560571347048835,
2022-06-08 12:00:00,-52.46544819865369,
2022-06-08 13:30:00,-56.94719725031143,
2022-06-08 15:00:00,-86.33532325044246,
2022-06-08 15:30:30,-86.33532325044246,
2022-06-08 23:59:59,-68.25701066332783,c
2022-06-09 00:00:00,-68.5192438096575,
2022-06-09 10:00:00,-82.41605100903337,
2022-06-09 10:30:00,-72.32996808779046,
2022-06-09 12:00:00,-78.11959755139162,
2022-06-09 13:30:00,-77.20003590916224,
2022-06-09 15:00:00,-63.01171163063316,
2022-06-09 15:30:30,-63.01171163063316,
2022-06-09 23:59:59,-61.9128637206619,c
2022-06-10 00:00:00,-62.47475404577301,
2022-06-10 10:00:00,-59.44752902731477,
2022-06-10 10:30:00,-36.35962371347284,
2022-06-10 12:00:00,-36.300010431782425,
2022-06-10 13:30:00,-56.963326481896615,
2022-06-10 15:00:00,-66.52133133799578,
2022-06-10 15:30:30,-66.52133133799578,
2022-06-10 23:59:59,-44.54175495074412,w
2022-06-13 00:00:00,-45.99382573019636,
2022-06-13 10:00:00,-63.17487758699997,
2022-06-13 10:30:00,-58.61503600855406,
2022-06-13 12:00:00,-47.01636804108114,
