date,AS_FTSE_DM_MIG_2022_Q1,meta
2022-01-07 00:00:00,625.9426850810703,
2022-01-07 01:00:00,630.0944148769927,
2022-01-07 02:30:00,630.0944148769927,
2022-01-07 03:00:00,630.0944148769927,
2022-01-07 18:30:00,630.0944148769927,
2022-01-07 20:00:00,630.0944148769927,
2022-01-07 23:00:00,630.0944148769927,
2022-01-07 23:59:59,631.3881281929723,w
2022-01-10 00:00:00,629.5435270934443,
2022-01-10 01:00:00,626.3943536663719,
2022-01-10 02:30:00,626.3943536663719,
2022-01-10 03:00:00,626.3943536663719,
2022-01-10 18:30:00,676.3635934032202,
2022-01-10 20:00:00,635.3084936465418,
2022-01-10 23:00:00,632.2359420500104,
2022-01-10 23:59:59,619.8292766215268,c
2022-01-11 00:00:00,606.3532492204645,
2022-01-11 01:00:00,601.1300456824765,
2022-01-11 02:30:00,601.1300456824765,
2022-01-11 03:00:00,601.1300456824765,
2022-01-11 18:30:00,572.4321557675873,
2022-01-11 20:00:00,574.1827396660192,
2022-01-11 23:00:00,631.3295656406024,
2022-01-11 23:59:59,617.5924324509933,c
2022-01-12 00:00:00,638.0710890101275,
2022-01-12 01:00:00,640.9474510946552,
2022-01-12 02:30:00,640.9474510946552,
2022-01-12 03:00:00,640.9474510946552,
2022-01-12 18:30:00,655.3222699498181,
2022-01-12 20:00:00,697.4352209535107,
2022-01-12 23:00:00,650.8801475174494,
2022-01-12 23:59:59,658.7412455084348,c
2022-01-13 00:00:00,673.727885170784,
2022-01-13 01:00:00,670.3834020454253,
2022-01-13 02:30:00,670.3834020454253,
2022-01-13 03:00:00,670.3834020454253,
2022-01-13 18:30:00,657.3216613270322,
2022-01-13 20:00:00,664.740056714383,
2022-01-13 23:00:00,715.9707453666131,
2022-01-13 23:59:59,702.4928063275349,c
2022-01-14 00:00:00,691.2369394572111,
2022-01-14 01:00:00,695.7233665787685,
2022-01-14 02:30:00,695.7233665787685,
2022-01-14 03:00:00,695.7233665787685,
2022-01-14 18:30:00,695.7233665787685,
2022-01-14 20:00:00,695.7233665787685,
2022-01-14 23:00:00,695.7233665787685,
2022-01-14 23:59:59,695.3527170741954,w
2022-01-17 00:00:00,678.0437503162368,
2022-01-17 01:00:00,680.2109761631048,
2022-01-17 02:30:00,680.2109761631048,
2022-01-17 03:00:00,680.2109761631048,
2022-01-17 18:30:00,677.6527723142074,
2022-01-17 20:00:00,726.2031339440753,
2022-01-17 23:00:00,726.2959314106945,
2022-01-17 23:59:59,717.2211454040437,c
2022-01-18 00:00:00,723.9646064851286,
2022-01-18 01:00:00,715.717568111389,
2022-01-18 02:30:00,715.717568111389,
2022-01-18 03:00:00,715.717568111389,
2022-01-18 18:30:00,709.6832244173775,
2022-01-18 20:00:00,662.9651428591533,
2022-01-18 23:00:00,640.189995983365,
2022-01-18 23:59:59,646.9065376707126,c
2022-01-19 00:00:00,625.2832885603545,
2022-01-19 01:00:00,618.5706680831197,
2022-01-19 02:30:00,618.5706680831197,
2022-01-19 03:00:00,618.5706680831197,
2022-01-19 18:30:00,647.0829187574143,
2022-01-19 20:00:00,678.4959428346258,
2022-01-19 23:00:00,712.176517668295,
2022-01-19 23:59:59,701.3322008580931,c
2022-01-20 00:00:00,677.5705462750157,
2022-01-20 01:00:00,678.82455723627,
2022-01-20 02:30:00,678.82455723627,
2022-01-20 03:00:00,678.82455723627,
2022-01-20 18:30:00,659.1736152100482,
2022-01-20 20:00:00,599.4639081846424,
2022-01-20 23:00:00,557.226358479656,
2022-01-20 23:59:59,571.3061220664385,c
2022-01-21 00:00:00,551.3471025287454,
2022-01-21 01:00:00,560.0399768354264,
2022-01-21 02:30:00,560.0399768354264,
2022-01-21 03:00:00,560.0399768354264,
2022-01-21 18:30:00,560.0399768354264,
2022-01-21 20:00:00,560.0399768354264,
2022-01-21 23:00:00,560.0399768354264,
2022-01-21 23:59:59,555.2622036755854,w
2022-01-24 00:00:00,541.576427380403,
2022-01-24 01:00:00,544.819566797772,
2022-01-24 02:30:00,544.819566797772,
2022-01-24 03:00:00,544.819566797772,
2022-01-24 18:30:00,603.9299610659975,
2022-01-24 20:00:00,500.7423152603183,
2022-01-24 23:00:00,438.31001242603026,
2022-01-24 23:59:59,446.446143246845,c
2022-01-25 00:00:00,416.73412769985254,
2022-01-25 01:00:00,415.50893060373147,
2022-01-25 02:30:00,415.50893060373147,
2022-01-25 03:00:00,415.50893060373147,
2022-01-25 18:30:00,416.1088027752241,
2022-01-25 20:00:00,401.60978867346586,
2022-01-25 23:00:00,419.56351418352943,
2022-01-25 23:59:59,412.85984211105136,c
2022-01-26 00:00:00,411.11020272431796,
2022-01-26 01:00:00,410.0387576742449,
2022-01-26 02:30:00,410.0387576742449,
2022-01-26 03:00:00,410.0387576742449,
2022-01-26 18:30:00,387.2859321249194,
2022-01-26 20:00:00,358.9462173093248,
2022-01-26 23:00:00,295.38889459115666,
2022-01-26 23:59:59,291.04593321762826,c
2022-01-27 00:00:00,322.22954488896056,
2022-01-27 01:00:00,319.6121779074767,
2022-01-27 02:30:00,319.6121779074767,
2022-01-27 03:00:00,319.6121779074767,
2022-01-27 18:30:00,263.33384461026543,
2022-01-27 20:00:00,269.10070417250364,
2022-01-27 23:00:00,267.6864189015568,
2022-01-27 23:59:59,245.17657474813456,c
2022-01-28 00:00:00,251.20566444201262,
2022-01-28 01:00:00,243.21335770937407,
2022-01-28 02:30:00,243.21335770937407,
2022-01-28 03:00:00,243.21335770937407,
2022-01-28 18:30:00,243.21335770937407,
2022-01-28 20:00:00,243.21335770937407,
2022-01-28 23:00:00,243.21335770937407,
2022-01-28 23:59:59,246.5104264393994,w
2022-01-31 00:00:00,270.10771380274053,
2022-01-31 01:00:00,273.31580830343347,
2022-01-31 02:30:00,273.31580830343347,
2022-01-31 03:00:00,273.31580830343347,
2022-01-31 18:30:00,309.66605632603586,
2022-01-31 20:00:00,259.8676574634059,
2022-01-31 23:00:00,214.1840980430306,
2022-01-31 23:59:59,215.123636087109,c
2022-02-01 00:00:00,245.92599788945205,
2022-02-01 01:00:00,245.81014868898393,
2022-02-01 02:30:00,245.81014868898393,
2022-02-01 03:00:00,245.81014868898393,
2022-02-01 18:30:00,258.3012512286712,
2022-02-01 20:00:00,274.130790590839,
2022-02-01 23:00:00,278.5971317075734,
2022-02-01 23:59:59,281.161729486645,c
2022-02-02 00:00:00,307.7279480609116,
2022-02-02 01:00:00,313.33410823265086,
2022-02-02 02:30:00,313.33410823265086,
2022-02-02 03:00:00,313.33410823265086,
2022-02-02 18:30:00,264.32636080267656,
2022-02-02 20:00:00,198.63897851827056,
2022-02-02 23:00:00,195.56760360707602,
2022-02-02 23:59:59,179.42987148768833,c
2022-02-03 00:00:00,182.63590858406548,
2022-02-03 01:00:00,176.93900687471267,
2022-02-03 02:30:00,176.93900687471267,
2022-02-03 03:00:00,176.93900687471267,
2022-02-03 18:30:00,164.26588736709124,
2022-02-03 20:00:00,182.3122834427333,
2022-02-03 23:00:00,186.41280618012178,
2022-02-03 23:59:59,191.83187875122456,c
2022-02-04 00:00:00,181.47812374072913,
2022-02-04 01:00:00,185.64576081247156,
2022-02-04 02:30:00,185.64576081247156,
2022-02-04 03:00:00,185.64576081247156,
2022-02-04 18:30:00,185.64576081247156,
2022-02-04 20:00:00,185.64576081247156,
2022-02-04 23:00:00,185.64576081247156,
2022-02-04 23:59:59,188.09387810217908,w
2022-02-07 00:00:00,222.29437513226554,
2022-02-07 01:00:00,219.38776390758318,
2022-02-07 02:30:00,219.38776390758318,
2022-02-07 03:00:00,219.38776390758318,
2022-02-07 18:30:00,229.3751403898704,
2022-02-07 20:00:00,164.93543609415468,
2022-02-07 23:00:00,135.7488487786805,
2022-02-07 23:59:59,158.22940410524296,c
2022-02-08 00:00:00,156.44624485157595,
2022-02-08 01:00:00,150.46399017319283,
2022-02-08 02:30:00,150.46399017319283,
2022-02-08 03:00:00,150.46399017319283,
2022-02-08 18:30:00,169.5726458280755,
2022-02-08 20:00:00,206.2176373539217,
2022-02-08 23:00:00,205.12334803816083,
2022-02-08 23:59:59,194.50876914872828,c
2022-02-09 00:00:00,193.29708875613545,
2022-02-09 01:00:00,191.87239606606641,
2022-02-09 02:30:00,191.87239606606641,
2022-02-09 03:00:00,191.87239606606641,
2022-02-09 18:30:00,201.1413345256138,
2022-02-09 20:00:00,205.6551641152401,
2022-02-09 23:00:00,211.74396511111996,
2022-02-09 23:59:59,200.51648093345267,c
2022-02-10 00:00:00,220.35297711628056,
2022-02-10 01:00:00,223.4367759543632,
2022-02-10 02:30:00,223.4367759543632,
2022-02-10 03:00:00,223.4367759543632,
2022-02-10 18:30:00,234.27458967743308,
2022-02-10 20:00:00,240.7230987784598,
2022-02-10 23:00:00,177.92352407422146,
2022-02-10 23:59:59,183.25962750554532,c
2022-02-11 00:00:00,171.31911922663954,
2022-02-11 01:00:00,171.90156166929893,
2022-02-11 02:30:00,171.90156166929893,
2022-02-11 03:00:00,171.90156166929893,
2022-02-11 18:30:00,171.90156166929893,
2022-02-11 20:00:00,171.90156166929893,
2022-02-11 23:00:00,171.90156166929893,
2022-02-11 23:59:59,159.15521860528628,w
2022-02-14 00:00:00,-7.140326496260798,
2022-02-14 01:00:00,-10.497995533129938,
2022-02-14 02:30:00,-10.497995533129938,
2022-02-14 03:00:00,-10.497995533129938,
2022-02-14 18:30:00,13.020462967303729,
2022-02-14 20:00:00,-54.487397473027954,
2022-02-14 23:00:00,-63.313996180470156,
2022-02-14 23:59:59,-59.76149217764896,c
2022-02-15 00:00:00,-58.04741467743719,
2022-02-15 01:00:00,-59.397187934081046,
2022-02-15 02:30:00,-59.397187934081046,
2022-02-15 03:00:00,-59.397187934081046,
2022-02-15 18:30:00,-37.85753173988826,
2022-02-15 20:00:00,-51.08373931127278,
2022-02-15 23:00:00,-55.92200394831116,
2022-02-15 23:59:59,-43.26377664141006,c
2022-02-16 00:00:00,1.4277680126821224,
2022-02-16 01:00:00,1.3238249429056737,
2022-02-16 02:30:00,1.3238249429056737,
2022-02-16 03:00:00,1.3238249429056737,
2022-02-16 18:30:00,-15.600660063320731,
2022-02-16 20:00:00,-62.62453862810503,
2022-02-16 23:00:00,-40.360094392361475,
2022-02-16 23:59:59,-43.7935332257635,c
2022-02-17 00:00:00,-48.55063420206653,
2022-02-17 01:00:00,-49.15006759564028,
2022-02-17 02:30:00,-49.15006759564028,
2022-02-17 03:00:00,-49.15006759564028,
2022-02-17 18:30:00,-13.594287198401048,
2022-02-17 20:00:00,20.94899897078227,
2022-02-17 23:00:00,23.273922196297633,
2022-02-17 23:59:59,38.078336069467184,c
2022-02-18 00:00:00,-5.242747523835703,
2022-02-18 01:00:00,-3.032760541979087,
2022-02-18 02:30:00,-3.032760541979087,
2022-02-18 03:00:00,-3.032760541979087,
2022-02-18 18:30:00,-3.032760541979087,
2022-02-18 20:00:00,-3.032760541979087,
2022-02-18 23:00:00,-3.032760541979087,
2022-02-18 23:59:59,0.0,a
2022-02-21 00:00:00,-9.719603386489894,
2022-02-21 01:00:00,-5.7713109108518665,
2022-02-21 02:30:00,-5.7713109108518665,
2022-02-21 03:00:00,-5.7713109108518665,
2022-02-21 18:30:00,-15.672051776031708,
2022-02-21 20:00:00,30.124481052244334,
2022-02-21 23:00:00,-22.833713613843088,
2022-02-21 23:59:59,-28.84755443416924,c
2022-02-22 00:00:00,-38.82201437713621,
2022-02-22 01:00:00,-33.149089960275546,
2022-02-22 02:30:00,-33.149089960275546,
2022-02-22 03:00:00,-33.149089960275546,
2022-02-22 18:30:00,63.35780462810743,
2022-02-22 20:00:00,111.5824676664177,
2022-02-22 23:00:00,121.04837556953572,
2022-02-22 23:59:59,107.48310592669333,c
2022-02-23 00:00:00,78.62224292050513,
2022-02-23 01:00:00,78.1813191511174,
2022-02-23 02:30:00,78.1813191511174,
2022-02-23 03:00:00,78.1813191511174,
2022-02-23 18:30:00,76.78440522557668,
2022-02-23 20:00:00,50.03689122729173,
2022-02-23 23:00:00,16.922655152245795,
2022-02-23 23:59:59,7.8146431360605675,c
2022-02-24 00:00:00,2.442217760884887,
2022-02-24 01:00:00,1.3634595198604416,
2022-02-24 02:30:00,1.3634595198604416,
2022-02-24 03:00:00,1.3634595198604416,
2022-02-24 18:30:00,65.48755503736726,
2022-02-24 20:00:00,87.58542383218497,
2022-02-24 23:00:00,105.3632247710396,
2022-02-24 23:59:59,121.65467833358736,c
2022-02-25 00:00:00,138.89191693956826,
2022-02-25 01:00:00,142.9018132629945,
2022-02-25 02:30:00,142.9018132629945,
2022-02-25 03:00:00,142.9018132629945,
2022-02-25 18:30:00,142.9018132629945,
2022-02-25 20:00:00,142.9018132629945,
2022-02-25 23:00:00,142.9018132629945,
2022-02-25 23:59:59,155.593915775668,w
2022-02-28 00:00:00,157.6416585109244,
2022-02-28 01:00:00,161.40052034761646,
2022-02-28 02:30:00,161.40052034761646,
2022-02-28 03:00:00,161.40052034761646,
2022-02-28 18:30:00,185.24712746403503,
2022-02-28 20:00:00,202.3058381342267,
2022-02-28 23:00:00,214.24158179621992,
2022-02-28 23:59:59,222.88618045767686,c
2022-03-01 00:00:00,243.08371061946247,
2022-03-01 01:00:00,240.24938547883283,
2022-03-01 02:30:00,240.24938547883283,
2022-03-01 03:00:00,240.24938547883283,
2022-03-01 18:30:00,264.95038848629173,
2022-03-01 20:00:00,266.13492176099265,
2022-03-01 23:00:00,275.8204494760434,
2022-03-01 23:59:59,313.66865120238964,c
2022-03-02 00:00:00,294.18347668349446,
2022-03-02 01:00:00,291.44141198651556,
2022-03-02 02:30:00,291.44141198651556,
2022-03-02 03:00:00,291.44141198651556,
2022-03-02 18:30:00,313.2802735958848,
2022-03-02 20:00:00,292.3758071841068,
2022-03-02 23:00:00,310.5990227161985,
2022-03-02 23:59:59,336.83119168029015,c
2022-03-03 00:00:00,321.8150160844811,
2022-03-03 01:00:00,323.96812069090146,
2022-03-03 02:30:00,323.96812069090146,
2022-03-03 03:00:00,323.96812069090146,
2022-03-03 18:30:00,322.18338141018324,
