date,MDIV_2022_Q3,meta
2022-08-12 00:00:00,-279.77212946324516,
2022-08-12 10:00:00,-303.01200688543986,
2022-08-12 10:30:00,-295.40762868032607,
2022-08-12 12:00:00,-299.4424231416656,
2022-08-12 13:30:00,-308.9862382608776,
2022-08-12 15:00:00,-320.4080671463121,
2022-08-12 15:30:30,-320.4080671463121,
2022-08-12 23:59:59,-328.23657120053076,w
2022-08-15 00:00:00,-312.7066282828082,
2022-08-15 10:00:00,-300.84086453426653,
2022-08-15 10:30:00,-289.46395257145423,
2022-08-15 12:00:00,-328.90051185144966,
2022-08-15 13:30:00,-341.5629196757618,
2022-08-15 15:00:00,-343.6981858388199,
2022-08-15 15:30:30,-343.6981858388199,
2022-08-15 23:59:59,-363.89739261078785,c
2022-08-16 00:00:00,-365.94000920816006,
2022-08-16 10:00:00,-344.254674431636,
2022-08-16 10:30:00,-332.3326922848223,
2022-08-16 12:00:00,-332.2403013674252,
2022-08-16 13:30:00,-348.76381596747797,
2022-08-16 15:00:00,-347.72471346162456,
2022-08-16 15:30:30,-347.72471346162456,
2022-08-16 23:59:59,-347.8639082116988,c
2022-08-17 00:00:00,-318.7090539129781,
2022-08-17 10:00:00,-286.7965325973887,
2022-08-17 10:30:00,-290.44689777142503,
2022-08-17 12:00:00,-268.74084955765466,
2022-08-17 13:30:00,-306.7427644688064,
2022-08-17 15:00:00,-324.5517608209525,
2022-08-17 15:30:30,-324.5517608209525,
2022-08-17 23:59:59,-319.776933388182,c
2022-08-18 00:00:00,-336.252331080831,
2022-08-18 10:00:00,-348.3290898546661,
2022-08-18 10:30:00,-357.6318874071103,
2022-08-18 12:00:00,-338.4623456811778,
2022-08-18 13:30:00,-331.6577289432398,
2022-08-18 15:00:00,-337.9235798816312,
2022-08-18 15:30:30,-337.9235798816312,
2022-08-18 23:59:59,-349.70393185398734,c
2022-08-19 00:00:00,-341.7764518423587,
2022-08-19 10:00:00,-318.96830027464785,
2022-08-19 10:30:00,-317.45821539819735,
2022-08-19 12:00:00,-304.0644872099174,
2022-08-19 13:30:00,-289.3080478346742,
2022-08-19 15:00:00,-283.4221270394296,
2022-08-19 15:30:30,-283.4221270394296,
2022-08-19 23:59:59,-288.36042466664594,w
2022-08-22 00:00:00,-250.9686305373457,
2022-08-22 10:00:00,-228.8389269952586,
2022-08-22 10:30:00,-204.19560376776917,
2022-08-22 12:00:00,-199.72201265994545,
2022-08-22 13:30:00,-188.06279479414616,
2022-08-22 15:00:00,-175.6578995644145,
2022-08-22 15:30:30,-175.6578995644145,
2022-08-22 23:59:59,-167.56700496542044,c
2022-08-23 00:00:00,-170.6300454561342,
2022-08-23 10:00:00,-195.29535385783856,
2022-08-23 10:30:00,-186.68465525828606,
2022-08-23 12:00:00,-181.28529063579026,
2022-08-23 13:30:00,-174.44931609668947,
2022-08-23 15:00:00,-178.87523990646787,
2022-08-23 15:30:30,-178.87523990646787,
2022-08-23 23:59:59,-173.3428677278148,c
2022-08-24 00:00:00,-166.23014695781785,
2022-08-24 10:00:00,-143.68217940523982,
2022-08-24 10:30:00,-154.1571846988586,
2022-08-24 12:00:00,-152.37034634123347,
2022-08-24 13:30:00,-133.53990709436357,
2022-08-24 15:00:00,-138.09248057652576,
2022-08-24 15:30:30,-138.09248057652576,
2022-08-24 23:59:59,-141.25805657631872,c
2022-08-25 00:00:00,-135.13960530525355,
2022-08-25 10:00:00,-164.1550153862231,
2022-08-25 10:30:00,-193.94738482309594,
2022-08-25 12:00:00,-188.6045336100592,
2022-08-25 13:30:00,-178.21422251916283,
2022-08-25 15:00:00,-179.64784383209553,
2022-08-25 15:30:30,-179.64784383209553,
2022-08-25 23:59:59,-194.19393300474167,c
2022-08-26 00:00:00,-199.0153071826221,
2022-08-26 10:00:00,-198.33675651328394,
2022-08-26 10:30:00,-166.00199459392934,
2022-08-26 12:00:00,-159.23327943968252,
2022-08-26 13:30:00,-171.0235445953649,
2022-08-26 15:00:00,-159.18565819939795,
2022-08-26 15:30:30,-159.18565819939795,
2022-08-26 23:59:59,-159.08134042558277,w
2022-08-29 00:00:00,-166.99634542771582,
2022-08-29 10:00:00,-140.0282328322055,
2022-08-29 10:30:00,-143.5320226175577,
2022-08-29 12:00:00,-140.16909022504979,
2022-08-29 13:30:00,-138.44344625708618,
2022-08-29 15:00:00,-136.3705382568669,
2022-08-29 15:30:30,-136.3705382568669,
2022-08-29 23:59:59,-105.45616093942908,c
2022-08-30 00:00:00,-118.39720728877091,
2022-08-30 10:00:00,-100.22683941855166,
2022-08-30 10:30:00,-96.21687909021284,
2022-08-30 12:00:00,-96.12360442052704,
2022-08-30 13:30:00,-69.4476817623322,
2022-08-30 15:00:00,-74.35325623490053,
2022-08-30 15:30:30,-74.35325623490053,
2022-08-30 23:59:59,-83.27363019071981,c
2022-08-31 00:00:00,-88.2282806958242,
2022-08-31 10:00:00,-61.33200351103096,
2022-08-31 10:30:00,-82.00075806568111,
2022-08-31 12:00:00,-78.33787545028281,
2022-08-31 13:30:00,-54.47302841141618,
2022-08-31 15:00:00,-42.731333060447014,
2022-08-31 15:30:30,-42.731333060447014,s
2022-08-31 23:59:59,-52.12271759290752,c
2022-09-01 00:00:00,-38.89308839674777,
2022-09-01 10:00:00,27.569561822394462,
2022-09-01 10:30:00,33.13539595959537,
2022-09-01 12:00:00,33.42618116569338,
