date,AS_MSCI_EM_HK_SC_2023_Q1,meta
2023-01-19 00:00:00,-532.263902550078,
2023-01-19 01:00:00,-531.5125684370227,
2023-01-19 02:30:00,-494.52426763258586,
2023-01-19 03:00:00,-532.4357514656392,
2023-01-19 18:30:00,-532.4357514656392,
2023-01-19 20:00:00,-532.4357514656392,
2023-01-19 23:00:00,-453.68181586368644,
2023-01-19 23:59:59,-453.7223525168323,c
2023-01-20 00:00:00,-432.559976477105,
2023-01-20 01:00:00,-457.49506719366013,
2023-01-20 02:30:00,-476.449057539123,
2023-01-20 03:00:00,-446.8698422629654,
2023-01-20 18:30:00,-446.8698422629654,
2023-01-20 20:00:00,-446.8698422629654,
2023-01-20 23:00:00,-446.8698422629654,
2023-01-20 23:59:59,-446.8639881868624,w
2023-01-23 00:00:00,-446.8639881868624,
2023-01-23 01:00:00,-446.8639881868624,
2023-01-23 02:30:00,-446.8639881868624,
2023-01-23 03:00:00,-446.8639881868624,
2023-01-23 18:30:00,-446.8639881868624,
2023-01-23 20:00:00,-446.8639881868624,
2023-01-23 23:00:00,-446.8639881868624,
2023-01-23 23:59:59,-446.8639881868624,c
2023-01-24 00:00:00,-446.8639881868624,
2023-01-24 01:00:00,-446.8639881868624,
2023-01-24 02:30:00,-446.8639881868624,
2023-01-24 03:00:00,-446.8639881868624,
2023-01-24 18:30:00,-446.8639881868624,
2023-01-24 20:00:00,-446.8639881868624,
2023-01-24 23:00:00,-446.8639881868624,
2023-01-24 23:59:59,-446.8639881868624,c
2023-01-25 00:00:00,-446.8639881868624,
2023-01-25 01:00:00,-446.8639881868624,
2023-01-25 02:30:00,-446.8639881868624,
2023-01-25 03:00:00,-446.8639881868624,
2023-01-25 18:30:00,-446.8639881868624,
2023-01-25 20:00:00,-446.8639881868624,
2023-01-25 23:00:00,-337.7357286697849,
2023-01-25 23:59:59,-337.7357286697849,c
2023-01-26 00:00:00,-338.8556171529087,
2023-01-26 01:00:00,-366.66999097811737,
2023-01-26 02:30:00,-334.3710183239443,
2023-01-26 03:00:00,-349.85211789306345,
2023-01-26 18:30:00,-349.85211789306345,
2023-01-26 20:00:00,-349.85211789306345,
2023-01-26 23:00:00,-449.58801256166373,
2023-01-26 23:59:59,-449.6067268717253,c
2023-01-27 00:00:00,-438.02507558664547,
2023-01-27 01:00:00,-414.58795611000846,
2023-01-27 02:30:00,-353.17764199922624,
2023-01-27 03:00:00,-372.02488870982387,
2023-01-27 18:30:00,-372.02488870982387,
2023-01-27 20:00:00,-372.02488870982387,
2023-01-27 23:00:00,-372.02488870982387,
2023-01-27 23:59:59,-372.0247515777333,w
2023-01-30 00:00:00,-413.7443183402284,
2023-01-30 01:00:00,-381.6471853200741,
2023-01-30 02:30:00,-360.5796765966743,
2023-01-30 03:00:00,-347.239970363984,
2023-01-30 18:30:00,-347.239970363984,
2023-01-30 20:00:00,-347.239970363984,
2023-01-30 23:00:00,-452.78942154732897,
2023-01-30 23:59:59,-452.82360174016867,c
2023-01-31 00:00:00,-413.6539451781645,
2023-01-31 01:00:00,-379.9286627005654,
2023-01-31 02:30:00,-340.69813452646275,
2023-01-31 03:00:00,-314.5761901182754,
2023-01-31 18:30:00,-314.5761901182754,
2023-01-31 20:00:00,-314.5761901182754,
2023-01-31 23:00:00,-322.20729665644205,
2023-01-31 23:59:59,-322.188652432472,c
2023-02-01 00:00:00,-340.0682250202117,
2023-02-01 01:00:00,-308.5656830886835,
2023-02-01 02:30:00,-204.3978660625235,
2023-02-01 03:00:00,-189.06307815494353,
2023-02-01 18:30:00,-189.06307815494353,
2023-02-01 20:00:00,-189.06307815494353,
2023-02-01 23:00:00,-178.1483145074747,
2023-02-01 23:59:59,-178.10029256987116,c
2023-02-02 00:00:00,-210.38440592310306,
2023-02-02 01:00:00,-244.93162680757246,
2023-02-02 02:30:00,-236.91886919171324,
2023-02-02 03:00:00,-227.35287497819778,
2023-02-02 18:30:00,-227.35287497819778,
2023-02-02 20:00:00,-227.35287497819778,
2023-02-02 23:00:00,-237.82468004978932,
2023-02-02 23:59:59,-237.7796351884484,c
2023-02-03 00:00:00,-215.63750394383104,
2023-02-03 01:00:00,-140.04888386553722,
2023-02-03 02:30:00,-134.96964738842806,
2023-02-03 03:00:00,-91.72453266586308,
2023-02-03 18:30:00,-91.72453266586308,
2023-02-03 20:00:00,-91.72453266586308,
2023-02-03 23:00:00,-91.72453266586308,
2023-02-03 23:59:59,-91.659230165412,w
2023-02-06 00:00:00,-58.28596349235761,
2023-02-06 01:00:00,-151.62703555635542,
2023-02-06 02:30:00,-141.196918185249,
2023-02-06 03:00:00,-149.12098856437828,
2023-02-06 18:30:00,-149.12098856437828,
2023-02-06 20:00:00,-149.12098856437828,
2023-02-06 23:00:00,-192.13367399467475,
2023-02-06 23:59:59,-192.1266332446768,c
2023-02-07 00:00:00,-193.14859560575164,
2023-02-07 01:00:00,-183.62345694144696,
2023-02-07 02:30:00,-185.00988897102533,
2023-02-07 03:00:00,-186.48715216642233,
2023-02-07 18:30:00,-186.48715216642233,
2023-02-07 20:00:00,-186.48715216642233,
2023-02-07 23:00:00,-192.64650128061317,
2023-02-07 23:59:59,-192.61607223609892,c
2023-02-08 00:00:00,-169.64927800904553,
2023-02-08 01:00:00,-183.17293381710135,
2023-02-08 02:30:00,-191.22837782560316,
2023-02-08 03:00:00,-168.77506475046428,
2023-02-08 18:30:00,-168.77506475046428,
2023-02-08 20:00:00,-168.77506475046428,
2023-02-08 23:00:00,-116.1904070256544,
2023-02-08 23:59:59,-116.16389226598835,c
2023-02-09 00:00:00,-131.52233449706824,
2023-02-09 01:00:00,-120.07096553313073,
2023-02-09 02:30:00,-54.583228209434765,
2023-02-09 03:00:00,-41.29541250865776,
2023-02-09 18:30:00,-41.29541250865776,
2023-02-09 20:00:00,-41.29541250865776,
2023-02-09 23:00:00,-0.03355796843271719,
2023-02-09 23:59:59,0.0,a
2023-02-10 00:00:00,-5.6555952142339265,
2023-02-10 01:00:00,-16.106380856883504,
2023-02-10 02:30:00,17.846740014738202,
2023-02-10 03:00:00,-12.2197184108162,
2023-02-10 18:30:00,-12.2197184108162,
2023-02-10 20:00:00,-12.2197184108162,
2023-02-10 23:00:00,-12.2197184108162,
2023-02-10 23:59:59,-12.2197184108162,w
2023-02-13 00:00:00,60.258186022354494,
2023-02-13 01:00:00,84.61412741070404,
2023-02-13 02:30:00,83.66831242592559,
2023-02-13 03:00:00,112.83531062294196,
2023-02-13 18:30:00,112.83531062294196,
2023-02-13 20:00:00,112.83531062294196,
2023-02-13 23:00:00,-32.988777133079225,
2023-02-13 23:59:59,-32.984403513699704,c
2023-02-14 00:00:00,-78.83276779775997,
2023-02-14 01:00:00,-60.18705677543011,
2023-02-14 02:30:00,-107.0905686607141,
2023-02-14 03:00:00,-112.57402761900329,
2023-02-14 18:30:00,-112.57402761900329,
2023-02-14 20:00:00,-112.57402761900329,
2023-02-14 23:00:00,-110.65584168591835,
2023-02-14 23:59:59,-110.65753387952242,c
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
0,-110.65753387952242,
2023-02-15 00:00:00,-118.08848543313019,
2023-02-15 01:00:00,-72.28540921530396,
2023-02-15 02:30:00,-140.39683181827988,
2023-02-15 03:00:00,-130.94654121697175,
2023-02-15 18:30:00,-130.94654121697175,
2023-02-15 20:00:00,-130.94654121697175,
2023-02-15 23:00:00,-36.54493827908004,
2023-02-15 23:59:59,-36.43234496317302,c
2023-02-16 00:00:00,-23.2438313376432,
2023-02-16 01:00:00,-64.83177025471764,
2023-02-16 02:30:00,-90.19539592358922,
2023-02-16 03:00:00,-122.6825909277326,
2023-02-16 18:30:00,-122.6825909277326,
2023-02-16 20:00:00,-122.6825909277326,
2023-02-16 23:00:00,-134.75500116239317,
2023-02-16 23:59:59,-134.7272997053777,c
2023-02-17 00:00:00,-138.30464390000986,
2023-02-17 01:00:00,-126.34152249325354,
2023-02-17 02:30:00,-152.35456438086803,
2023-02-17 03:00:00,-149.95880993059828,
2023-02-17 18:30:00,-149.95880993059828,
2023-02-17 20:00:00,-149.95880993059828,
2023-02-17 23:00:00,-149.95880993059828,
2023-02-17 23:59:59,-149.93862111959396,w
2023-02-20 00:00:00,-103.98110175246103,
2023-02-20 01:00:00,-135.47906260930336,
2023-02-20 02:30:00,-140.872963127094,
2023-02-20 03:00:00,-131.80618441824257,
2023-02-20 18:30:00,-131.80618441824257,
2023-02-20 20:00:00,-131.80618441824257,
2023-02-20 23:00:00,-217.8785228601705,
2023-02-20 23:59:59,-218.08455607518923,c
2023-02-21 00:00:00,-214.38353095929378,
2023-02-21 01:00:00,-197.74019785046931,
2023-02-21 02:30:00,-192.21791459494983,
2023-02-21 03:00:00,-172.30644976760462,
2023-02-21 18:30:00,-172.30644976760462,
2023-02-21 20:00:00,-172.30644976760462,
2023-02-21 23:00:00,-138.5809706371359,
2023-02-21 23:59:59,-138.49149945654096,c
2023-02-22 00:00:00,-162.75023109540552,
2023-02-22 01:00:00,-166.86897774608232,
2023-02-22 02:30:00,-170.56779178616247,
2023-02-22 03:00:00,-170.9876124374293,
2023-02-22 18:30:00,-170.9876124374293,
2023-02-22 20:00:00,-170.9876124374293,
2023-02-22 23:00:00,-99.01177386929555,
2023-02-22 23:59:59,-99.02591476723654,c
2023-02-23 00:00:00,-106.10443096117024,
2023-02-23 01:00:00,-113.78543801913389,
2023-02-23 02:30:00,-106.863695987435,
2023-02-23 03:00:00,-143.53017403649002,
2023-02-23 18:30:00,-143.53017403649002,
2023-02-23 20:00:00,-143.53017403649002,
2023-02-23 23:00:00,-71.30812212199868,
2023-02-23 23:59:59,-71.3411706137071,c
2023-02-24 00:00:00,-64.57700845685537,
2023-02-24 01:00:00,-81.2378666545967,
2023-02-24 02:30:00,-64.70628345082326,
2023-02-24 03:00:00,-63.701296043772174,
2023-02-24 18:30:00,-63.701296043772174,
2023-02-24 20:00:00,-63.701296043772174,
2023-02-24 23:00:00,-63.701296043772174,
2023-02-24 23:59:59,-63.69332813805141,w
2023-02-27 00:00:00,-3.516307550734439,
2023-02-27 01:00:00,-39.39044910899895,
2023-02-27 02:30:00,-65.22083496875922,
2023-02-27 03:00:00,-65.88814116701462,
2023-02-27 18:30:00,-65.88814116701462,
2023-02-27 20:00:00,-65.88814116701462,
2023-02-27 23:00:00,-87.23024530441404,
2023-02-27 23:59:59,-87.31312515779388,c
2023-02-28 00:00:00,-47.9043127963663,
2023-02-28 01:00:00,-28.5079530311786,
2023-02-28 02:30:00,33.967929879459575,
2023-02-28 03:00:00,58.68043356134416,
2023-02-28 18:30:00,58.68043356134416,
2023-02-28 20:00:00,58.68043356134416,
2023-02-28 23:00:00,46.96721043291848,
2023-02-28 23:59:59,47.088591341212805,e
2023-03-01 00:00:00,18.6700573089679,
2023-03-01 01:00:00,21.67096515087212,
2023-03-01 02:30:00,2.9105012210110885,
2023-03-01 03:00:00,-12.15338910762813,
2023-03-01 18:30:00,-12.15338910762813,
2023-03-01 20:00:00,-12.15338910762813,
2023-03-01 23:00:00,-65.22984604745864,
2023-03-01 23:59:59,-65.2219195251613,c
2023-03-02 00:00:00,-43.13681130462248,
2023-03-02 01:00:00,-54.798088467223124,
2023-03-02 02:30:00,-19.599464528095098,
2023-03-02 03:00:00,-2.316415888247036,
2023-03-02 18:30:00,-2.316415888247036,
2023-03-02 20:00:00,-2.316415888247036,
2023-03-02 23:00:00,-163.74498934799777,
2023-03-02 23:59:59,-163.7368646309952,c
2023-03-03 00:00:00,-178.9546252860174,
2023-03-03 01:00:00,-128.0772116830183,
2023-03-03 02:30:00,-115.43835349955236,
2023-03-03 03:00:00,-106.85206106126117,
2023-03-03 18:30:00,-106.85206106126117,
2023-03-03 20:00:00,-106.85206106126117,
2023-03-03 23:00:00,-106.85206106126117,
2023-03-03 23:59:59,-106.84862815079242,w
2023-03-06 00:00:00,-137.9524848135747,
2023-03-06 01:00:00,-172.40921180920137,
2023-03-06 02:30:00,-178.8037351006592,
2023-03-06 03:00:00,-161.47769506237063,
2023-03-06 18:30:00,-161.47769506237063,
2023-03-06 20:00:00,-161.47769506237063,
2023-03-06 23:00:00,-287.7746279884162,
2023-03-06 23:59:59,-287.7734999848826,c
2023-03-07 00:00:00,-305.4660312295912,
2023-03-07 01:00:00,-270.8346969100222,
2023-03-07 02:30:00,-311.03204465117744,
2023-03-07 03:00:00,-299.8357747970407,
2023-03-07 18:30:00,-299.8357747970407,
2023-03-07 20:00:00,-299.8357747970407,
2023-03-07 23:00:00,-291.35524350811744,
2023-03-07 23:59:59,-291.3530787022575,c
2023-03-08 00:00:00,-279.7040354199263,
2023-03-08 01:00:00,-268.73297948610264,
2023-03-08 02:30:00,-251.0649055238212,
2023-03-08 03:00:00,-216.71645465596208,
2023-03-08 18:30:00,-216.71645465596208,
2023-03-08 20:00:00,-216.71645465596208,
2023-03-08 23:00:00,-219.92341675701425,
2023-03-08 23:59:59,-219.92142448083735,c
2023-03-09 00:00:00,-199.44954366008582,
2023-03-09 01:00:00,-196.31259080212405,
2023-03-09 02:30:00,-217.5117885293553,
2023-03-09 03:00:00,-189.41492087178094,
2023-03-09 18:30:00,-189.41492087178094,
2023-03-09 20:00:00,-189.41492087178094,
2023-03-09 23:00:00,-207.9320825005044,
2023-03-09 23:59:59,-207.9277922236787,c
2023-03-10 00:00:00,-266.78337651042074,
2023-03-10 01:00:00,-254.01433460602163,
2023-03-10 02:30:00,-294.5259218933209,
2023-03-10 03:00:00,-250.36586395208943,
2023-03-10 18:30:00,-250.36586395208943,
2023-03-10 20:00:00,-250.36586395208943,
2023-03-10 23:00:00,-250.36586395208943,
2023-03-10 23:59:59,-250.3578406236703,w
2023-03-13 00:00:00,-250.3578406236703,
2023-03-13 01:00:00,-250.3578406236703,
2023-03-13 02:30:00,-250.3578406236703,
2023-03-13 03:00:00,-250.3578406236703,
2023-03-13 18:30:00,-250.3578406236703,
2023-03-13 20:00:00,-250.3578406236703,
2023-03-13 23:00:00,-250.3578406236703,
2023-03-13 23:59:59,-250.3578406236703,c
2023-03-14 00:00:00,-250.3578406236703,
2023-03-14 01:00:00,-250.3578406236703,
2023-03-14 02:30:00,-250.3578406236703,
2023-03-14 03:00:00,-250.3578406236703,
2023-03-14 18:30:00,-250.3578406236703,
2023-03-14 20:00:00,-250.3578406236703,
2023-03-14 23:00:00,-250.3578406236703,
2023-03-14 23:59:59,-250.3578406236703,c
2023-03-15 00:00:00,-250.3578406236703,
2023-03-15 01:00:00,-250.3578406236703,
2023-03-15 02:30:00,-250.3578406236703,
2023-03-15 03:00:00,-250.3578406236703,
2023-03-15 18:30:00,-250.3578406236703,
2023-03-15 20:00:00,-250.3578406236703,
2023-03-15 23:00:00,-250.3578406236703,
2023-03-15 23:59:59,-250.3578406236703,c
2023-03-16 00:00:00,-250.3578406236703,
2023-03-16 01:00:00,-250.3578406236703,
2023-03-16 02:30:00,-250.3578406236703,
2023-03-16 03:00:00,-250.3578406236703,
2023-03-16 18:30:00,-250.3578406236703,
2023-03-16 20:00:00,-250.3578406236703,
2023-03-16 23:00:00,-250.3578406236703,
2023-03-16 23:59:59,-250.3578406236703,c
2023-03-17 00:00:00,-250.3578406236703,
2023-03-17 01:00:00,-250.3578406236703,
2023-03-17 02:30:00,-250.3578406236703,
2023-03-17 03:00:00,-250.3578406236703,
2023-03-17 18:30:00,-250.3578406236703,
2023-03-17 20:00:00,-250.3578406236703,
2023-03-17 23:00:00,-250.3578406236703,
2023-03-17 23:59:59,-250.3578406236703,w
2023-03-20 00:00:00,-250.3578406236703,
2023-03-20 01:00:00,-250.3578406236703,
2023-03-20 02:30:00,-250.3578406236703,
2023-03-20 03:00:00,-250.3578406236703,
2023-03-20 18:30:00,-250.3578406236703,
2023-03-20 20:00:00,-250.3578406236703,
2023-03-20 23:00:00,-250.3578406236703,
2023-03-20 23:59:59,-250.3578406236703,c
2023-03-21 00:00:00,-250.3578406236703,
2023-03-21 01:00:00,-250.3578406236703,
2023-03-21 02:30:00,-250.3578406236703,
2023-03-21 03:00:00,-250.3578406236703,
2023-03-21 18:30:00,-250.3578406236703,
2023-03-21 20:00:00,-250.3578406236703,
2023-03-21 23:00:00,-250.3578406236703,
2023-03-21 23:59:59,-250.3578406236703,c
2023-03-22 00:00:00,-250.3578406236703,
2023-03-22 01:00:00,-250.3578406236703,
2023-03-22 02:30:00,-250.3578406236703,
2023-03-22 03:00:00,-250.3578406236703,
2023-03-22 18:30:00,-250.3578406236703,
2023-03-22 20:00:00,-250.3578406236703,
2023-03-22 23:00:00,-250.3578406236703,
2023-03-22 23:59:59,-250.3578406236703,c
2023-03-23 00:00:00,-250.3578406236703,
2023-03-23 01:00:00,-250.3578406236703,
2023-03-23 02:30:00,-250.3578406236703,
2023-03-23 03:00:00,-250.3578406236703,
2023-03-23 18:30:00,-250.3578406236703,
2023-03-23 20:00:00,-250.3578406236703,
2023-03-23 23:00:00,-250.3578406236703,
2023-03-23 23:59:59,-250.3578406236703,c
2023-03-24 00:00:00,-250.3578406236703,
2023-03-24 01:00:00,-250.3578406236703,
2023-03-24 02:30:00,-250.3578406236703,
2023-03-24 03:00:00,-250.3578406236703,
2023-03-24 18:30:00,-250.3578406236703,
2023-03-24 20:00:00,-250.3578406236703,
2023-03-24 23:00:00,-250.3578406236703,
2023-03-24 23:59:59,-250.3578406236703,w
2023-03-27 00:00:00,-250.3578406236703,
2023-03-27 01:00:00,-250.3578406236703,
2023-03-27 02:30:00,-250.3578406236703,
2023-03-27 03:00:00,-250.3578406236703,
2023-03-27 18:30:00,-250.3578406236703,
2023-03-27 20:00:00,-250.3578406236703,
2023-03-27 23:00:00,-250.3578406236703,
2023-03-27 23:59:59,-250.3578406236703,c
2023-03-28 00:00:00,-250.3578406236703,
2023-03-28 01:00:00,-250.3578406236703,
2023-03-28 02:30:00,-250.3578406236703,
2023-03-28 03:00:00,-250.3578406236703,
2023-03-28 18:30:00,-250.3578406236703,
2023-03-28 20:00:00,-250.3578406236703,
2023-03-28 23:00:00,-250.3578406236703,
2023-03-28 23:59:59,-250.3578406236703,c
