date,BRL_WT_2022_Q4,meta
2022-10-14 15:00:00,234.4481740385404,
2022-10-14 15:30:30,234.4481740385404,
2022-10-14 23:59:59,217.9517848667556,w
2022-10-17 00:00:00,195.61088993483418,
2022-10-17 10:00:00,214.76146674305437,
2022-10-17 10:30:00,204.30900525969946,
2022-10-17 12:00:00,191.58360438644922,
2022-10-17 13:30:00,203.20625427227014,
2022-10-17 15:00:00,187.3847460157981,
2022-10-17 15:30:30,187.3847460157981,
2022-10-17 23:59:59,201.2641545391716,c
2022-10-18 00:00:00,161.796209434538,
2022-10-18 10:00:00,148.04041941062087,
2022-10-18 10:30:00,171.57552871995222,
2022-10-18 12:00:00,192.40104934040983,
2022-10-18 13:30:00,171.44669135227514,
2022-10-18 15:00:00,181.7540212312715,
2022-10-18 15:30:30,181.7540212312715,
2022-10-18 23:59:59,178.00354046778693,c
2022-10-19 00:00:00,180.55270642826827,
2022-10-19 10:00:00,205.67681688564426,
2022-10-19 10:30:00,190.53981844732334,
2022-10-19 12:00:00,199.05145651155544,
2022-10-19 13:30:00,209.8375691780284,
2022-10-19 15:00:00,214.99890029702829,
2022-10-19 15:30:30,214.99890029702829,
2022-10-19 23:59:59,202.83425723082155,c
2022-10-20 00:00:00,191.6274564452683,
2022-10-20 10:00:00,191.22967180347723,
2022-10-20 10:30:00,170.72983258069507,
2022-10-20 12:00:00,177.1036968765302,
2022-10-20 13:30:00,183.45966415729026,
2022-10-20 15:00:00,198.99774814810644,
2022-10-20 15:30:30,198.99774814810644,
2022-10-20 23:59:59,233.39337374193337,e
2022-10-21 00:00:00,235.220289508105,
2022-10-21 10:00:00,185.9847400071194,
2022-10-21 10:30:00,176.654223252875,
2022-10-21 12:00:00,144.7379542534777,
2022-10-21 13:30:00,124.10911900212204,
2022-10-21 15:00:00,117.203341141907,
2022-10-21 15:30:30,117.203341141907,
2022-10-21 23:59:59,145.98498709195064,w
2022-10-24 00:00:00,159.83185093136672,
2022-10-24 10:00:00,198.7212016593121,
2022-10-24 10:30:00,204.43638299723898,
2022-10-24 12:00:00,207.6988253193772,
2022-10-24 13:30:00,248.75227932309417,
2022-10-24 15:00:00,237.55488979469374,
2022-10-24 15:30:30,237.55488979469374,
2022-10-24 23:59:59,227.8526598351441,c
2022-10-25 00:00:00,231.71284151279815,
2022-10-25 10:00:00,217.41913301716886,
2022-10-25 10:30:00,198.80938461877895,
2022-10-25 12:00:00,182.69121951731768,
2022-10-25 13:30:00,195.8118766518969,
2022-10-25 15:00:00,221.16371011683987,
2022-10-25 15:30:30,221.16371011683987,
2022-10-25 23:59:59,231.9720819545696,c
2022-10-26 00:00:00,253.84195956139,
2022-10-26 10:00:00,290.55032489186124,
2022-10-26 10:30:00,273.1668406323761,
2022-10-26 12:00:00,250.97197206613464,
2022-10-26 13:30:00,276.7618561056456,
2022-10-26 15:00:00,299.4013088257316,
2022-10-26 15:30:30,299.4013088257316,
2022-10-26 23:59:59,278.47562318568,c
2022-10-27 00:00:00,300.5304976689272,
2022-10-27 10:00:00,295.6282298071351,
2022-10-27 10:30:00,277.001860870218,
2022-10-27 12:00:00,290.94865963508664,
2022-10-27 13:30:00,278.8394262571228,
2022-10-27 15:00:00,286.7906886638275,
2022-10-27 15:30:30,286.7906886638275,
2022-10-27 23:59:59,295.40820535052217,c
2022-10-28 00:00:00,333.0572910610299,
2022-10-28 10:00:00,322.9141946989512,
2022-10-28 10:30:00,338.3863879654582,
2022-10-28 12:00:00,345.5350620586428,
2022-10-28 13:30:00,339.0438534380987,
2022-10-28 15:00:00,327.2086146678189,
2022-10-28 15:30:30,327.2086146678189,
2022-10-28 23:59:59,323.4882223649897,w
2022-10-31 00:00:00,357.5012535025103,
2022-10-31 10:00:00,227.5894847830341,
2022-10-31 10:30:00,223.3504860727012,
2022-10-31 12:00:00,271.0174451452608,
2022-10-31 13:30:00,275.49696337075875,
2022-10-31 15:00:00,222.36612695334316,
2022-10-31 15:30:30,222.36612695334316,
2022-10-31 23:59:59,286.4356462575606,c
2022-11-01 00:00:00,247.41256385821134,
2022-11-01 10:00:00,285.1759068671686,
2022-11-01 10:30:00,262.63614808454304,
2022-11-01 12:00:00,228.08796702933978,
2022-11-01 13:30:00,246.26562913912858,
2022-11-01 15:00:00,227.90993717440278,
2022-11-01 15:30:30,227.90993717440278,
2022-11-01 23:59:59,265.00173249108866,c
2022-11-02 00:00:00,265.00173249108866,
2022-11-02 10:00:00,265.00173249108866,
2022-11-02 10:30:00,265.00173249108866,
2022-11-02 12:00:00,265.00173249108866,
2022-11-02 13:30:00,265.00173249108866,
2022-11-02 15:00:00,265.00173249108866,
2022-11-02 15:30:30,265.00173249108866,
2022-11-02 23:59:59,265.00173249108866,c
2022-11-03 00:00:00,321.33680939274564,
2022-11-03 10:00:00,319.9711607882391,
2022-11-03 10:30:00,290.3617165025544,
2022-11-03 12:00:00,283.8150832982651,
2022-11-03 13:30:00,309.13211680480936,
2022-11-03 15:00:00,318.99593185361755,
2022-11-03 15:30:30,318.99593185361755,
2022-11-03 23:59:59,331.32960046017524,c
