date,AS_HSI_2022_Q1,meta
2022-01-21 00:00:00,202.73707212039335,
2022-01-21 01:00:00,213.25030462489553,
2022-01-21 02:30:00,256.4195841367268,
2022-01-21 03:00:00,256.134703516572,
2022-01-21 18:30:00,256.134703516572,
2022-01-21 20:00:00,256.134703516572,
2022-01-21 23:00:00,256.134703516572,
2022-01-21 23:59:59,248.21355817087715,w
2022-01-24 00:00:00,99.80179145890406,
2022-01-24 01:00:00,114.4797228859345,
2022-01-24 02:30:00,87.54563957885534,
2022-01-24 03:00:00,81.15828846854106,
2022-01-24 18:30:00,81.15828846854106,
2022-01-24 20:00:00,81.15828846854106,
2022-01-24 23:00:00,195.44428542903643,
2022-01-24 23:59:59,181.84166016022323,c
2022-01-25 00:00:00,66.86575775882807,
2022-01-25 01:00:00,82.09189682578267,
2022-01-25 02:30:00,29.21741243179258,
2022-01-25 03:00:00,58.68646422177062,
2022-01-25 18:30:00,58.68646422177062,
2022-01-25 20:00:00,58.68646422177062,
2022-01-25 23:00:00,7.6343253990824,
2022-01-25 23:59:59,8.66757287483938,c
2022-01-26 00:00:00,5.861796236926011,
2022-01-26 01:00:00,-15.124387621625146,
2022-01-26 02:30:00,0.09948518382793736,
2022-01-26 03:00:00,7.19436051924049,
2022-01-26 18:30:00,7.19436051924049,
2022-01-26 20:00:00,7.19436051924049,
2022-01-26 23:00:00,-85.13456901141853,
2022-01-26 23:59:59,-82.48609001870955,c
2022-01-27 00:00:00,-205.17223551388201,
2022-01-27 01:00:00,-198.06172234842506,
2022-01-27 02:30:00,-180.06326117582262,
2022-01-27 03:00:00,-161.4945097136358,
2022-01-27 18:30:00,-161.4945097136358,
2022-01-27 20:00:00,-161.4945097136358,
2022-01-27 23:00:00,-219.10283115728475,
2022-01-27 23:59:59,-221.709154214122,c
2022-01-28 00:00:00,-245.0020026596601,
2022-01-28 01:00:00,-247.25284303799572,
2022-01-28 02:30:00,-214.13606871084744,
2022-01-28 03:00:00,-222.99650588958798,
2022-01-28 18:30:00,-222.99650588958798,
2022-01-28 20:00:00,-222.99650588958798,
2022-01-28 23:00:00,-222.99650588958798,
2022-01-28 23:59:59,-195.6891287282358,w
2022-01-31 00:00:00,-55.302721140863014,
2022-01-31 01:00:00,-55.302721140863014,
2022-01-31 02:30:00,-55.302721140863014,
