date,ICLN_HEDGED_2022_Q2,meta
2022-04-01 15:00:00,7.090299635215601,
2022-04-01 15:30:30,7.090299635215601,
2022-04-01 23:59:59,20.56054404835701,w
2022-04-04 00:00:00,26.79702748649518,
2022-04-04 10:00:00,62.6162484023124,
2022-04-04 10:30:00,91.08679327183565,
2022-04-04 12:00:00,109.49719764459331,
2022-04-04 13:30:00,115.98177083078227,
2022-04-04 15:00:00,125.03705166986585,
2022-04-04 15:30:30,125.03705166986585,
2022-04-04 23:59:59,125.55119401685495,c
2022-04-05 00:00:00,127.48401837907234,
2022-04-05 10:00:00,120.62106574315528,
2022-04-05 10:30:00,112.96571406387488,
2022-04-05 12:00:00,86.6666549348712,
2022-04-05 13:30:00,91.37454620498816,
2022-04-05 15:00:00,81.3526501104176,
2022-04-05 15:30:30,81.3526501104176,
2022-04-05 23:59:59,71.35808907669484,c
2022-04-06 00:00:00,61.07581006483336,
2022-04-06 10:00:00,69.105617609634,
2022-04-06 10:30:00,48.02688458063006,
2022-04-06 12:00:00,58.13561459146341,
2022-04-06 13:30:00,54.643929649008314,
2022-04-06 15:00:00,56.87108460653325,
2022-04-06 15:30:30,56.87108460653325,
2022-04-06 23:59:59,62.824570689481504,c
2022-04-07 00:00:00,64.11727399307688,
2022-04-07 10:00:00,50.41242282516559,
2022-04-07 10:30:00,44.75414033603172,
2022-04-07 12:00:00,16.33058749478956,
2022-04-07 13:30:00,3.628101059062282,
2022-04-07 15:00:00,10.16562501084904,
2022-04-07 15:30:30,10.16562501084904,
2022-04-07 23:59:59,13.157708173726004,c
2022-04-08 00:00:00,6.39221219275395,
2022-04-08 10:00:00,-5.550320819260677,
2022-04-08 10:30:00,-42.06876950545609,
2022-04-08 12:00:00,-29.871463494334616,
2022-04-08 13:30:00,-24.862159442794322,
2022-04-08 15:00:00,-18.808609467152756,
2022-04-08 15:30:30,-18.808609467152756,A
2022-04-08 23:59:59,-31.389695547973115,w
2022-04-11 00:00:00,-17.044988638540108,
2022-04-11 10:00:00,46.58548129474719,
2022-04-11 10:30:00,62.21577000566522,
2022-04-11 12:00:00,29.94684089676738,
2022-04-11 13:30:00,25.03856679474215,
2022-04-11 15:00:00,34.47805586406787,
2022-04-11 15:30:30,34.47805586406787,
2022-04-11 23:59:59,35.32960289706389,c
2022-04-12 00:00:00,52.22248029455443,
2022-04-12 10:00:00,64.55279241746862,
2022-04-12 10:30:00,38.45487851857742,
2022-04-12 12:00:00,52.42492196796735,
2022-04-12 13:30:00,56.47369070076347,
2022-04-12 15:00:00,29.15818151713411,
2022-04-12 15:30:30,29.15818151713411,
2022-04-12 23:59:59,18.913590882614255,c
2022-04-13 00:00:00,22.575142163128657,
2022-04-13 10:00:00,38.17966307342947,
2022-04-13 10:30:00,4.8648576840430495,
2022-04-13 12:00:00,29.869702130390205,
2022-04-13 13:30:00,30.085404630659024,
2022-04-13 15:00:00,29.561343636215724,
2022-04-13 15:30:30,29.561343636215724,
2022-04-13 23:59:59,33.159869711015624,c
2022-04-14 00:00:00,42.92399532223443,
2022-04-14 10:00:00,69.64997600346109,
2022-04-14 10:30:00,51.27232242354253,
2022-04-14 12:00:00,33.45645345535974,
2022-04-14 13:30:00,36.43157667707006,
2022-04-14 15:00:00,27.108079558739064,
2022-04-14 15:30:30,27.108079558739064,
2022-04-14 23:59:59,0.0,c
2022-04-15 00:00:00,0.0,
2022-04-15 10:00:00,0.0,
2022-04-15 10:30:00,0.0,
2022-04-15 12:00:00,0.0,
2022-04-15 13:30:00,0.0,
2022-04-15 15:00:00,0.0,
2022-04-15 15:30:30,0.0,
2022-04-15 23:59:59,0.0,a
2022-04-18 00:00:00,1.0751095569441715,
2022-04-18 10:00:00,33.47188012582759,
2022-04-18 10:30:00,31.5809753549397,
2022-04-18 12:00:00,26.753137476005158,
2022-04-18 13:30:00,32.95797596339186,
2022-04-18 15:00:00,22.86395820189913,
2022-04-18 15:30:30,22.86395820189913,
2022-04-18 23:59:59,14.107666666666667,c
2022-04-19 00:00:00,64.88428580921888,
2022-04-19 10:00:00,58.833742842148745,
2022-04-19 10:30:00,56.194629875767234,
2022-04-19 12:00:00,50.99421919695338,
2022-04-19 13:30:00,44.839428732025624,
2022-04-19 15:00:00,48.4695030652831,
2022-04-19 15:30:30,48.4695030652831,
2022-04-19 23:59:59,37.71732703053256,c
2022-04-20 00:00:00,75.86764742284218,
2022-04-20 10:00:00,65.0013252950102,
2022-04-20 10:30:00,49.66436321571767,
2022-04-20 12:00:00,44.92215245028337,
2022-04-20 13:30:00,16.608573678214352,
2022-04-20 15:00:00,6.663090662474433,
2022-04-20 15:30:30,6.663090662474433,
2022-04-20 23:59:59,17.950827409564454,c
2022-04-21 00:00:00,36.46402165178756,
2022-04-21 10:00:00,-39.63110064020852,
2022-04-21 10:30:00,-71.43625882841944,
2022-04-21 12:00:00,-90.2517688390096,
2022-04-21 13:30:00,-86.74769997856319,
2022-04-21 15:00:00,-113.83306815337042,
2022-04-21 15:30:30,-113.83306815337042,
2022-04-21 23:59:59,-126.17479640099705,c
2022-04-22 00:00:00,-132.46570936669312,
2022-04-22 10:00:00,-95.98388698409498,
2022-04-22 10:30:00,-138.78310480071804,
2022-04-22 12:00:00,-155.7289489080131,
2022-04-22 13:30:00,-176.42253935162722,
2022-04-22 15:00:00,-177.0224358749211,
2022-04-22 15:30:30,-177.0224358749211,
2022-04-22 23:59:59,-176.02891043887635,e
2022-04-25 00:00:00,-206.93837542566456,
2022-04-25 10:00:00,-241.89828916516106,
2022-04-25 10:30:00,-204.93242416068713,
2022-04-25 12:00:00,-236.62904472382166,
2022-04-25 13:30:00,-227.94802300053937,
2022-04-25 15:00:00,-216.09832394311826,
2022-04-25 15:30:30,-216.09832394311826,
2022-04-25 23:59:59,-202.20155059783855,c
2022-04-26 00:00:00,-205.8396838505149,
2022-04-26 10:00:00,-210.78408163295387,
2022-04-26 10:30:00,-204.88185276457668,
2022-04-26 12:00:00,-184.87374448459,
2022-04-26 13:30:00,-198.99858551114747,
2022-04-26 15:00:00,-178.92720958192547,
2022-04-26 15:30:30,-178.92720958192547,
2022-04-26 23:59:59,-198.7827808252692,c
2022-04-27 00:00:00,-204.36288650139667,
2022-04-27 10:00:00,-160.58090910786788,
2022-04-27 10:30:00,-176.44205301861265,
2022-04-27 12:00:00,-170.1676256818662,
2022-04-27 13:30:00,-184.43460227198304,
2022-04-27 15:00:00,-189.27942551221253,
2022-04-27 15:30:30,-189.27942551221253,
