date,TAX_2021,meta
2021-12-23 00:00:00,-73.62339292854999,
2021-12-23 10:00:00,-63.639640941509555,
2021-12-23 10:30:00,-68.67830726201788,
2021-12-23 12:00:00,-79.04750503088663,
2021-12-23 13:30:00,-97.95317896790615,
2021-12-23 15:00:00,-84.50394255129382,
2021-12-23 15:30:30,-84.50394255129382,
2021-12-23 23:59:59,-88.72334590465161,c
2021-12-24 00:00:00,-88.72334590465161,
2021-12-24 10:00:00,-88.72334590465161,
2021-12-24 10:30:00,-88.72334590465161,
2021-12-24 12:00:00,-88.72334590465161,
2021-12-24 13:30:00,-88.72334590465161,
2021-12-24 15:00:00,-88.72334590465161,
2021-12-24 15:30:30,-88.72334590465161,
2021-12-24 23:59:59,-88.72334590465161,w
2021-12-27 00:00:00,-81.77601946097597,
2021-12-27 10:00:00,-38.20838378193531,
2021-12-27 10:30:00,-41.28854658867661,
2021-12-27 12:00:00,-32.22840651474803,
2021-12-27 13:30:00,-17.867401990624607,
2021-12-27 15:00:00,-18.760350374630434,
2021-12-27 15:30:30,-18.760350374630434,
2021-12-27 23:59:59,-9.370379000100094,c
2021-12-28 00:00:00,-1.593090291584005,
2021-12-28 10:00:00,-9.020120133643488,
2021-12-28 10:30:00,-34.43525569172468,
2021-12-28 12:00:00,-16.907058541039824,
2021-12-28 13:30:00,-14.344154513850725,
2021-12-28 15:00:00,-13.350899062062226,
2021-12-28 15:30:30,-13.350899062062226,
2021-12-28 23:59:59,-12.528579569873038,c
2021-12-29 00:00:00,-6.861680801114829,
2021-12-29 10:00:00,16.60421645218282,
2021-12-29 10:30:00,21.46489859632284,
2021-12-29 12:00:00,13.31361497575383,
2021-12-29 13:30:00,19.46638327108896,
2021-12-29 15:00:00,17.258665633172708,
2021-12-29 15:30:30,17.258665633172708,
2021-12-29 23:59:59,29.935440455842247,c
2021-12-30 00:00:00,31.623998400141687,
2021-12-30 10:00:00,-13.525691792352326,
2021-12-30 10:30:00,-12.161488771697016,
2021-12-30 12:00:00,-37.69995708570039,
2021-12-30 13:30:00,-28.93687578622483,
2021-12-30 15:00:00,-26.18164448754034,
